Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201515m,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,595,485,599,699,653,691,940,,,,,,,,,,,,,
Quarterly Results,Expenses,512,427,527,609,554,617,852,,,,,,,,,,,,,
Quarterly Results,Operating Profit,83,58,72,90,99,74,87,,,,,,,,,,,,,
Quarterly Results,OPM %,14%,12%,12%,13%,15%,11%,9%,,,,,,,,,,,,,
Quarterly Results,Other Income,3,2,2,2,6,1,3,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,1,1,3,,,,,,,,,,,,,
Quarterly Results,Depreciation,9,9,9,9,10,10,24,,,,,,,,,,,,,
Quarterly Results,Profit before tax,76,50,64,82,94,64,63,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,30%,23%,26%,26%,26%,11%,,,,,,,,,,,,,
Quarterly Results,Net Profit,56,35,49,61,70,48,56,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,32.08,19.88,28.07,34.80,39.86,27.12,31.94,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,2222,,,,2982,2009,,,,,,,,,,,,
Profit & Loss,Expenses,,,1959,,,,2632,1924,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,264,,,,350,86,,,,,,,,,,,,
Profit & Loss,OPM %,,,12%,,,,12%,4%,,,,,,,,,,,,
Profit & Loss,Other Income,,,9,,,,12,6,,,,,,,,,,,,
Profit & Loss,Interest,,,3,,,,6,24,,,,,,,,,,,,
Profit & Loss,Depreciation,,,37,,,,53,32,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,233,,,,304,36,,,,,,,,,,,,
Profit & Loss,Tax %,,,26%,,,,23%,47%,,,,,,,,,,,,
Profit & Loss,Net Profit,,,173,,,,235,19,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,98.47,,,,133.72,10.76,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,18,,,,18,,18,,,,,,,,,,,
Balance Sheet,Reserves,,,705,,,,1150,,469,,,,,,,,,,,
Balance Sheet,Borrowings,,,18,,,,193,,170,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,298,,,,931,,371,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,1038,,,,2291,,1028,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,295,,,,863,,288,,,,,,,,,,,
Balance Sheet,CWIP,,,28,,,,29,,0,,,,,,,,,,,
Balance Sheet,Investments,,,58,,,,20,,0,,,,,,,,,,,
Balance Sheet,Other Assets,,,657,,,,1379,,740,,,,,,,,,,,
Balance Sheet,Total Assets,,,1038,,,,2291,,1028,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,216,,,,54,,60,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-88,,,,-85,,-66,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-177,,,,74,,-10,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-48,,,,43,,-17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,49,,,,54,,48,,,,,,,,,,,
Ratios,Inventory Days,,,59,,,,126,,47,,,,,,,,,,,
Ratios,Days Payable,,,50,,,,99,,67,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,58,,,,81,,29,,,,,,,,,,,
Ratios,Working Capital Days,,,64,,,,76,,60,,,,,,,,,,,
Ratios,ROCE %,,,,,,,29%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.73%,62.73%,62.73%,46.24%,46.24%,46.24%,46.24%,,,61.19%,61.19%,62.73%,62.73%,62.73%,,,,,,
Shareholding Pattern (Quarterly),FIIs,2.27%,2.53%,2.09%,4.96%,2.95%,3.37%,2.48%,,,1.87%,1.57%,1.42%,1.39%,2.19%,,,,,,
Shareholding Pattern (Quarterly),DIIs,4.82%,5.01%,4.99%,10.58%,10.26%,11.29%,12.51%,,,4.14%,4.45%,4.45%,4.41%,4.77%,,,,,,
Shareholding Pattern (Quarterly),Public,30.18%,29.72%,30.18%,38.21%,40.55%,39.10%,38.75%,,,32.79%,32.79%,31.39%,31.47%,30.30%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,40543,40115,40492,39955,45882,45703,46867,,,43927,44837,46993,50304,43439,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,62.73%,,,,46.24%,,,,,,62.73%,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,,,2.09%,,,,2.48%,,,,,,1.39%,,0.42%,0.73%,0.69%,0.49%,0.48%,2.04%
Shareholding Pattern (Yearly),DIIs,,,4.99%,,,,12.51%,,,,,,4.41%,,4.27%,5.59%,5.92%,6.46%,4.64%,2.86%
Shareholding Pattern (Yearly),Government,,,0.00%,,,,0.00%,,,,,,0.00%,,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,30.18%,,,,38.75%,,,,,,31.47%,,20.31%,18.53%,18.39%,18.05%,19.88%,20.10%
Shareholding Pattern (Yearly),No. of Shareholders,,,40492,,,,46867,,,,,,50304,,13408,15361,14371,11960,13627,29107
,,,,,,,,,,,,,,,,,,,,,
