Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jul 2025,Mar 2018,Mar 2019
Quarterly Results,Sales,236.14,233.53,41.56,172.15,414.28,590.18,175.34,448.27,668.11,439.66,,,,,,,,,,,,,,
Quarterly Results,Expenses,227.42,222.99,34.77,159.88,398.73,573.96,164.96,428.99,641.86,420.55,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,8.72,10.54,6.79,12.27,15.55,16.22,10.38,19.28,26.25,19.11,,,,,,,,,,,,,,
Quarterly Results,OPM %,3.69%,4.51%,16.34%,7.13%,3.75%,2.75%,5.92%,4.30%,3.93%,4.35%,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.43,0.00,0.03,0.02,0.07,0.02,0.01,0.03,0.26,,,,,,,,,,,,,,
Quarterly Results,Interest,2.11,2.70,1.91,1.98,2.96,3.80,3.49,3.55,4.03,4.12,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.99,0.75,0.53,0.81,0.86,1.49,1.19,1.19,1.19,1.90,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,5.63,7.52,4.35,9.51,11.75,11.00,5.72,14.55,21.06,13.35,,,,,,,,,,,,,,
Quarterly Results,Tax %,26.47%,24.73%,25.29%,25.13%,25.79%,24.73%,25.35%,25.50%,25.07%,27.72%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,4.14,5.66,3.25,7.12,8.72,8.28,4.26,10.84,15.79,9.65,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.86,2.54,1.46,3.20,3.92,3.72,1.91,4.87,7.10,4.34,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,807,,,,1215,,,,1728,,,,,,,,,,,,,,
Profit & Loss,Expenses,,773,,,,1164,,,,1653,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,34,,,,51,,,,75,,,,,,,,,,,,,,
Profit & Loss,OPM %,,4%,,,,4%,,,,4%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,0,,,,0,,,,0,,,,,,,,,,,,,,
Profit & Loss,Interest,,10,,,,11,,,,15,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,3,,,,4,,,,5,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,22,,,,37,,,,55,,,,,,,,,,,,,,
Profit & Loss,Tax %,,25%,,,,25%,,,,26%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,17,,,,27,,,,41,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,7.49,,,,12.31,,,,18.21,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,5%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,22,,,,22,,,,22,,,,,,,,,,,,,,
Balance Sheet,Reserves,,47,,,,75,,,,116,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,97,,,,169,,,,170,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,102,,,,129,,,,105,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,269,,,,395,,,,414,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,30,,,,42,,,,50,,,,,,,,,,,,,,
Balance Sheet,CWIP,,1,,,,0,,,,0,,,,,,,,,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,0,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,238,,,,352,,,,363,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,269,,,,395,,,,414,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,7,,,,-29,,,,17,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-2,,,,-10,,,,-5,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-11,,,,48,,,,-18,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-5,,,,9,,,,-6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,0,,,,1,,,,1,,,,,,,,,,,,,,
Ratios,Inventory Days,,113,,,,103,,,,79,,,,,,,,,,,,,,
Ratios,Days Payable,,29,,,,25,,,,14,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,85,,,,79,,,,66,,,,,,,,,,,,,,
Ratios,Working Capital Days,,61,,,,63,,,,52,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,22%,,,,24%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,74.73%,74.73%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,73.82%,73.82%,75.00%,74.88%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.13%,0.20%,0.20%,0.22%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.01%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,25.27%,25.27%,25.00%,25.00%,25.00%,25.00%,25.00%,24.95%,26.05%,25.93%,24.75%,24.89%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,4573,5022,4994,5505,5059,5539,5560,6548,9117,9280,9289,9237,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,74.73%,,,,74.73%,,,,74.73%,,,75.00%,,,,75.00%,,,,75.00%,74.88%,73.35%,73.56%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.00%,,,0.00%,,,,0.00%,,,,0.20%,0.22%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.01%,,,0.00%,,,,0.00%,,,,0.05%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,25.28%,,,,25.28%,,,,25.27%,,,25.00%,,,,25.00%,,,,24.75%,24.89%,26.66%,26.65%
Shareholding Pattern (Yearly),No. of Shareholders,,371,,,,821,,,,3275,,,4994,,,,5560,,,,9289,9237,443,439
,,,,,,,,,,,,,,,,,,,,,,,,,
