Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,162,200,204,178,193,201,203,178,221,213,208,208,251,,,,,,
Quarterly Results,Expenses,132,166,170,144,158,162,160,143,180,165,165,162,198,,,,,,
Quarterly Results,Operating Profit,30,35,35,34,35,39,43,35,41,48,43,47,53,,,,,,
Quarterly Results,OPM %,19%,17%,17%,19%,18%,20%,21%,20%,19%,23%,21%,22%,21%,,,,,,
Quarterly Results,Other Income,8,5,6,5,2,8,8,9,7,11,15,3,12,,,,,,
Quarterly Results,Interest,1,0,1,1,1,1,1,1,1,0,0,0,0,,,,,,
Quarterly Results,Depreciation,5,5,5,5,7,7,7,7,7,7,7,7,7,,,,,,
Quarterly Results,Profit before tax,33,34,35,33,29,40,43,36,40,51,51,42,57,,,,,,
Quarterly Results,Tax %,23%,20%,23%,21%,20%,23%,24%,25%,19%,27%,21%,28%,27%,,,,,,
Quarterly Results,Net Profit,25,27,27,27,23,31,32,27,32,37,40,31,42,,,,,,
Quarterly Results,EPS in Rs,5.59,6.17,6.18,6.04,5.32,6.95,7.38,6.21,7.33,8.50,9.06,6.96,9.44,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,656,,,,776,,,,803,,,,880,491,474,570,591,528,513
Profit & Loss,Expenses,531,,,,637,,,,644,,,,689,361,347,420,462,424,391
Profit & Loss,Operating Profit,126,,,,139,,,,159,,,,191,131,126,150,129,104,122
Profit & Loss,OPM %,19%,,,,18%,,,,20%,,,,22%,27%,27%,26%,22%,20%,24%
Profit & Loss,Other Income,20,,,,18,,,,32,,,,41,6,11,13,22,20,20
Profit & Loss,Interest,2,,,,2,,,,3,,,,2,3,1,1,1,2,4
Profit & Loss,Depreciation,20,,,,22,,,,29,,,,29,16,17,17,18,18,18
Profit & Loss,Profit before tax,123,,,,132,,,,159,,,,201,117,120,145,132,104,120
Profit & Loss,Tax %,23%,,,,21%,,,,23%,,,,26%,34%,32%,33%,32%,23%,25%
Profit & Loss,Net Profit,94,,,,104,,,,122,,,,149,77,82,97,90,80,90
Profit & Loss,EPS in Rs,21.17,,,,23.71,,,,27.86,,,,33.97,16.68,17.81,21.38,19.76,17.60,20.13
Profit & Loss,Dividend Payout %,9%,,,,8%,,,,11%,,,,15%,21%,6%,7%,16%,23%,10%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,22,,,,22,,,,22,,,,22,23,23,23,23,23,22
Balance Sheet,Reserves,685,,,,732,,,,845,,,,934,312,364,427,495,555,601
Balance Sheet,Borrowings,31,,,,25,,,,15,,,,9,26,12,6,22,34,41
Balance Sheet,Other Liabilities,84,,,,92,,,,80,,,,90,74,75,77,80,84,93
Balance Sheet,Total Liabilities,822,,,,871,,,,963,,,,1055,435,474,532,620,696,757
Balance Sheet,Fixed Assets,220,,,,242,,,,232,,,,222,135,128,132,128,165,194
Balance Sheet,CWIP,12,,,,1,,,,1,,,,1,8,4,2,39,39,15
Balance Sheet,Investments,154,,,,132,,,,186,,,,212,97,124,156,187,165,205
Balance Sheet,Other Assets,437,,,,496,,,,544,,,,620,196,218,242,266,327,343
Balance Sheet,Total Assets,822,,,,871,,,,963,,,,1055,435,474,532,620,696,757
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,13,,,,121,,,,113,,,,157,70,75,87,63,63,55
Cash Flows,Cash from Investing Activity,17,,,,-32,,,,-78,,,,-68,-33,-26,-30,-68,-48,-20
Cash Flows,Cash from Financing Activity,-21,,,,-67,,,,-21,,,,-70,-44,-46,-50,-3,-7,-38
Cash Flows,Net Cash Flow,9,,,,23,,,,14,,,,19,-7,3,7,-8,9,-3
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,68,,,,63,,,,72,,,,76,73,73,66,55,67,81
Ratios,Inventory Days,207,,,,182,,,,161,,,,144,85,117,109,125,160,212
Ratios,Days Payable,51,,,,57,,,,45,,,,42,49,82,69,60,72,79
Ratios,Cash Conversion Cycle,224,,,,187,,,,188,,,,177,109,108,106,120,155,214
Ratios,Working Capital Days,173,,,,143,,,,169,,,,209,75,88,86,96,118,152
Ratios,ROCE %,18%,,,,17%,,,,19%,,,,22%,,32%,34%,27%,18%,19%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,59.46%,59.11%,59.11%,59.11%,59.11%,58.52%,58.52%,58.52%,58.52%,58.59%,58.59%,58.59%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.32%,1.55%,1.60%,1.80%,2.00%,2.40%,2.84%,2.84%,3.28%,3.18%,3.18%,3.34%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,4.29%,7.23%,9.41%,9.75%,9.39%,9.68%,8.67%,6.44%,3.97%,3.19%,3.31%,3.44%,,,,,,
Shareholding Pattern (Quarterly),Public,,34.92%,32.11%,29.88%,29.35%,29.50%,29.40%,29.97%,32.21%,34.24%,35.05%,34.92%,34.61%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,38802,34883,34295,32448,31767,32493,33686,33732,34923,40592,39967,39791,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,59.43%,,,,59.11%,,,,58.52%,,,,58.59%,,61.19%,61.26%,61.28%,61.48%,61.56%
Shareholding Pattern (Yearly),FIIs,1.57%,,,,1.80%,,,,2.84%,,,,3.34%,,8.70%,15.80%,15.50%,7.58%,1.48%
Shareholding Pattern (Yearly),DIIs,4.32%,,,,9.75%,,,,6.44%,,,,3.44%,,6.32%,6.02%,5.35%,4.65%,3.96%
Shareholding Pattern (Yearly),Public,34.69%,,,,29.35%,,,,32.21%,,,,34.61%,,23.79%,16.92%,17.87%,26.29%,33.00%
Shareholding Pattern (Yearly),No. of Shareholders,56195,,,,32448,,,,33732,,,,39791,,17306,16675,18385,22755,27990
,,,,,,,,,,,,,,,,,,,,
