Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,49.26,79.59,115.02,114.90,108.36,117.92,116.89,94.79,127.04,125.04,121.52,112.29,,,
Quarterly Results,Expenses,40.32,64.71,85.86,91.98,85.61,91.19,90.59,77.84,110.33,102.83,106.66,106.11,,,
Quarterly Results,Operating Profit,8.94,14.88,29.16,22.92,22.75,26.73,26.30,16.95,16.71,22.21,14.86,6.18,,,
Quarterly Results,OPM %,18.15%,18.70%,25.35%,19.95%,20.99%,22.67%,22.50%,17.88%,13.15%,17.76%,12.23%,5.50%,,,
Quarterly Results,Other Income,0.40,1.25,0.81,0.71,0.92,6.17,3.93,4.32,5.75,3.13,3.82,2.42,,,
Quarterly Results,Interest,1.18,0.87,3.79,3.20,3.01,3.18,2.92,2.45,2.09,2.31,2.27,1.69,,,
Quarterly Results,Depreciation,0.74,0.79,1.55,2.70,1.99,3.65,2.50,3.85,4.64,6.52,7.04,6.08,,,
Quarterly Results,Profit before tax,7.42,14.47,24.63,17.73,18.67,26.07,24.81,14.97,15.73,16.51,9.37,0.83,,,
Quarterly Results,Tax %,24.93%,22.81%,27.53%,21.77%,25.82%,30.00%,23.58%,36.41%,21.30%,21.74%,16.86%,180.72%,,,
Quarterly Results,Net Profit,5.57,11.16,17.85,13.87,13.85,18.24,18.96,9.52,12.37,12.92,7.80,-0.67,,,
Quarterly Results,EPS in Rs,2.23,1.72,2.75,2.13,1.79,2.36,2.45,1.23,1.60,1.68,1.02,-0.30,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,359,,,,438,,,,486,220,213,332
Profit & Loss,Expenses,,,,281,,,,345,,,,426,182,165,254
Profit & Loss,Operating Profit,,,,78,,,,93,,,,60,38,48,77
Profit & Loss,OPM %,,,,22%,,,,21%,,,,12%,17%,23%,23%
Profit & Loss,Other Income,,,,3,,,,15,,,,15,2,1,2
Profit & Loss,Interest,,,,9,,,,12,,,,8,5,4,5
Profit & Loss,Depreciation,,,,6,,,,12,,,,24,4,5,5
Profit & Loss,Profit before tax,,,,66,,,,85,,,,42,30,40,69
Profit & Loss,Tax %,,,,24%,,,,28%,,,,24%,29%,28%,27%
Profit & Loss,Net Profit,,,,50,,,,61,,,,32,21,29,51
Profit & Loss,EPS in Rs,,,,7.70,,,,7.84,,,,4.00,4282.00,5762.00,20.21
Profit & Loss,Dividend Payout %,,,,0%,,,,13%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,65,,,,77,,,,77,0.05,0.05,25
Balance Sheet,Reserves,,,,77,,,,476,,,,483,36,63,84
Balance Sheet,Borrowings,,,,123,,,,70,,,,53,57,79,116
Balance Sheet,Other Liabilities,,,,46,,,,35,,,,62,52,32,40
Balance Sheet,Total Liabilities,,,,311,,,,658,,,,676,145,174,265
Balance Sheet,Fixed Assets,,,,65,,,,106,,,,205,54,59,60
Balance Sheet,CWIP,,,,27,,,,72,,,,44,1,4,9
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,,,,219,,,,480,,,,427,90,112,195
Balance Sheet,Total Assets,,,,311,,,,658,,,,676,145,174,265
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,57,,,,-5,,,,35,23,-9,-15
Cash Flows,Cash from Investing Activity,,,,-47,,,,-249,,,,-4,3,-6,-9
Cash Flows,Cash from Financing Activity,,,,-8,,,,266,,,,-33,-21,10,24
Cash Flows,Net Cash Flow,,,,2,,,,12,,,,-2,5,-4,-1
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,74,,,,81,,,,85,49,56,61
Ratios,Inventory Days,,,,191,,,,191,,,,180,97,175,208
Ratios,Days Payable,,,,38,,,,30,,,,44,85,70,44
Ratios,Cash Conversion Cycle,,,,227,,,,241,,,,221,62,161,226
Ratios,Working Capital Days,,,,170,,,,195,,,,161,48,127,162
Ratios,ROCE %,,,,31%,,,,22%,,,,8%,,38%,41%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,72.46%,72.46%,72.46%,72.46%,72.50%,72.50%,72.50%,72.50%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,5.06%,3.18%,1.51%,1.56%,0.71%,0.69%,0.66%,0.61%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,7.21%,7.50%,7.10%,4.95%,5.12%,1.71%,1.74%,1.69%,,,
Shareholding Pattern (Quarterly),Public,,,,,15.27%,16.85%,18.93%,21.04%,21.68%,25.10%,25.09%,25.20%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,103722,102006,114600,124136,117356,114827,112189,107330,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,72.46%,,,,72.50%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,1.56%,,,,0.61%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,4.95%,,,,1.69%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,21.04%,,,,25.20%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,124136,,,,107330,,,
,,,,,,,,,,,,,,,,
