Section,,Mar 2023,Mar 2024
Quarterly Results,Sales,,
Quarterly Results,Expenses,,
Quarterly Results,Operating Profit,,
Quarterly Results,OPM %,,
Quarterly Results,Other Income,,
Quarterly Results,Interest,,
Quarterly Results,Depreciation,,
Quarterly Results,Profit before tax,,
Quarterly Results,Tax %,,
Quarterly Results,Net Profit,,
Quarterly Results,EPS in Rs,,
Quarterly Results,Raw PDF,,
,,,
Profit & Loss,Sales,937,1286
Profit & Loss,Expenses,820,1126
Profit & Loss,Operating Profit,117,160
Profit & Loss,OPM %,13%,12%
Profit & Loss,Other Income,2,4
Profit & Loss,Interest,22,32
Profit & Loss,Depreciation,16,21
Profit & Loss,Profit before tax,81,111
Profit & Loss,Tax %,26%,26%
Profit & Loss,Net Profit,60,82
Profit & Loss,EPS in Rs,30.05,3.42
Profit & Loss,Dividend Payout %,0%,0%
,,,
Balance Sheet,Equity Capital,,
Balance Sheet,Reserves,,
Balance Sheet,Borrowings,,
Balance Sheet,Other Liabilities,,
Balance Sheet,Total Liabilities,,
Balance Sheet,Fixed Assets,,
Balance Sheet,CWIP,,
Balance Sheet,Investments,,
Balance Sheet,Other Assets,,
Balance Sheet,Total Assets,,
,,,
Cash Flows,Cash from Operating Activity,,
Cash Flows,Cash from Investing Activity,,
Cash Flows,Cash from Financing Activity,,
Cash Flows,Net Cash Flow,,
,,,
Ratios,Debtor Days,,
Ratios,Inventory Days,,
Ratios,Days Payable,,
Ratios,Cash Conversion Cycle,,
Ratios,Working Capital Days,,
Ratios,ROCE %,,
,,,
