Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Quarterly Results,Sales,628,399,636,502,695,355,586,503,648,307,608,571,736,,,,,,
Quarterly Results,Expenses,511,347,516,426,574,332,498,435,542,297,519,504,625,,,,,,
Quarterly Results,Operating Profit,117,52,119,76,121,23,88,69,106,10,89,66,111,,,,,,
Quarterly Results,OPM %,19%,13%,19%,15%,17%,6%,15%,14%,16%,3%,15%,12%,15%,,,,,,
Quarterly Results,Other Income,12,7,9,13,10,8,12,11,6,24,21,16,14,,,,,,
Quarterly Results,Interest,4,4,6,6,5,4,5,6,5,5,6,6,8,,,,,,
Quarterly Results,Depreciation,14,14,15,15,14,14,14,14,14,14,14,15,18,,,,,,
Quarterly Results,Profit before tax,111,41,108,68,113,13,81,60,93,15,91,62,100,,,,,,
Quarterly Results,Tax %,26%,25%,26%,24%,22%,24%,24%,26%,26%,25%,25%,26%,28%,,,,,,
Quarterly Results,Net Profit,82,31,80,52,88,10,61,44,69,12,68,45,72,,,,,,
Quarterly Results,EPS in Rs,17.53,6.58,17.10,11.07,18.81,2.13,13.08,9.79,15.21,2.53,15.03,10.00,15.88,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1905,,,,2233,,,,2092,,,,2222,1605,1733,1816,1699,1089,
Profit & Loss,Expenses,1572,,,,1864,,,,1806,,,,1946,1415,1488,1577,1532,1035,
Profit & Loss,Operating Profit,333,,,,368,,,,286,,,,276,189,245,240,167,54,
Profit & Loss,OPM %,17%,,,,16%,,,,14%,,,,12%,12%,14%,13%,10%,5%,
Profit & Loss,Other Income,34,,,,40,,,,36,,,,75,15,20,23,34,41,
Profit & Loss,Interest,18,,,,20,,,,20,,,,24,31,34,48,43,30,
