Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,
Quarterly Results,Expenses,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,
Quarterly Results,OPM %,,,,,,,,
Quarterly Results,Other Income,,,,,,,,
Quarterly Results,Interest,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,
Quarterly Results,Tax %,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,,,,,,,,
Profit & Loss,Expenses,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,
Profit & Loss,OPM %,,,,,,,,
Profit & Loss,Other Income,,,,,,,,
Profit & Loss,Interest,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,
Profit & Loss,Tax %,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,
,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,
Balance Sheet,Reserves,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,
Balance Sheet,CWIP,,,,,,,,
Balance Sheet,Investments,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,
,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,
,,,,,,,,,
Ratios,Debtor Days,,,,,,,,
Ratios,Inventory Days,,,,,,,,
Ratios,Days Payable,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,
Ratios,Working Capital Days,,,,,,,,
Ratios,ROCE %,,,,,,,,
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,54.03%,54.03%,54.03%,54.03%,54.03%,54.03%,54.03%,54.03%
Shareholding Pattern (Quarterly),FIIs,2.55%,1.56%,1.17%,1.22%,0.13%,0.05%,0.02%,0.01%
Shareholding Pattern (Quarterly),DIIs,15.88%,14.50%,11.02%,8.69%,8.42%,8.20%,8.22%,8.21%
Shareholding Pattern (Quarterly),Public,27.55%,29.90%,33.79%,36.08%,37.41%,37.72%,37.74%,37.74%
Shareholding Pattern (Quarterly),No. of Shareholders,80720,81343,79733,81300,84746,83740,82291,80799
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,54.03%,,,,54.03%
Shareholding Pattern (Yearly),FIIs,,,,1.22%,,,,0.01%
Shareholding Pattern (Yearly),DIIs,,,,8.69%,,,,8.21%
Shareholding Pattern (Yearly),Public,,,,36.08%,,,,37.74%
Shareholding Pattern (Yearly),No. of Shareholders,,,,81300,,,,80799
,,,,,,,,,
