Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,139,106,115,81,119,115,88,120,153,,
Quarterly Results,Expenses,127,84,89,70,101,94,74,109,137,,
Quarterly Results,Operating Profit,12,22,26,11,18,21,14,11,16,,
Quarterly Results,OPM %,9%,21%,23%,13%,15%,18%,16%,9%,11%,,
Quarterly Results,Other Income,1,2,2,3,1,1,2,2,1,,
Quarterly Results,Interest,1,1,1,1,0,0,0,0,0,,
Quarterly Results,Depreciation,2,1,1,1,1,1,1,2,4,,
Quarterly Results,Profit before tax,11,22,26,11,17,21,14,11,14,,
Quarterly Results,Tax %,30%,25%,24%,23%,25%,24%,25%,26%,26%,,
Quarterly Results,Net Profit,8,16,20,9,13,16,10,8,10,,
Quarterly Results,EPS in Rs,15.49,33.03,7.96,3.46,5.19,6.29,3.12,2.50,3.03,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,516,,,,420,,,,475,291,414
Profit & Loss,Expenses,438,,,,343,,,,413,263,366
Profit & Loss,Operating Profit,77,,,,77,,,,62,28,48
Profit & Loss,OPM %,15%,,,,18%,,,,13%,10%,12%
Profit & Loss,Other Income,5,,,,8,,,,6,2,2
Profit & Loss,Interest,3,,,,3,,,,2,6,4
Profit & Loss,Depreciation,6,,,,6,,,,8,7,7
Profit & Loss,Profit before tax,72,,,,76,,,,59,16,39
Profit & Loss,Tax %,25%,,,,24%,,,,25%,31%,26%
Profit & Loss,Net Profit,54,,,,57,,,,44,11,29
Profit & Loss,EPS in Rs,109.21,,,,23.22,,,,13.37,22.23,58.05
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,,,25,,,,33,5,5
Balance Sheet,Reserves,136,,,,176,,,,364,52,82
Balance Sheet,Borrowings,25,,,,63,,,,2,47,44
Balance Sheet,Other Liabilities,26,,,,17,,,,18,21,20
Balance Sheet,Total Liabilities,192,,,,281,,,,417,126,150
Balance Sheet,Fixed Assets,53,,,,48,,,,195,64,58
Balance Sheet,CWIP,0,,,,64,,,,3,0,0
Balance Sheet,Investments,18,,,,23,,,,38,13,15
Balance Sheet,Other Assets,120,,,,146,,,,181,49,77
Balance Sheet,Total Assets,192,,,,281,,,,417,126,150
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,63,,,,19,,,,14,22,9
Cash Flows,Cash from Investing Activity,-40,,,,-56,,,,-103,-6,-1
Cash Flows,Cash from Financing Activity,-23,,,,36,,,,90,-16,-7
Cash Flows,Net Cash Flow,-0,,,,-0,,,,1,0,0
,,,,,,,,,,,,
Ratios,Debtor Days,9,,,,10,,,,16,9,10
Ratios,Inventory Days,30,,,,54,,,,54,38,37
Ratios,Days Payable,13,,,,13,,,,9,20,9
Ratios,Cash Conversion Cycle,26,,,,51,,,,62,26,38
Ratios,Working Capital Days,55,,,,49,,,,66,28,46
Ratios,ROCE %,51%,,,,37%,,,,18%,,36%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,74.96%,74.96%,74.96%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,0.94%,0.51%,0.53%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,3.66%,3.66%,3.66%,,
Shareholding Pattern (Quarterly),Public,,,,,,,20.45%,20.88%,20.86%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,39880,41020,40080,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,74.96%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,0.53%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,3.66%,,
Shareholding Pattern (Yearly),Public,,,,,,,,,20.86%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,40080,,
,,,,,,,,,,,,
