Section,,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2024,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,4600,4814,5104,4780,5504,,,,,,,,,,,,,
Quarterly Results,Expenses,3505,3700,3940,3685,4127,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1095,1114,1164,1095,1377,,,,,,,,,,,,,
Quarterly Results,OPM %,24%,23%,23%,23%,25%,,,,,,,,,,,,,
Quarterly Results,Other Income,-77,39,190,4,8,,,,,,,,,,,,,
Quarterly Results,Interest,23,32,32,35,38,,,,,,,,,,,,,
Quarterly Results,Depreciation,109,113,122,150,155,,,,,,,,,,,,,
Quarterly Results,Profit before tax,886,1009,1200,914,1192,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,26%,25%,25%,27%,,,,,,,,,,,,,
Quarterly Results,Net Profit,656,747,899,688,873,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,6.80,7.74,9.33,7.14,9.06,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,19126,,,,20202,24394,,,,,,,,,,,,
Profit & Loss,Expenses,14655,,,,15454,18551,,,,,,,,,,,,
Profit & Loss,Operating Profit,4471,,,,4747,5843,,,,,,,,,,,,
Profit & Loss,OPM %,23%,,,,24%,24%,,,,,,,,,,,,
Profit & Loss,Other Income,116,,,,245,159,,,,,,,,,,,,
Profit & Loss,Interest,119,,,,136,145,,,,,,,,,,,,
Profit & Loss,Depreciation,429,,,,540,568,,,,,,,,,,,,
Profit & Loss,Profit before tax,4038,,,,4316,5289,,,,,,,,,,,,
Profit & Loss,Tax %,26%,,,,26%,26%,,,,,,,,,,,,
Profit & Loss,Net Profit,2999,,,,3208,3933,,,,,,,,,,,,
Profit & Loss,EPS in Rs,31.10,,,,33.27,40.79,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,56%,,,,81%,66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,96,96,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,3914,3244,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,1167,345,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,7016,6838,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,12193,10523,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,5474,3460,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,1173,1742,,,,,,,,,,,,
Balance Sheet,Investments,,,,,575,464,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,4972,4857,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,12193,10523,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,2936,4175,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-1811,-1237,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-1848,-3135,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,-723,-198,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,7,4,,,,,,,,,,,,
Ratios,Inventory Days,,,,,139,83,,,,,,,,,,,,
Ratios,Days Payable,,,,,128,112,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,18,-24,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,-4,-18,,,,,,,,,,,,
Ratios,ROCE %,,,,,96%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%,,,,,,
Shareholding Pattern (Quarterly),FIIs,12.09%,11.94%,11.94%,10.27%,10.02%,12.10%,11.65%,12.05%,12.12%,12.06%,12.38%,12.10%,,,,,,
Shareholding Pattern (Quarterly),DIIs,9.16%,9.17%,9.45%,10.80%,11.30%,9.00%,9.14%,8.86%,9.04%,9.19%,9.05%,9.32%,,,,,,
Shareholding Pattern (Quarterly),Public,15.98%,16.10%,15.86%,16.17%,15.90%,16.14%,16.45%,16.33%,16.07%,15.99%,15.82%,15.81%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,213977,437880,427964,547850,538165,410144,198818,191248,184341,187365,182149,184090,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,62.76%,62.76%,,,,62.76%,,,62.76%,62.76%,62.76%,62.76%,62.76%,62.76%
Shareholding Pattern (Yearly),FIIs,,,,,10.02%,12.10%,,,,12.06%,,,12.52%,11.94%,12.55%,11.81%,12.29%,12.01%
Shareholding Pattern (Yearly),DIIs,,,,,11.30%,9.00%,,,,9.19%,,,7.43%,8.16%,7.69%,9.12%,7.95%,8.60%
Shareholding Pattern (Yearly),Government,,,,,0.00%,0.00%,,,,0.00%,,,0.09%,0.09%,0.07%,0.07%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,15.90%,16.14%,,,,15.99%,,,17.20%,17.04%,16.93%,16.24%,16.99%,16.62%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,538165,410144,,,,187365,,,77198,70849,90994,116557,171537,192094
,,,,,,,,,,,,,,,,,,,
