Section,,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,751,906,1023,1057,1183,1327,1324,1253,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,663,848,843,970,1058,1078,1194,1187,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,88,58,180,88,125,248,130,66,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,12%,6%,18%,8%,11%,19%,10%,5%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,8,36,2,26,5,-3,1,-0,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,15,33,39,30,34,32,27,19,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,30,41,49,48,51,53,51,52,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,51,20,94,36,46,160,52,-5,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,30%,29%,28%,19%,33%,35%,27%,24%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,36,14,68,29,31,105,38,-6,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.82,0.73,3.45,1.47,1.51,5.00,1.81,-0.28,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,16%,41%,10%,24%,24%,7%,20%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,39,39,39,39,41,42,42,43,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,269,276,335,356,386,486,515,517,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,379,425,313,331,447,544,671,779,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,298,287,355,369,403,477,562,507,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,985,1028,1043,1094,1277,1548,1790,1846,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,560,689,642,607,687,664,661,635,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,152,66,90,178,216,442,718,849,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,13,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,261,271,310,309,373,443,411,362,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,985,1028,1043,1094,1277,1548,1790,1846,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,95,59,184,109,92,206,232,69,,,,,,,,,,,,,,,,,,
