Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,159,379,105,277,92,296,162,109,137,190,117,227,234,,,,,,,,,,,
Quarterly Results,Expenses,176,379,109,261,185,692,169,110,104,222,117,506,56,,,,,,,,,,,
Quarterly Results,Operating Profit,-16,0,-4,16,-93,-396,-8,-1,33,-32,-1,-280,178,,,,,,,,,,,
Quarterly Results,OPM %,-10%,0%,-4%,6%,-101%,-133%,-5%,-1%,24%,-17%,-1%,-123%,76%,,,,,,,,,,,
Quarterly Results,Other Income,12,15,10,1,3,75,7,3,2,3,6,2,1,,,,,,,,,,,
Quarterly Results,Interest,26,26,12,4,4,9,5,8,4,3,3,3,3,,,,,,,,,,,
Quarterly Results,Depreciation,5,9,4,12,9,4,6,14,3,9,9,9,9,,,,,,,,,,,
Quarterly Results,Profit before tax,-36,-21,-10,2,-103,-334,-12,-19,27,-41,-6,-290,167,,,,,,,,,,,
Quarterly Results,Tax %,-6%,-38%,-10%,125%,0%,-7%,-9%,54%,3%,-19%,-29%,-2%,2%,,,,,,,,,,,
Quarterly Results,Net Profit,-34,-13,-9,-0,-103,-310,-11,-29,26,-33,-5,-284,163,,,,,,,,,,,
Quarterly Results,EPS in Rs,-1.79,-0.44,-0.45,0.20,-6.71,-19.93,-0.70,-1.80,1.67,-1.96,-0.29,-18.37,10.51,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,646,,,,595,,,,493,,,,1221,1406,1099,792,833,667,812,1117,751,768,
Profit & Loss,Expenses,,673,,,,1062,,,,500,,,,1113,1303,1009,699,755,671,757,1140,748,902,
Profit & Loss,Operating Profit,,-27,,,,-467,,,,-7,,,,108,103,90,93,78,-3,55,-23,2,-134,
Profit & Loss,OPM %,,-4%,,,,-78%,,,,-1%,,,,9%,7%,8%,12%,9%,-0%,7%,-2%,0%,-18%,
Profit & Loss,Other Income,,43,,,,80,,,,15,,,,9,5,1,-12,16,-2,14,-44,73,12,
Profit & Loss,Interest,,107,,,,28,,,,19,,,,72,51,42,63,109,170,179,161,140,11,
Profit & Loss,Depreciation,,25,,,,29,,,,33,,,,14,16,13,16,16,24,23,26,23,37,
Profit & Loss,Profit before tax,,-115,,,,-445,,,,-44,,,,31,42,36,3,-31,-199,-132,-254,-89,-170,
Profit & Loss,Tax %,,-8%,,,,-5%,,,,5%,,,,83%,60%,43%,248%,26%,-14%,6%,3%,-26%,,
Profit & Loss,Net Profit,,-106,,,,-423,,,,-46,,,,5,17,20,-4,-39,-172,-140,-261,-66,-158,
Profit & Loss,EPS in Rs,,-5.20,,,,-26.89,,,,-2.79,,,,0.30,0.38,1.30,-0.13,-1.32,-10.91,-7.41,-15.32,-3.85,-10.11,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,79,,,,79,,,,79,,79,,79,79,79,79,79,79,79,79,79,,
Balance Sheet,Reserves,,-336,,,,-686,,,,-731,,-882,,1546,1512,1544,1526,1532,1467,117,-193,-255,,
Balance Sheet,Borrowings,,770,,,,541,,,,476,,476,,1393,1292,1604,1472,1737,1343,1426,947,847,,
Balance Sheet,Other Liabilities,,6512,,,,6385,,,,6091,,6064,,3799,4011,4193,3922,4771,4553,6791,6658,6572,,
Balance Sheet,Total Liabilities,,7024,,,,6319,,,,5914,,5737,,6817,6894,7419,6999,8119,7441,8413,7490,7243,,
