Section,,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Quarterly Results,Sales,,,,,
Quarterly Results,Expenses,,,,,
Quarterly Results,Operating Profit,,,,,
Quarterly Results,OPM %,,,,,
Quarterly Results,Other Income,,,,,
Quarterly Results,Interest,,,,,
Quarterly Results,Depreciation,,,,,
Quarterly Results,Profit before tax,,,,,
Quarterly Results,Tax %,,,,,
Quarterly Results,Net Profit,,,,,
Quarterly Results,EPS in Rs,,,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,1359,1111,990,3633,1930
Profit & Loss,Expenses,1257,1040,1038,3722,2058
Profit & Loss,Operating Profit,103,71,-48,-89,-128
Profit & Loss,OPM %,8%,6%,-5%,-2%,-7%
Profit & Loss,Other Income,238,288,249,83,110
Profit & Loss,Interest,359,381,306,130,34
Profit & Loss,Depreciation,38,33,33,32,33
Profit & Loss,Profit before tax,-57,-55,-139,-169,-86
Profit & Loss,Tax %,-19%,-3%,-6%,42%,24%
Profit & Loss,Net Profit,-43,-57,-131,-239,-106
Profit & Loss,EPS in Rs,-3.10,-4.06,-9.37,-17.13,-7.61
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%
,,,,,,
Balance Sheet,Equity Capital,140,140,140,140,140
Balance Sheet,Reserves,1224,1164,1294,1075,889
Balance Sheet,Borrowings,6027,7374,10366,9680,10688
Balance Sheet,Other Liabilities,966,1179,1616,1639,2163
Balance Sheet,Total Liabilities,8356,9857,13415,12533,13879
Balance Sheet,Fixed Assets,647,724,698,682,639
Balance Sheet,CWIP,214,110,121,131,146
Balance Sheet,Investments,734,735,77,85,93
Balance Sheet,Other Assets,6761,8287,12520,11635,13002
Balance Sheet,Total Assets,8356,9857,13415,12533,13879
,,,,,,
Cash Flows,Cash from Operating Activity,871,757,402,2139,376
Cash Flows,Cash from Investing Activity,53,-59,104,81,-149
Cash Flows,Cash from Financing Activity,-771,-648,-422,-2101,-258
Cash Flows,Net Cash Flow,153,50,84,119,-30
,,,,,,
Ratios,Debtor Days,147,187,249,48,118
Ratios,Inventory Days,1458,2186,4452,1043,2264
Ratios,Days Payable,98,104,122,24,90
Ratios,Cash Conversion Cycle,1507,2269,4579,1067,2292
Ratios,Working Capital Days,1348,2024,3820,953,1900
Ratios,ROCE %,,4%,2%,-0%,-0%
,,,,,,
