Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,65,62,61,54,68,,
Quarterly Results,Expenses,36,36,38,38,41,,
Quarterly Results,Operating Profit,29,26,23,16,28,,
Quarterly Results,OPM %,44%,42%,38%,29%,40%,,
Quarterly Results,Other Income,1,2,5,8,10,,
Quarterly Results,Interest,1,2,1,1,1,,
Quarterly Results,Depreciation,1,1,2,3,4,,
Quarterly Results,Profit before tax,28,25,25,19,33,,
Quarterly Results,Tax %,28%,21%,27%,20%,10%,,
Quarterly Results,Net Profit,20,20,18,16,29,,
Quarterly Results,EPS in Rs,4.63,4.48,3.79,3.06,5.74,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,209,,,243,36,94
Profit & Loss,Expenses,,130,,,151,28,59
Profit & Loss,Operating Profit,,79,,,92,8,35
Profit & Loss,OPM %,,38%,,,38%,22%,37%
Profit & Loss,Other Income,,5,,,25,1,1
Profit & Loss,Interest,,3,,,4,2,2
Profit & Loss,Depreciation,,4,,,11,3,4
Profit & Loss,Profit before tax,,76,,,102,4,29
Profit & Loss,Tax %,,24%,,,18%,9%,22%
Profit & Loss,Net Profit,,58,,,83,3,23
Profit & Loss,EPS in Rs,,13.21,,,16.41,325.34,2189.06
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%
,,,,,,,,
Balance Sheet,Equity Capital,,22,,,25,1,1
Balance Sheet,Reserves,,87,,,643,27,48
Balance Sheet,Borrowings,,30,,,84,20,24
Balance Sheet,Other Liabilities,,37,,,54,9,20
Balance Sheet,Total Liabilities,,176,,,807,57,93
Balance Sheet,Fixed Assets,,52,,,162,25,29
Balance Sheet,CWIP,,0,,,5,3,0
Balance Sheet,Investments,,0,,,344,0,0
Balance Sheet,Other Assets,,124,,,297,29,64
Balance Sheet,Total Assets,,176,,,807,57,93
,,,,,,,,
Cash Flows,Cash from Operating Activity,,24,,,81,2,1
Cash Flows,Cash from Investing Activity,,-24,,,-461,1,-6
Cash Flows,Cash from Financing Activity,,6,,,515,-0,3
Cash Flows,Net Cash Flow,,5,,,135,2,-2
,,,,,,,,
Ratios,Debtor Days,,82,,,83,76,125
Ratios,Inventory Days,,163,,,136,242,303
Ratios,Days Payable,,111,,,111,211,133
Ratios,Cash Conversion Cycle,,133,,,108,106,295
Ratios,Working Capital Days,,120,,,617,104,172
Ratios,ROCE %,,75%,,,24%,,52%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,79.82%,79.82%,,
Shareholding Pattern (Quarterly),FIIs,,,,1.62%,0.44%,,
Shareholding Pattern (Quarterly),DIIs,,,,6.57%,7.76%,,
Shareholding Pattern (Quarterly),Public,,,,12.01%,11.98%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,120897,76035,,
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,79.82%,,
Shareholding Pattern (Yearly),FIIs,,,,,0.44%,,
Shareholding Pattern (Yearly),DIIs,,,,,7.76%,,
Shareholding Pattern (Yearly),Public,,,,,11.98%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,76035,,
,,,,,,,,
