Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2020,Sep 2021,Sep 2022,Sep 2023
Quarterly Results,Sales,14.16,106.13,43.72,34.42,84.42,,,,,,,,,,,
Quarterly Results,Expenses,24.35,76.22,53.50,35.08,77.30,,,,,,,,,,,
Quarterly Results,Operating Profit,-10.19,29.91,-9.78,-0.66,7.12,,,,,,,,,,,
Quarterly Results,OPM %,-71.96%,28.18%,-22.37%,-1.92%,8.43%,,,,,,,,,,,
Quarterly Results,Other Income,-0.01,0.24,0.23,0.32,0.44,,,,,,,,,,,
Quarterly Results,Interest,0.74,1.43,2.08,1.00,2.10,,,,,,,,,,,
Quarterly Results,Depreciation,0.64,1.68,0.66,0.32,0.93,,,,,,,,,,,
Quarterly Results,Profit before tax,-11.58,27.04,-12.29,-1.66,4.53,,,,,,,,,,,
Quarterly Results,Tax %,0.09%,8.17%,0.00%,0.00%,49.23%,,,,,,,,,,,
Quarterly Results,Net Profit,-11.59,24.82,-12.29,-1.66,2.30,,,,,,,,,,,
Quarterly Results,EPS in Rs,-10.35,22.07,-10.93,-1.48,2.05,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,163,,,163,42,75,97,102,56,81,112,,,,
Profit & Loss,Expenses,,147,,,166,34,65,85,94,55,74,104,,,,
Profit & Loss,Operating Profit,,16,,,-3,9,10,12,8,1,7,8,,,,
Profit & Loss,OPM %,,10%,,,-2%,21%,13%,12%,8%,2%,8%,8%,,,,
Profit & Loss,Other Income,,-0,,,1,0,0,-1,0,-0,0,0,,,,
Profit & Loss,Interest,,4,,,5,1,2,3,2,3,3,4,,,,
Profit & Loss,Depreciation,,3,,,2,1,1,2,2,2,1,1,,,,
Profit & Loss,Profit before tax,,9,,,-9,6,7,7,4,-4,2,4,,,,
Profit & Loss,Tax %,,26%,,,24%,38%,27%,23%,21%,-2%,3%,42%,,,,
Profit & Loss,Net Profit,,6,,,-12,4,5,5,3,-4,2,2,,,,
Profit & Loss,EPS in Rs,,5.72,,,-10.36,28.36,7.11,4.52,2.74,-3.15,2.12,1.93,,,,
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,11,,,11,1,6,10,10,10,10,10,,,,
Balance Sheet,Reserves,,101,,,90,6,8,37,39,36,43,49,,,,
Balance Sheet,Borrowings,,52,,,56,10,18,24,24,26,31,44,,,,
Balance Sheet,Other Liabilities,,74,,,76,38,28,28,41,39,37,63,,,,
Balance Sheet,Total Liabilities,,238,,,233,55,60,99,115,112,121,166,,,,
Balance Sheet,Fixed Assets,,12,,,38,6,10,12,15,14,13,12,,,,
Balance Sheet,CWIP,,22,,,18,0,0,11,12,13,17,21,,,,
Balance Sheet,Investments,,2,,,1,0,0,0,0,0,2,2,,,,
Balance Sheet,Other Assets,,203,,,176,49,49,76,87,84,89,131,,,,
Balance Sheet,Total Assets,,238,,,233,55,60,99,115,112,121,166,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-9,,,-6,,5,-14,4,3,1,-0,,,,
Cash Flows,Cash from Investing Activity,,-1,,,-24,,-5,-15,-4,-2,-6,-5,,,,
Cash Flows,Cash from Financing Activity,,42,,,-0,,-0,31,-2,-0,7,8,,,,
Cash Flows,Net Cash Flow,,33,,,-30,,-1,2,-1,1,2,3,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,211,,,191,141,95,117,140,274,184,215,,,,
Ratios,Inventory Days,,,,,190,463,254,,,,,,,,,
Ratios,Days Payable,,,,,160,361,151,,,,,,,,,
Ratios,Cash Conversion Cycle,,211,,,222,243,198,117,140,274,184,215,,,,
Ratios,Working Capital Days,,198,,,202,75,86,159,155,270,212,195,,,,
Ratios,ROCE %,,10%,,,-3%,,35%,20%,9%,-1%,7%,8%,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,55.64%,55.65%,55.65%,55.65%,,,,61.48%,61.48%,61.48%,61.48%,61.48%,61.48%,61.48%,61.48%
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.22%,0.22%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.55%,0.79%,,,,7.98%,1.43%,0.00%,0.00%,7.76%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,44.35%,44.35%,43.57%,43.33%,,,,30.54%,37.09%,38.52%,38.53%,30.76%,38.52%,38.53%,38.53%
Shareholding Pattern (Quarterly),No. of Shareholders,,2507,3288,4858,5720,,,,344,620,710,866,379,649,878,1672
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,55.64%,,,55.65%,,,61.40%,61.48%,61.48%,61.48%,61.48%,,,,
Shareholding Pattern (Yearly),FIIs,,0.00%,,,0.22%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Yearly),DIIs,,0.00%,,,0.79%,,,7.98%,7.98%,1.43%,0.00%,0.00%,,,,
Shareholding Pattern (Yearly),Public,,44.35%,,,43.33%,,,30.62%,30.54%,37.09%,38.52%,38.53%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,2507,,,5720,,,356,344,620,710,866,,,,
,,,,,,,,,,,,,,,,,
