Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1134,1131,1104,1219,1425,1282,1292,1487,1633,,,,,,,,,,
Quarterly Results,Expenses,975,969,945,1039,1222,1097,1104,1268,1398,,,,,,,,,,
Quarterly Results,Operating Profit,159,162,160,179,203,184,188,219,235,,,,,,,,,,
Quarterly Results,OPM %,14%,14%,14%,15%,14%,14%,15%,15%,14%,,,,,,,,,,
Quarterly Results,Other Income,9,7,6,7,9,9,8,7,10,,,,,,,,,,
Quarterly Results,Interest,27,27,27,33,37,33,33,47,43,,,,,,,,,,
Quarterly Results,Depreciation,41,41,42,43,41,41,41,42,45,,,,,,,,,,
Quarterly Results,Profit before tax,100,100,96,111,134,120,122,136,157,,,,,,,,,,
Quarterly Results,Tax %,26%,27%,23%,26%,26%,28%,26%,27%,27%,,,,,,,,,,
Quarterly Results,Net Profit,74,73,73,83,102,87,90,100,114,,,,,,,,,,
Quarterly Results,EPS in Rs,9.76,9.63,9.71,10.92,13.46,11.48,11.92,13.21,15.09,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4203,,,,4879,,,,5693,1508,1573,,,,,,,,
Profit & Loss,Expenses,3606,,,,4175,,,,4867,1261,1323,,,,,,,,
Profit & Loss,Operating Profit,597,,,,704,,,,826,246,249,,,,,,,,
Profit & Loss,OPM %,14%,,,,14%,,,,15%,16%,16%,,,,,,,,
Profit & Loss,Other Income,30,,,,28,,,,33,21,30,,,,,,,,
Profit & Loss,Interest,99,,,,124,,,,155,63,66,,,,,,,,
Profit & Loss,Depreciation,155,,,,168,,,,169,51,56,,,,,,,,
Profit & Loss,Profit before tax,374,,,,441,,,,535,153,158,,,,,,,,
Profit & Loss,Tax %,27%,,,,25%,,,,27%,37%,33%,,,,,,,,
Profit & Loss,Net Profit,274,,,,331,,,,391,96,106,,,,,,,,
Profit & Loss,EPS in Rs,36.26,,,,43.71,,,,51.70,12.70,13.95,,,,,,,,
Profit & Loss,Dividend Payout %,10%,,,,9%,,,,8%,16%,14%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,38,,,,38,,,,38,38,38,,,,,,,,
Balance Sheet,Reserves,2302,,,,2606,,,,2970,1254,1351,,,,,,,,
Balance Sheet,Borrowings,547,,,,593,,,,704,354,437,,,,,,,,
Balance Sheet,Other Liabilities,1469,,,,1473,,,,1953,372,943,,,,,,,,
Balance Sheet,Total Liabilities,4356,,,,4710,,,,5665,2017,2769,,,,,,,,
Balance Sheet,Fixed Assets,925,,,,971,,,,1184,430,511,,,,,,,,
Balance Sheet,CWIP,107,,,,111,,,,98,68,71,,,,,,,,
Balance Sheet,Investments,1,,,,4,,,,5,194,17,,,,,,,,
Balance Sheet,Other Assets,3323,,,,3625,,,,4378,1326,2169,,,,,,,,
Balance Sheet,Total Assets,4356,,,,4710,,,,5665,2017,2769,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,220,,,,339,,,,376,75,268,,,,,,,,
Cash Flows,Cash from Investing Activity,-220,,,,-195,,,,-306,-226,-201,,,,,,,,
Cash Flows,Cash from Financing Activity,-46,,,,-105,,,,-105,170,-1,,,,,,,,
Cash Flows,Net Cash Flow,-46,,,,38,,,,-35,19,66,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,99,,,,89,,,,96,52,118,,,,,,,,
Ratios,Inventory Days,51,,,,55,,,,42,233,250,,,,,,,,
Ratios,Days Payable,83,,,,68,,,,70,59,68,,,,,,,,
Ratios,Cash Conversion Cycle,68,,,,77,,,,67,226,300,,,,,,,,
Ratios,Working Capital Days,99,,,,105,,,,91,141,119,,,,,,,,
Ratios,ROCE %,,,,,18%,,,,20%,,13%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,,,46.65%,46.64%,46.64%,,,,,
Shareholding Pattern (Quarterly),FIIs,9.81%,10.06%,10.01%,8.70%,10.14%,10.47%,9.99%,10.50%,11.95%,,,8.44%,9.71%,9.85%,,,,,
Shareholding Pattern (Quarterly),DIIs,13.04%,13.31%,14.79%,16.64%,16.53%,16.94%,16.58%,16.17%,15.50%,,,13.24%,13.04%,13.04%,,,,,
Shareholding Pattern (Quarterly),Public,30.51%,30.00%,28.54%,28.00%,26.70%,25.95%,26.78%,26.68%,25.90%,,,31.68%,30.62%,30.47%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,28902,26845,27149,36526,40923,52289,66691,74078,60585,,,29609,29143,28016,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,46.64%,,,,46.64%,,,,46.64%,,43.94%,,,,43.94%,44.13%,45.32%,46.51%,46.65%
Shareholding Pattern (Yearly),FIIs,9.81%,,,,10.14%,,,,11.95%,,24.40%,,,,23.64%,20.50%,9.65%,8.54%,6.41%
Shareholding Pattern (Yearly),DIIs,13.04%,,,,16.53%,,,,15.50%,,10.54%,,,,11.77%,6.59%,11.69%,10.62%,10.54%
Shareholding Pattern (Yearly),Public,30.51%,,,,26.70%,,,,25.90%,,21.12%,,,,20.65%,28.78%,33.34%,34.33%,36.40%
Shareholding Pattern (Yearly),No. of Shareholders,28902,,,,40923,,,,60585,,27263,,,,24567,22624,22912,22509,30643
,,,,,,,,,,,,,,,,,,,,
