Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,239,446,208,302,378,450,362,431,450,576,,,,
Quarterly Results,Expenses,236,362,192,248,282,316,277,324,337,398,,,,
Quarterly Results,Operating Profit,3,84,16,55,96,134,85,107,113,178,,,,
Quarterly Results,OPM %,1%,19%,8%,18%,25%,30%,23%,25%,25%,31%,,,,
Quarterly Results,Other Income,3,41,-1,1,3,3,4,11,-0,-0,,,,
Quarterly Results,Interest,23,32,21,25,24,21,11,9,11,11,,,,
Quarterly Results,Depreciation,9,11,8,8,9,8,8,9,9,10,,,,
Quarterly Results,Profit before tax,-26,83,-13,23,67,108,70,99,93,156,,,,
Quarterly Results,Tax %,-3%,17%,5%,27%,28%,7%,27%,24%,14%,30%,,,,
Quarterly Results,Net Profit,-25,69,-14,17,48,100,51,76,80,109,,,,
Quarterly Results,EPS in Rs,-8.51,21.10,-4.10,0.86,2.44,4.38,2.24,3.34,3.53,4.79,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,929,,,,1338,,,,1818,965,687,532,746
Profit & Loss,Expenses,,852,,,,1038,,,,1327,874,680,507,674
Profit & Loss,Operating Profit,,77,,,,301,,,,491,92,7,25,73
Profit & Loss,OPM %,,8%,,,,22%,,,,27%,9%,1%,5%,10%
Profit & Loss,Other Income,,54,,,,6,,,,5,55,44,10,4
Profit & Loss,Interest,,90,,,,90,,,,42,73,71,76,82
Profit & Loss,Depreciation,,34,,,,33,,,,36,36,37,38,36
Profit & Loss,Profit before tax,,7,,,,185,,,,418,38,-58,-79,-42
Profit & Loss,Tax %,,175%,,,,18%,,,,24%,52%,-13%,-2%,16%
Profit & Loss,Net Profit,,-5,,,,151,,,,316,18,-50,-77,-48
Profit & Loss,EPS in Rs,,-1.66,,,,6.63,,,,13.90,6.27,-17.07,-26.19,-16.38
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,33,,,,45,,,,45,29,29,29,29
Balance Sheet,Reserves,,49,,,,1319,,,,1641,216,160,77,12
Balance Sheet,Borrowings,,835,,,,304,,,,497,579,648,722,792
Balance Sheet,Other Liabilities,,598,,,,510,,,,609,423,469,552,453
Balance Sheet,Total Liabilities,,1515,,,,2178,,,,2792,1247,1307,1381,1286
Balance Sheet,Fixed Assets,,283,,,,322,,,,485,344,344,322,292
Balance Sheet,CWIP,,15,,,,58,,,,168,34,56,54,5
Balance Sheet,Investments,,3,,,,4,,,,0,1,0,2,2
Balance Sheet,Other Assets,,1214,,,,1795,,,,2139,868,906,1003,986
Balance Sheet,Total Assets,,1515,,,,2178,,,,2792,1247,1307,1381,1286
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,42,,,,-48,,,,-105,144,25,28,39
Cash Flows,Cash from Investing Activity,,-32,,,,-170,,,,-329,54,-36,-18,-31
Cash Flows,Cash from Financing Activity,,3,,,,505,,,,145,-191,-2,-3,-15
Cash Flows,Net Cash Flow,,14,,,,286,,,,-289,8,-13,7,-8
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,57,,,,68,,,,98,66,105,149,98
Ratios,Inventory Days,,543,,,,469,,,,378,393,587,888,551
Ratios,Days Payable,,273,,,,201,,,,172,168,255,406,257
Ratios,Cash Conversion Cycle,,327,,,,336,,,,304,292,437,632,392
Ratios,Working Capital Days,,230,,,,241,,,,282,164,224,275,252
Ratios,ROCE %,,8%,,,,21%,,,,24%,,-2%,-0%,5%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,62.55%,62.55%,62.55%,62.55%,62.55%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,5.75%,4.91%,5.81%,5.91%,7.20%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,5.89%,6.54%,10.99%,11.39%,10.43%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,25.81%,26.00%,20.65%,20.13%,19.84%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,36870,45162,49323,56461,62550,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,62.55%,,,,62.55%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,5.75%,,,,7.20%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,5.89%,,,,10.43%,,,,
Shareholding Pattern (Yearly),Public,,,,,,25.81%,,,,19.84%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,36870,,,,62550,,,,
,,,,,,,,,,,,,,,
