Section,,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2018,Jun 2018
Quarterly Results,Sales,250.02,192.28,200.78,198.22,105.03,74.45,74.55,59.96,134.41,223.86,250.30,307.42,333.81,,,,,,,,,,,,,,,
Quarterly Results,Expenses,477.33,496.36,221.22,205.84,117.32,63.05,64.21,56.95,116.44,199.72,237.26,291.48,320.06,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-227.31,-304.08,-20.44,-7.62,-12.29,11.40,10.34,3.01,17.97,24.14,13.04,15.94,13.75,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-90.92%,-158.14%,-10.18%,-3.84%,-11.70%,15.31%,13.87%,5.02%,13.37%,10.78%,5.21%,5.19%,4.12%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,93.67,21.59,1.17,1.59,7.29,0.07,-1.06,-1.44,2.88,-0.04,0.18,0.09,0.24,,,,,,,,,,,,,,,
Quarterly Results,Interest,33.38,22.20,1.53,0.98,0.82,1.23,2.19,2.13,1.16,2.67,4.32,4.80,0.86,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,22.89,25.26,23.90,23.90,23.90,4.72,4.72,4.72,5.40,4.89,4.92,4.98,5.48,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-189.91,-329.95,-44.70,-30.91,-29.72,5.52,2.37,-5.28,14.29,16.54,3.98,6.25,7.65,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,-3.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.84%,-0.12%,-0.50%,-0.32%,-0.26%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-213.23,-305.55,-46.69,-30.90,-29.71,5.52,2.37,-5.28,14.42,16.56,4.00,6.27,7.66,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-3.09,-1.13,-0.17,-0.11,-0.11,0.10,0.04,-0.10,0.27,0.31,0.08,0.12,0.15,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1131,,,,,,,343,,,,1115,528,693,860,1521,2004,2563,3153,2778,2235,,,,,,
Profit & Loss,Expenses,,1778,,,,,,,301,,,,1049,461,604,743,1335,1781,2331,2871,2715,2242,,,,,,
Profit & Loss,Operating Profit,,-647,,,,,,,43,,,,67,66,90,117,185,224,232,282,63,-8,,,,,,
Profit & Loss,OPM %,,-57%,,,,,,,12%,,,,6%,13%,13%,14%,12%,11%,9%,9%,2%,-0%,,,,,,
Profit & Loss,Other Income,,125,,,,,,,0,,,,1,2,2,1,1,3,15,8,-15,15,,,,,,
Profit & Loss,Interest,,191,,,,,,,7,,,,13,15,22,24,27,53,92,123,177,235,,,,,,
Profit & Loss,Depreciation,,94,,,,,,,20,,,,20,3,5,7,20,25,34,36,51,58,,,,,,
Profit & Loss,Profit before tax,,-808,,,,,,,17,,,,34,51,64,87,140,149,121,131,-179,-286,,,,,,
Profit & Loss,Tax %,,-2%,,,,,,,-1%,,,,-0%,10%,12%,29%,21%,16%,14%,15%,3%,-5%,,,,,,
Profit & Loss,Net Profit,,-805,,,,,,,17,,,,34,46,56,62,110,126,104,111,-184,-273,,,,,,
