Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Revenue,8626,9284,9970,10787,11364,12498,13382,14164,14926,16099,17091,18035,18457,,,,,,,,
Quarterly Results,Interest,2568,2645,2972,3351,3592,4103,4537,4868,5217,5684,6149,6386,6552,,,,,,,,
Quarterly Results,Expenses,2691,3026,3129,3308,3382,3693,3931,4229,4420,4956,5338,5691,6026,,,,,,,,
Quarterly Results,Financing Profit,3367,3613,3869,4129,4390,4703,4914,5066,5289,5459,5604,5958,5879,,,,,,,,
Quarterly Results,Financing Margin %,39%,39%,39%,38%,39%,38%,37%,36%,35%,34%,33%,33%,32%,,,,,,,,
Quarterly Results,Other Income,3,2,4,2,5,5,2,5,9,6,8,26,21,,,,,,,,
Quarterly Results,Depreciation,104,111,121,119,134,156,159,176,193,200,210,219,252,,,,,,,,
Quarterly Results,Profit before tax,3265,3503,3752,4012,4261,4551,4758,4896,5105,5265,5401,5765,5647,,,,,,,,
Quarterly Results,Tax %,26%,26%,26%,26%,26%,24%,25%,26%,25%,26%,26%,25%,20%,,,,,,,,
Quarterly Results,Net Profit,2420,2596,2781,2973,3158,3437,3551,3639,3825,3912,4014,4308,4546,,,,,,,,
Quarterly Results,EPS in Rs,4.00,4.29,4.59,4.91,5.22,5.67,5.86,5.89,6.18,6.32,6.46,6.86,7.21,,,,,,,,
Quarterly Results,Gross NPA %,1.60%,1.25%,1.17%,1.14%,0.94%,0.87%,0.91%,0.95%,0.85%,0.86%,1.06%,1.12%,0.96%,,,,,,,,
Quarterly Results,Net NPA %,0.68%,0.51%,0.44%,0.41%,0.34%,0.31%,0.31%,0.37%,0.37%,0.38%,0.46%,0.48%,0.44%,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,31641,,,,41411,,,,54974,,,,69709,5392,7299,9970,12746,18487,26374,26673,
Profit & Loss,Interest,9855,,,,12701,,,,18886,,,,24992,2274,2959,3853,4696,6723,9608,9519,
Profit & Loss,Expenses,11880,,,,12693,,,,16099,,,,21754,1752,2354,3250,4115,5454,9159,10839,
Profit & Loss,Financing Profit,9906,,,,16018,,,,19989,,,,22963,1367,1986,2867,3935,6310,7608,6314,
Profit & Loss,Financing Margin %,31%,,,,39%,,,,36%,,,,33%,25%,27%,29%,31%,34%,29%,24%,
Profit & Loss,Other Income,-17,,,,-5,,,,4,,,,-2,26,35,22,10,13,9,3,
Profit & Loss,Depreciation,385,,,,485,,,,683,,,,881,36,56,71,102,144,295,325,
Profit & Loss,Profit before tax,9504,,,,15528,,,,19310,,,,22080,1357,1965,2817,3843,6179,7322,5992,
Profit & Loss,Tax %,26%,,,,26%,,,,25%,,,,24%,34%,35%,35%,35%,35%,28%,26%,
Profit & Loss,Net Profit,7028,,,,11508,,,,14451,,,,16779,898,1279,1836,2496,3995,5264,4420,
Profit & Loss,EPS in Rs,11.61,,,,19.01,,,,23.35,,,,26.77,1.79,2.37,3.34,4.32,6.91,8.75,7.33,
Profit & Loss,Dividend Payout %,17%,,,,16%,,,,15%,,,,21%,10%,10%,11%,9%,9%,11%,14%,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,121,,,,121,,,,124,,,,124,50,54,109,115,115,120,120,
Balance Sheet,Reserves,43592,,,,54251,,,,76572,,,,96569,4750,7373,9491,15733,19582,32208,36798,
Balance Sheet,Borrowing,165232,,,,216690,,,,293346,,,,361249,26655,37025,49250,66557,101588,129806,131634,
Balance Sheet,Other Liabilities,3562,,,,4164,,,,5700,,,,8185,1325,2522,4881,2393,2948,2257,2918,
