Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,,,,
Profit & Loss,Expenses,,,,
Profit & Loss,Operating Profit,,,,
Profit & Loss,OPM %,,,,
Profit & Loss,Other Income,,,,
Profit & Loss,Interest,,,,
Profit & Loss,Depreciation,,,,
Profit & Loss,Profit before tax,,,,
Profit & Loss,Tax %,,,,
Profit & Loss,Net Profit,,,,
Profit & Loss,EPS in Rs,,,,
Profit & Loss,Dividend Payout %,,,,
,,,,,
Balance Sheet,Equity Capital,,,,
Balance Sheet,Reserves,,,,
Balance Sheet,Borrowings,,,,
Balance Sheet,Other Liabilities,,,,
Balance Sheet,Total Liabilities,,,,
Balance Sheet,Fixed Assets,,,,
Balance Sheet,CWIP,,,,
Balance Sheet,Investments,,,,
Balance Sheet,Other Assets,,,,
Balance Sheet,Total Assets,,,,
,,,,,
Cash Flows,Cash from Operating Activity,,,,
Cash Flows,Cash from Investing Activity,,,,
Cash Flows,Cash from Financing Activity,,,,
Cash Flows,Net Cash Flow,,,,
,,,,,
Ratios,Debtor Days,,,,
Ratios,Inventory Days,,,,
Ratios,Days Payable,,,,
Ratios,Cash Conversion Cycle,,,,
Ratios,Working Capital Days,,,,
Ratios,ROCE %,,,,
,,,,,
Shareholding Pattern (Quarterly),Promoters,73.58%,73.28%,73.18%,73.12%
Shareholding Pattern (Quarterly),FIIs,5.10%,5.51%,6.47%,7.86%
Shareholding Pattern (Quarterly),DIIs,16.22%,15.57%,15.18%,15.26%
Shareholding Pattern (Quarterly),Public,5.10%,5.62%,5.18%,3.76%
Shareholding Pattern (Quarterly),No. of Shareholders,67000,63484,66301,71321
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.12%
Shareholding Pattern (Yearly),FIIs,,,,7.86%
Shareholding Pattern (Yearly),DIIs,,,,15.26%
Shareholding Pattern (Yearly),Public,,,,3.76%
Shareholding Pattern (Yearly),No. of Shareholders,,,,71321
,,,,,
