Section,,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2022,Sep 2022,Dec 2022,Mar 2022
Quarterly Results,Sales,25.21,43.34,48.08,53.86,72.09,69.10,78.42,82.66,82.73,77.16,88.95,91.04,92.18,,,,,,,,
Quarterly Results,Expenses,22.49,38.47,42.25,47.08,64.42,61.47,69.69,72.73,72.98,68.59,79.22,80.08,80.86,,,,,,,,
Quarterly Results,Operating Profit,2.72,4.87,5.83,6.78,7.67,7.63,8.73,9.93,9.75,8.57,9.73,10.96,11.32,,,,,,,,
Quarterly Results,OPM %,10.79%,11.24%,12.13%,12.59%,10.64%,11.04%,11.13%,12.01%,11.79%,11.11%,10.94%,12.04%,12.28%,,,,,,,,
Quarterly Results,Other Income,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.00,0.47,0.01,0.02,0.02,0.02,,,,,,,,
Quarterly Results,Interest,1.38,1.46,1.33,1.27,1.23,1.26,1.45,1.41,1.32,1.18,1.18,1.22,1.46,,,,,,,,
Quarterly Results,Depreciation,0.95,0.91,0.93,0.94,1.34,1.49,1.57,1.36,1.20,1.38,1.42,1.34,1.34,,,,,,,,
Quarterly Results,Profit before tax,0.41,2.52,3.59,4.59,5.12,4.90,5.72,7.16,7.70,6.02,7.15,8.42,8.54,,,,,,,,
Quarterly Results,Tax %,29.27%,28.57%,28.13%,27.67%,25.59%,25.51%,25.52%,17.88%,21.17%,25.58%,25.03%,17.58%,20.14%,,,,,,,,
Quarterly Results,Net Profit,0.30,1.80,2.58,3.33,3.81,3.65,4.26,5.88,6.07,4.48,5.36,6.93,6.83,,,,,,,,
Quarterly Results,EPS in Rs,0.04,0.23,0.33,0.43,0.49,0.47,0.55,0.75,0.78,0.57,0.69,0.89,0.88,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,170,271,,,,313,,,,349,180,193,226,216,,,,
Profit & Loss,Expenses,,,,150,241,,,,277,,,,309,158,168,200,192,,,,
Profit & Loss,Operating Profit,,,,20,30,,,,36,,,,41,22,24,26,24,,,,
Profit & Loss,OPM %,,,,12%,11%,,,,12%,,,,12%,12%,13%,11%,11%,,,,
Profit & Loss,Other Income,,,,1,1,,,,0,,,,0,0,0,0,1,,,,
Profit & Loss,Interest,,,,6,5,,,,5,,,,5,4,5,6,6,,,,
Profit & Loss,Depreciation,,,,4,5,,,,6,,,,5,3,3,4,4,,,,
Profit & Loss,Profit before tax,,,,11,20,,,,25,,,,30,15,16,16,15,,,,
Profit & Loss,Tax %,,,,28%,22%,,,,22%,,,,22%,23%,26%,28%,28%,,,,
Profit & Loss,Net Profit,,,,8,16,,,,20,,,,24,11,12,11,11,,,,
Profit & Loss,EPS in Rs,,,,1.03,2.06,,,,2.54,,,,3.02,1.45,1.56,1.47,1.38,,,,
Profit & Loss,Dividend Payout %,,,,34%,29%,,,,31%,,,,33%,21%,22%,24%,25%,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,8,16,,,,16,,,,16,8,8,8,8,,,,
Balance Sheet,Reserves,,,,84,100,,,,115,,,,132,54,63,71,79,,,,
Balance Sheet,Borrowings,,,,29,44,,,,31,,,,46,37,56,58,39,,,,
Balance Sheet,Other Liabilities,,,,70,65,,,,71,,,,52,50,69,70,75,,,,
Balance Sheet,Total Liabilities,,,,190,224,,,,232,,,,245,148,196,208,200,,,,
Balance Sheet,Fixed Assets,,,,58,56,,,,84,,,,93,51,71,67,66,,,,
Balance Sheet,CWIP,,,,7,24,,,,1,,,,3,6,4,7,7,,,,
Balance Sheet,Investments,,,,0,0,,,,0,,,,0,0,0,0,0,,,,
Balance Sheet,Other Assets,,,,124,144,,,,147,,,,149,91,121,133,127,,,,
Balance Sheet,Total Assets,,,,190,224,,,,232,,,,245,148,196,208,200,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,21,-2,,,,29,,,,16,3,10,10,32,,,,
