Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2021,Oct 2022
Quarterly Results,Sales,4.92,2.58,6.16,4.50,6.33,6.47,7.29,5.83,8.79,8.00,12.50,,,,,,,
Quarterly Results,Expenses,9.30,3.95,6.16,7.00,7.40,5.08,3.88,4.63,7.62,7.15,6.40,,,,,,,
Quarterly Results,Operating Profit,-4.38,-1.37,0.00,-2.50,-1.07,1.39,3.41,1.20,1.17,0.85,6.10,,,,,,,
Quarterly Results,OPM %,-89.02%,-53.10%,0.00%,-55.56%,-16.90%,21.48%,46.78%,20.58%,13.31%,10.62%,48.80%,,,,,,,
Quarterly Results,Other Income,0.36,-0.25,0.71,0.15,0.16,0.15,0.24,0.19,0.23,0.26,0.21,,,,,,,
Quarterly Results,Interest,0.08,0.14,0.14,0.24,0.28,0.29,0.23,0.15,0.11,0.09,0.04,,,,,,,
Quarterly Results,Depreciation,0.56,0.58,0.71,1.02,1.02,1.04,1.01,1.04,1.04,1.04,1.02,,,,,,,
Quarterly Results,Profit before tax,-4.66,-2.34,-0.14,-3.61,-2.21,0.21,2.41,0.20,0.25,-0.02,5.25,,,,,,,
Quarterly Results,Tax %,-12.23%,-25.21%,-7.14%,-24.93%,-24.89%,23.81%,23.65%,20.00%,16.00%,-50.00%,24.95%,,,,,,,
Quarterly Results,Net Profit,-4.15,-1.66,-0.06,-2.71,-1.66,0.02,1.92,0.16,0.21,-0.01,3.93,,,,,,,
Quarterly Results,EPS in Rs,-3.99,-1.60,-0.06,-2.61,-1.60,0.02,1.85,0.15,0.20,-0.01,3.77,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,17.44,,,,24.59,,,,35.11,3.24,3.83,5.63,7.59,14.54,,
Profit & Loss,Expenses,,,22.43,,,,23.36,,,,25.79,2.01,2.44,4.02,5.81,10.35,,
Profit & Loss,Operating Profit,,,-4.99,,,,1.23,,,,9.32,1.23,1.39,1.61,1.78,4.19,,
Profit & Loss,OPM %,,,-28.61%,,,,5.00%,,,,26.55%,37.96%,36.29%,28.60%,23.45%,28.82%,,
Profit & Loss,Other Income,,,0.76,,,,0.70,,,,0.89,0.06,0.07,0.12,0.52,0.63,,
Profit & Loss,Interest,,,0.37,,,,1.04,,,,0.39,0.04,0.01,0.08,0.08,0.14,,
Profit & Loss,Depreciation,,,2.40,,,,4.08,,,,4.14,0.07,0.10,0.21,0.22,1.13,,
Profit & Loss,Profit before tax,,,-7.00,,,,-3.19,,,,5.68,1.18,1.35,1.44,2.00,3.55,,
