Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,214.87,201.78,194.99,202.81,204.18,207.79,205.02,,,,,,,,,,,
Quarterly Results,Expenses,175.50,165.32,160.76,167.03,165.56,173.86,178.64,,,,,,,,,,,
Quarterly Results,Operating Profit,39.37,36.46,34.23,35.78,38.62,33.93,26.38,,,,,,,,,,,
Quarterly Results,OPM %,18.32%,18.07%,17.55%,17.64%,18.91%,16.33%,12.87%,,,,,,,,,,,
Quarterly Results,Other Income,0.33,0.42,0.88,1.25,0.11,1.86,0.39,,,,,,,,,,,
Quarterly Results,Interest,4.46,3.18,3.65,4.62,5.18,4.91,8.40,,,,,,,,,,,
Quarterly Results,Depreciation,4.30,4.14,4.34,4.31,4.30,4.62,7.84,,,,,,,,,,,
Quarterly Results,Profit before tax,30.94,29.56,27.12,28.10,29.25,26.26,10.53,,,,,,,,,,,
Quarterly Results,Tax %,24.98%,24.70%,26.07%,25.80%,25.61%,26.50%,26.59%,,,,,,,,,,,
Quarterly Results,Net Profit,23.21,22.26,20.05,20.86,21.77,19.31,7.72,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.39,2.22,2.00,2.08,2.17,1.93,0.77,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,807,,,,820,,,,,,,,,,,
Profit & Loss,Expenses,,,658,,,,685,,,,,,,,,,,
Profit & Loss,Operating Profit,,,148,,,,135,,,,,,,,,,,
Profit & Loss,OPM %,,,18%,,,,16%,,,,,,,,,,,
Profit & Loss,Other Income,,,-0,,,,4,,,,,,,,,,,
Profit & Loss,Interest,,,15,,,,23,,,,,,,,,,,
Profit & Loss,Depreciation,,,17,,,,21,,,,,,,,,,,
Profit & Loss,Profit before tax,,,116,,,,94,,,,,,,,,,,
Profit & Loss,Tax %,,,26%,,,,26%,,,,,,,,,,,
Profit & Loss,Net Profit,,,86,,,,70,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,8.59,,,,6.95,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,1%,,,,1%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,10,,,,10,,,,,,,,,,,
Balance Sheet,Reserves,,,523,,,,591,,,,,,,,,,,
Balance Sheet,Borrowings,,,333,,,,336,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,227,,,,232,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,1093,,,,1169,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,159,,,,506,,,,,,,,,,,
Balance Sheet,CWIP,,,307,,,,22,,,,,,,,,,,
Balance Sheet,Investments,,,2,,,,2,,,,,,,,,,,
Balance Sheet,Other Assets,,,625,,,,640,,,,,,,,,,,
Balance Sheet,Total Assets,,,1093,,,,1169,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-7,,,,123,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-102,,,,-71,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,82,,,,-37,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-27,,,,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,149,,,,140,,,,,,,,,,,
Ratios,Inventory Days,,,188,,,,211,,,,,,,,,,,
Ratios,Days Payable,,,156,,,,155,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,181,,,,197,,,,,,,,,,,
Ratios,Working Capital Days,,,173,,,,175,,,,,,,,,,,
Ratios,ROCE %,,,,,,,13%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,75.00%,72.51%,72.51%,72.51%,72.51%,72.51%,72.51%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.72%,0.47%,0.12%,0.23%,0.23%,0.30%,0.31%,1.38%,0.06%,0.16%,0.72%,0.70%,,,,,,
Shareholding Pattern (Quarterly),DIIs,1.63%,1.72%,2.20%,2.38%,2.51%,2.99%,3.39%,1.13%,1.16%,1.16%,1.16%,1.16%,,,,,,
Shareholding Pattern (Quarterly),Public,22.64%,25.29%,25.17%,24.89%,24.75%,24.20%,23.79%,22.49%,23.76%,23.67%,23.12%,23.12%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,36557,34424,34695,32250,32825,33299,31844,40120,41376,40562,38902,38624,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,72.51%,,,,72.51%,,,,75.00%,,69.98%,65.73%,65.75%,65.75%,65.75%,75.48%
Shareholding Pattern (Yearly),FIIs,,,0.12%,,,,0.31%,,,,0.72%,,0.13%,0.46%,0.06%,0.59%,0.23%,1.51%
Shareholding Pattern (Yearly),DIIs,,,2.20%,,,,3.39%,,,,1.16%,,0.07%,8.62%,9.64%,8.93%,8.24%,1.12%
Shareholding Pattern (Yearly),Government,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,25.17%,,,,23.79%,,,,23.12%,,29.82%,25.04%,24.55%,24.73%,25.77%,21.89%
Shareholding Pattern (Yearly),No. of Shareholders,,,34695,,,,31844,,,,38902,,13797,16607,17095,15551,19639,38144
,,,,,,,,,,,,,,,,,,,
