Section,,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,237,334,278,212,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,229,321,260,197,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,8,12,19,15,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,3%,4%,7%,7%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,3,3,3,3,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,1,2,1,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,2,2,3,3,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,7,12,17,15,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,30%,34%,30%,35%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,5,8,12,10,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.89,1.34,2.03,1.62,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,85%,75%,50%,62%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,59,59,59,59,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,1,2,6,9,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,8,18,23,18,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,28,31,31,26,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,97,111,119,112,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,48,47,52,53,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,6,2,2,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,3,6,11,5,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,45,52,54,52,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,97,111,119,112,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,0,15,15,16,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,9,-8,-7,5,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-8,2,-4,-13,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,9,4,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,33,34,31,28,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,20,8,17,22,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,28,19,22,34,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,25,23,26,16,,,,,,,,,,,,,,,,,,
