Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,1211,1069,1581,1447,1423,1124,627,1103,1634,1612,1384,1611,1737,
Quarterly Results,Expenses,1129,923,1524,1377,1502,934,519,880,1267,1099,973,1336,1448,
Quarterly Results,Operating Profit,82,146,57,71,-78,191,108,222,368,513,411,275,290,
Quarterly Results,OPM %,7%,14%,4%,5%,-6%,17%,17%,20%,22%,32%,30%,17%,17%,
Quarterly Results,Other Income,80,433,1557,580,-46,-88,101,327,446,1529,348,135,291,
Quarterly Results,Interest,346,324,411,276,326,279,272,405,522,450,367,364,394,
Quarterly Results,Depreciation,44,47,47,36,21,39,40,100,112,185,154,139,148,
Quarterly Results,Profit before tax,-228,209,1156,339,-471,-215,-103,45,180,1407,239,-94,38,
Quarterly Results,Tax %,20%,3%,7%,-0%,-0%,1%,19%,4%,5%,3%,-4%,16%,-28%,
Quarterly Results,Net Profit,-272,202,1069,339,-471,-218,-123,43,170,1362,250,-108,49,
Quarterly Results,EPS in Rs,-3.55,3.52,17.94,5.97,-7.84,-3.40,-1.74,0.75,2.69,20.30,3.57,-1.49,0.61,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,4102,,,,5516,,,,4489,,,,6344,2733
Profit & Loss,Expenses,3606,,,,5089,,,,3583,,,,4810,2689
Profit & Loss,Operating Profit,495,,,,427,,,,906,,,,1534,44
Profit & Loss,OPM %,12%,,,,8%,,,,20%,,,,24%,2%
Profit & Loss,Other Income,441,,,,2304,,,,785,,,,2228,-552
Profit & Loss,Interest,1354,,,,1350,,,,1479,,,,1571,1530
Profit & Loss,Depreciation,128,,,,149,,,,305,,,,600,123
Profit & Loss,Profit before tax,-546,,,,1232,,,,-94,,,,1591,-2161
Profit & Loss,Tax %,19%,,,,8%,,,,36%,,,,2%,1%
Profit & Loss,Net Profit,-652,,,,1139,,,,-127,,,,1552,-2185
Profit & Loss,EPS in Rs,-10.73,,,,19.60,,,,-1.71,,,,19.83,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,302,,,,302,,,,302,,,,357,302
Balance Sheet,Reserves,-2466,,,,-2923,,,,-3219,,,,229,-2057
Balance Sheet,Borrowings,10413,,,,8216,,,,13876,,,,10259,11653
Balance Sheet,Other Liabilities,5824,,,,6208,,,,8508,,,,6141,5515
Balance Sheet,Total Liabilities,14073,,,,11803,,,,19467,,,,16987,15413
Balance Sheet,Fixed Assets,3013,,,,2912,,,,10938,,,,8171,3146
Balance Sheet,CWIP,0,,,,0,,,,358,,,,505,0
Balance Sheet,Investments,4978,,,,2111,,,,650,,,,361,5506
Balance Sheet,Other Assets,6082,,,,6779,,,,7521,,,,7950,6761
Balance Sheet,Total Assets,14073,,,,11803,,,,19467,,,,16987,15413
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1215,,,,1230,,,,1690,,,,2833,588
Cash Flows,Cash from Investing Activity,1267,,,,3120,,,,-902,,,,-159,692
Cash Flows,Cash from Financing Activity,-2213,,,,-3840,,,,-1324,,,,-2417,-1603
Cash Flows,Net Cash Flow,269,,,,510,,,,-535,,,,256,-322
,,,,,,,,,,,,,,,
Ratios,Debtor Days,55,,,,36,,,,125,,,,98,113
Ratios,Inventory Days,12,,,,5,,,,52,,,,151,18
Ratios,Days Payable,330,,,,239,,,,635,,,,440,419
Ratios,Cash Conversion Cycle,-263,,,,-198,,,,-458,,,,-192,-288
Ratios,Working Capital Days,-178,,,,-145,,,,-227,,,,81,-243
Ratios,ROCE %,8%,,,,19%,,,,11%,,,,13%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,50.55%,50.55%,50.55%,
Shareholding Pattern (Quarterly),FIIs,,21.59%,21.07%,21.05%,21.19%,20.86%,13.87%,6.50%,5.06%,1.52%,3.41%,3.95%,4.99%,
Shareholding Pattern (Quarterly),DIIs,,1.02%,2.75%,2.75%,2.74%,2.74%,2.73%,2.73%,2.57%,2.70%,2.35%,2.25%,2.29%,
Shareholding Pattern (Quarterly),Public,,17.56%,16.36%,16.39%,16.26%,16.58%,23.56%,30.95%,32.54%,35.94%,43.70%,43.26%,42.16%,
Shareholding Pattern (Quarterly),No. of Shareholders,,357175,347048,337176,331014,324709,367661,351477,369233,357344,364580,365655,360420,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,59.83%,,,,59.83%,,,,59.83%,,,,50.55%,
Shareholding Pattern (Yearly),FIIs,27.29%,,,,21.19%,,,,5.06%,,,,4.99%,
Shareholding Pattern (Yearly),DIIs,1.23%,,,,2.74%,,,,2.57%,,,,2.29%,
Shareholding Pattern (Yearly),Public,11.66%,,,,16.26%,,,,32.54%,,,,42.16%,
Shareholding Pattern (Yearly),No. of Shareholders,381078,,,,331014,,,,369233,,,,360420,
,,,,,,,,,,,,,,,
