Section,,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,395,487,392,443,528,446,350,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,351,432,417,401,488,432,344,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,43,55,-25,42,41,14,6,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,11%,11%,-6%,10%,8%,3%,2%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,6,6,15,8,5,4,18,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,26,24,31,24,25,24,23,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,23,21,21,19,17,12,10,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-1,16,-63,7,3,-19,-8,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-177%,9%,-30%,15%,45%,-29%,-34%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,0,15,-44,6,2,-13,-5,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.08,2.67,-8.01,1.12,0.34,-2.41,-1.00,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,87,102,58,64,66,51,45,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,200,208,144,132,139,125,112,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,113,89,61,72,72,74,64,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,405,404,268,274,283,255,226,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,170,157,129,111,103,98,74,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,28,14,14,14,13,13,13,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,208,233,125,148,166,144,139,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,405,404,268,274,283,255,226,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,59,7,70,29,21,40,2,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,4,8,20,5,-5,-4,32,,,,,,,,,,,,,,,,,,
