Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,78,81,83,83,117,90,109,101,122,125,133,126,136,
Quarterly Results,Expenses,59,62,63,62,94,69,87,77,95,101,109,103,112,
Quarterly Results,Operating Profit,19,19,20,21,23,21,22,24,27,24,24,23,24,
Quarterly Results,OPM %,25%,23%,24%,25%,20%,23%,20%,24%,22%,19%,18%,18%,18%,
Quarterly Results,Other Income,1,1,1,1,1,1,1,2,1,1,1,1,1,
Quarterly Results,Interest,0,0,0,0,0,1,0,0,0,0,0,0,0,
Quarterly Results,Depreciation,1,1,1,2,2,1,2,2,3,2,2,1,1,
Quarterly Results,Profit before tax,19,19,20,20,23,20,21,23,26,23,24,23,24,
Quarterly Results,Tax %,25%,27%,26%,24%,27%,21%,26%,30%,31%,26%,26%,26%,26%,
Quarterly Results,Net Profit,14,14,15,15,17,16,16,16,18,17,18,17,18,
Quarterly Results,EPS in Rs,3.63,3.44,3.70,3.91,4.24,4.01,3.95,4.07,4.59,4.33,4.41,4.38,4.46,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,257,,,,365,,,,422,,,,520,191
Profit & Loss,Expenses,195,,,,282,,,,328,,,,425,151
Profit & Loss,Operating Profit,62,,,,83,,,,94,,,,96,39
Profit & Loss,OPM %,24%,,,,23%,,,,22%,,,,18%,21%
Profit & Loss,Other Income,4,,,,4,,,,5,,,,5,2
Profit & Loss,Interest,1,,,,1,,,,1,,,,1,1
Profit & Loss,Depreciation,4,,,,5,,,,8,,,,6,2
Profit & Loss,Profit before tax,61,,,,81,,,,90,,,,94,38
Profit & Loss,Tax %,25%,,,,26%,,,,27%,,,,26%,24%
Profit & Loss,Net Profit,46,,,,60,,,,65,,,,69,29
Profit & Loss,EPS in Rs,11.64,,,,15.09,,,,16.58,,,,17.57,7.34
Profit & Loss,Dividend Payout %,11%,,,,10%,,,,9%,,,,9%,10%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20,,,,20,,,,20,,,,20,20
Balance Sheet,Reserves,173,,,,230,,,,290,,,,353,134
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,1,0
Balance Sheet,Other Liabilities,24,,,,46,,,,41,,,,52,15
Balance Sheet,Total Liabilities,216,,,,296,,,,350,,,,426,169
Balance Sheet,Fixed Assets,18,,,,22,,,,28,,,,24,12
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0
Balance Sheet,Investments,39,,,,0,,,,0,,,,0,56
Balance Sheet,Other Assets,159,,,,274,,,,322,,,,401,101
Balance Sheet,Total Assets,216,,,,296,,,,350,,,,426,169
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3,,,,31,,,,21,,,,-0,1
Cash Flows,Cash from Investing Activity,10,,,,-13,,,,13,,,,37,-50
Cash Flows,Cash from Financing Activity,-7,,,,-3,,,,-7,,,,-6,53
Cash Flows,Net Cash Flow,5,,,,16,,,,27,,,,31,4
,,,,,,,,,,,,,,,
Ratios,Debtor Days,96,,,,90,,,,66,,,,67,74
Ratios,Inventory Days,,,,,631,,,,898,,,,148,
Ratios,Days Payable,,,,,256,,,,180,,,,31,
Ratios,Cash Conversion Cycle,96,,,,465,,,,785,,,,184,74
Ratios,Working Capital Days,144,,,,136,,,,162,,,,183,125
Ratios,ROCE %,36%,,,,37%,,,,32%,,,,28%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.11%,74.11%,70.02%,70.02%,70.02%,70.02%,70.02%,70.02%,70.02%,70.02%,70.02%,70.25%,
Shareholding Pattern (Quarterly),FIIs,,0.10%,0.32%,0.46%,0.24%,0.10%,0.67%,0.09%,0.20%,0.18%,1.01%,1.05%,0.91%,
Shareholding Pattern (Quarterly),Public,,25.79%,25.57%,29.52%,29.72%,29.88%,29.31%,29.88%,29.78%,29.80%,28.96%,28.93%,28.83%,
Shareholding Pattern (Quarterly),No. of Shareholders,,27453,25694,32688,34317,37479,41371,45132,50505,57920,59494,59925,59274,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.11%,,,,70.02%,,,,70.02%,,,,70.25%,74.11%
Shareholding Pattern (Yearly),FIIs,0.10%,,,,0.24%,,,,0.20%,,,,0.91%,0.09%
Shareholding Pattern (Yearly),Public,25.79%,,,,29.72%,,,,29.78%,,,,28.83%,25.80%
Shareholding Pattern (Yearly),No. of Shareholders,27489,,,,34317,,,,50505,,,,59274,14877
,,,,,,,,,,,,,,,
