Section,,Dec 2021,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Half Yearly Results,Sales,6896.91,,,,,,,,,,,,,,,,,
Half Yearly Results,Expenses,9946.49,,,,,,,,,,,,,,,,,
Half Yearly Results,Operating Profit,-3049.58,,,,,,,,,,,,,,,,,
Half Yearly Results,OPM %,-44.22%,,,,,,,,,,,,,,,,,
Half Yearly Results,Other Income,13655.63,,,,,,,,,,,,,,,,,
Half Yearly Results,Interest,9599.42,,,,,,,,,,,,,,,,,
Half Yearly Results,Depreciation,1888.61,,,,,,,,,,,,,,,,,
Half Yearly Results,Profit before tax,-881.98,,,,,,,,,,,,,,,,,
Half Yearly Results,Tax %,30.76%,,,,,,,,,,,,,,,,,
Half Yearly Results,Net Profit,-1153.26,,,,,,,,,,,,,,,,,
Half Yearly Results,EPS in Rs,-1152.78,,,,,,,,,,,,,,,,,
Half Yearly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.11%,73.11%,73.11%,73.11%,73.11%,73.16%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,6.13%,5.79%,5.79%,4.48%,0.00%,0.04%,0.66%,0.81%,1.13%,1.25%,1.32%,,,,,
Shareholding Pattern (Quarterly),DIIs,,11.03%,3.18%,1.61%,1.46%,1.15%,0.00%,0.48%,0.18%,0.00%,0.00%,0.00%,0.27%,,,,,
Shareholding Pattern (Quarterly),Public,,15.87%,17.58%,19.48%,19.64%,21.26%,26.84%,26.32%,25.99%,26.01%,25.70%,25.58%,25.24%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,4171,6449,9526,10166,11115,13020,11771,11984,14597,16876,17699,17769,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,73.11%,,,,73.17%,,,,73.17%,44.18%,69.56%,69.82%,72.56%,73.09%
Shareholding Pattern (Yearly),FIIs,,,,,5.79%,,,,0.66%,,,,1.32%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,1.46%,,,,0.18%,,,,0.27%,12.67%,14.88%,13.79%,14.38%,11.03%
Shareholding Pattern (Yearly),Public,,,,,19.64%,,,,25.99%,,,,25.24%,43.15%,15.55%,16.38%,13.07%,15.89%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,10166,,,,11984,,,,17769,226,289,330,772,3928
,,,,,,,,,,,,,,,,,,,
