Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,301,329,356,367,378,391,407,410,417,464,522,531,545,,,
Quarterly Results,Expenses,229,242,265,277,286,302,324,329,334,379,430,437,461,,,
Quarterly Results,Operating Profit,72,87,91,89,92,89,83,81,83,85,92,94,84,,,
Quarterly Results,OPM %,24%,26%,25%,24%,24%,23%,20%,20%,20%,18%,18%,18%,15%,,,
Quarterly Results,Other Income,10,1,4,1,8,14,22,25,38,25,27,23,14,,,
Quarterly Results,Interest,3,3,5,6,9,10,11,11,10,20,28,27,25,,,
Quarterly Results,Depreciation,9,9,10,10,13,14,15,15,15,22,23,21,23,,,
Quarterly Results,Profit before tax,70,76,80,75,79,79,79,81,96,68,68,69,50,,,
Quarterly Results,Tax %,25%,25%,26%,23%,27%,26%,26%,26%,25%,25%,27%,27%,33%,,,
Quarterly Results,Net Profit,52,56,59,58,58,58,58,60,72,51,50,50,34,,,
Quarterly Results,EPS in Rs,3.55,3.84,4.05,3.92,3.93,3.97,3.84,3.92,4.73,3.35,3.25,3.29,2.23,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1094,,,,1429,,,,1625,,,,2061,590,698,773
Profit & Loss,Expenses,836,,,,1070,,,,1289,,,,1706,535,601,582
Profit & Loss,Operating Profit,258,,,,359,,,,336,,,,354,55,97,191
Profit & Loss,OPM %,24%,,,,25%,,,,21%,,,,17%,9%,14%,25%
Profit & Loss,Other Income,31,,,,15,,,,99,,,,89,-1,5,24
Profit & Loss,Interest,10,,,,22,,,,42,,,,99,16,8,6
Profit & Loss,Depreciation,33,,,,42,,,,58,,,,89,25,20,23
Profit & Loss,Profit before tax,246,,,,310,,,,335,,,,255,13,74,186
Profit & Loss,Tax %,26%,,,,25%,,,,26%,,,,28%,-9%,3%,13%
Profit & Loss,Net Profit,181,,,,231,,,,248,,,,185,14,72,162
Profit & Loss,EPS in Rs,12.34,,,,15.73,,,,16.31,,,,12.13,3.82,14.52,11.06
Profit & Loss,Dividend Payout %,30%,,,,34%,,,,35%,,,,49%,0%,0%,26%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,29,,,,29,,,,30,,,,30,6,9,28
Balance Sheet,Reserves,637,,,,810,,,,1450,,,,1545,-94,220,518
Balance Sheet,Borrowings,250,,,,534,,,,512,,,,1244,144,150,193
Balance Sheet,Other Liabilities,205,,,,256,,,,242,,,,541,358,129,176
Balance Sheet,Total Liabilities,1120,,,,1628,,,,2235,,,,3359,414,508,915
Balance Sheet,Fixed Assets,158,,,,432,,,,413,,,,1211,61,38,128
Balance Sheet,CWIP,0,,,,3,,,,0,,,,0,0,0,0
Balance Sheet,Investments,472,,,,13,,,,0,,,,350,98,83,391
Balance Sheet,Other Assets,491,,,,1181,,,,1822,,,,1797,254,387,395
Balance Sheet,Total Assets,1120,,,,1628,,,,2235,,,,3359,414,508,915
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,168,,,,207,,,,213,,,,236,58,112,143
Cash Flows,Cash from Investing Activity,-96,,,,-348,,,,-537,,,,-762,1,-72,-271
Cash Flows,Cash from Financing Activity,-91,,,,72,,,,363,,,,499,-59,-13,170
Cash Flows,Net Cash Flow,-19,,,,-68,,,,39,,,,-26,-0,27,42
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,56,,,,54,,,,57,,,,63,80,60,58
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,56,,,,54,,,,57,,,,63,80,60,58
Ratios,Working Capital Days,41,,,,45,,,,53,,,,105,-86,29,34
Ratios,ROCE %,32%,,,,30%,,,,22%,,,,15%,,43%,34%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,53.25%,53.24%,53.24%,53.24%,53.24%,51.35%,50.24%,50.24%,44.23%,44.23%,44.23%,44.22%,,,
Shareholding Pattern (Quarterly),FIIs,,4.00%,3.94%,4.07%,4.15%,4.52%,5.14%,5.05%,4.69%,5.31%,5.33%,5.34%,5.04%,,,
Shareholding Pattern (Quarterly),DIIs,,1.42%,1.48%,1.32%,1.26%,1.26%,2.43%,2.41%,2.57%,2.85%,4.18%,6.08%,10.58%,,,
Shareholding Pattern (Quarterly),Public,,38.55%,38.65%,38.74%,38.84%,38.68%,38.94%,40.20%,40.58%,45.82%,44.61%,42.83%,38.70%,,,
Shareholding Pattern (Quarterly),Others,,2.78%,2.67%,2.61%,2.50%,2.28%,2.15%,2.10%,1.92%,1.79%,1.65%,1.52%,1.46%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,718636,719197,712848,711568,696794,728316,736130,732253,759641,728443,707146,687788,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.26%,,,,53.24%,,,,50.24%,,,,44.22%,,,53.25%
Shareholding Pattern (Yearly),FIIs,6.29%,,,,4.15%,,,,4.69%,,,,5.04%,,,7.07%
Shareholding Pattern (Yearly),DIIs,1.48%,,,,1.26%,,,,2.57%,,,,10.58%,,,7.38%
Shareholding Pattern (Yearly),Public,36.08%,,,,38.84%,,,,40.58%,,,,38.70%,,,32.30%
Shareholding Pattern (Yearly),Others,2.90%,,,,2.50%,,,,1.92%,,,,1.46%,,,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,675122,,,,711568,,,,732253,,,,687788,,,206848
,,,,,,,,,,,,,,,,,
