Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,2664,2884,2596,2322,2841,2921,2849,2877,3366,3134,2497,2590,3096,,,,,,,,,
Quarterly Results,Expenses,2445,2607,2244,2165,2671,2527,2508,2520,3036,2656,1962,2113,2435,,,,,,,,,
Quarterly Results,Operating Profit,219,277,352,157,170,394,341,357,330,478,535,477,661,,,,,,,,,
Quarterly Results,OPM %,8%,10%,14%,7%,6%,13%,12%,12%,10%,15%,21%,18%,21%,,,,,,,,,
Quarterly Results,Other Income,5,39,50,310,48,24,135,155,149,20,182,138,86,,,,,,,,,
Quarterly Results,Interest,256,290,282,201,128,256,261,244,252,297,322,320,309,,,,,,,,,
Quarterly Results,Depreciation,98,99,101,101,97,97,96,95,90,88,86,86,87,,,,,,,,,
Quarterly Results,Profit before tax,-131,-74,19,165,-7,64,118,173,137,113,309,208,350,,,,,,,,,
Quarterly Results,Tax %,-69%,-25%,33%,33%,859%,81%,38%,35%,98%,-23%,14%,24%,21%,,,,,,,,,
Quarterly Results,Net Profit,-41,-55,13,110,-70,12,73,113,3,140,266,158,277,,,,,,,,,
Quarterly Results,EPS in Rs,-3.80,-3.69,1.16,7.59,-5.00,0.87,4.69,7.34,0.37,8.17,16.09,7.88,11.68,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,9564,,,,10630,,,,12012,,,,11317,2384,2762,4206,5227,7891,9403,9701,10166,
Profit & Loss,Expenses,8788,,,,9673,,,,10590,,,,9166,1859,2075,3225,4067,6420,7638,7631,8032,
Profit & Loss,Operating Profit,776,,,,957,,,,1421,,,,2151,524,687,981,1160,1472,1765,2070,2133,
Profit & Loss,OPM %,8%,,,,9%,,,,12%,,,,19%,22%,25%,23%,22%,19%,19%,21%,21%,
Profit & Loss,Other Income,-22,,,,447,,,,462,,,,425,18,7,16,12,41,46,105,70,
Profit & Loss,Interest,1057,,,,901,,,,1013,,,,1249,201,354,519,555,590,872,1136,1174,
Profit & Loss,Depreciation,400,,,,398,,,,379,,,,346,100,206,200,245,292,362,470,443,
Profit & Loss,Profit before tax,-704,,,,103,,,,492,,,,981,242,133,277,372,631,577,569,586,
Profit & Loss,Tax %,-22%,,,,101%,,,,59%,,,,14%,23%,34%,17%,4%,10%,6%,29%,29%,
Profit & Loss,Net Profit,-550,,,,-1,,,,201,,,,840,186,88,230,358,578,547,405,437,
Profit & Loss,EPS in Rs,-37.54,,,,0.06,,,,13.27,,,,43.83,52.70,7.48,19.62,26.15,42.23,40.38,26.16,19.49,
Profit & Loss,Dividend Payout %,-0%,,,,157%,,,,8%,,,,2%,1%,1%,0%,4%,2%,2%,4%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,146,,,,146,,,,146,,,,146,35,117,117,137,137,137,137,137,
Balance Sheet,Reserves,3404,,,,3855,,,,4223,,,,4918,660,688,815,1582,2139,2669,3005,3263,
Balance Sheet,Borrowings,8783,,,,6658,,,,7240,,,,9525,2068,3512,3630,4230,4949,7406,9060,10508,
Balance Sheet,Other Liabilities,4007,,,,4780,,,,5037,,,,5120,805,1276,1714,2071,3351,4227,4531,4460,
Balance Sheet,Total Liabilities,16341,,,,15439,,,,16647,,,,19709,3568,5593,6276,8019,10575,14439,16733,18368,
Balance Sheet,Fixed Assets,1789,,,,1529,,,,1531,,,,1427,1282,2193,1655,1967,2044,3031,2908,2730,
Balance Sheet,CWIP,3385,,,,2658,,,,2832,,,,3689,491,415,0,460,1623,2736,2840,3893,
Balance Sheet,Investments,0,,,,964,,,,857,,,,832,0,0,0,0,0,68,9,37,
Balance Sheet,Other Assets,11166,,,,10288,,,,11427,,,,13761,1796,2985,4621,5592,6909,8604,10976,11709,
Balance Sheet,Total Assets,16341,,,,15439,,,,16647,,,,19709,3568,5593,6276,8019,10575,14439,16733,18368,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1624,,,,2845,,,,1070,,,,131,177,376,269,614,1299,1169,44,1082,
Cash Flows,Cash from Investing Activity,206,,,,-202,,,,-369,,,,-731,-664,-1038,-171,-1007,-1518,-2512,-278,-1323,
Cash Flows,Cash from Financing Activity,-2295,,,,-3028,,,,-431,,,,1022,505,856,-248,440,350,1569,502,261,
Cash Flows,Net Cash Flow,-466,,,,-385,,,,270,,,,422,18,194,-151,47,132,227,268,20,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,37,,,,48,,,,39,,,,46,153,167,80,66,53,45,44,42,
Ratios,Inventory Days,378,,,,280,,,,272,,,,149,289,512,586,,336,341,345,381,
Ratios,Days Payable,249,,,,254,,,,226,,,,120,258,448,380,,252,237,216,260,
Ratios,Cash Conversion Cycle,165,,,,74,,,,85,,,,74,184,231,286,66,137,149,173,163,
Ratios,Working Capital Days,191,,,,135,,,,111,,,,148,92,115,113,98,96,106,102,148,
Ratios,ROCE %,3%,,,,5%,,,,10%,,,,15%,19%,14%,18%,18%,18%,17%,14%,13%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,70.15%,70.15%,70.15%,70.15%,70.15%,70.15%,70.15%,70.15%,70.15%,70.15%,70.15%,,,,,,,,,63.14%
Shareholding Pattern (Quarterly),FIIs,,,6.31%,5.56%,4.70%,2.56%,2.69%,2.89%,2.89%,2.80%,3.07%,3.18%,3.13%,,,,,,,,,2.82%
Shareholding Pattern (Quarterly),DIIs,,,9.12%,9.10%,9.03%,9.03%,9.06%,9.10%,9.08%,9.17%,9.51%,9.54%,6.59%,,,,,,,,,5.93%
Shareholding Pattern (Quarterly),Public,,,14.42%,15.18%,16.12%,18.26%,18.09%,17.87%,17.89%,17.87%,17.27%,17.14%,20.13%,,,,,,,,,28.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,87900,88928,89335,87426,81711,78586,80122,73669,71488,70234,67617,,,,,,,,,64083
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.15%,,,,70.15%,,,,70.15%,,,,70.15%,,,,75.63%,75.63%,75.63%,75.00%,75.00%,63.14%
Shareholding Pattern (Yearly),FIIs,7.77%,,,,4.70%,,,,2.89%,,,,3.13%,,,,15.26%,10.00%,9.68%,9.35%,10.90%,2.82%
Shareholding Pattern (Yearly),DIIs,9.11%,,,,9.03%,,,,9.08%,,,,6.59%,,,,2.99%,6.63%,6.41%,6.32%,5.90%,5.93%
Shareholding Pattern (Yearly),Public,12.97%,,,,16.12%,,,,17.89%,,,,20.13%,,,,6.12%,7.74%,8.28%,9.34%,8.20%,28.11%
Shareholding Pattern (Yearly),No. of Shareholders,80818,,,,89335,,,,80122,,,,67617,,,,14611,40120,57083,60759,54808,64083
,,,,,,,,,,,,,,,,,,,,,,,
