Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2001
Quarterly Results,Sales,3445,2676,1765,1774,3255,1617,1750,2931,4018,2846,2626,4083,4224,,,,,,,,,
Quarterly Results,Expenses,2539,2210,1343,1370,2487,1289,1338,2055,2972,2090,1922,2777,3004,,,,,,,,,
Quarterly Results,Operating Profit,906,466,422,404,769,328,412,876,1046,756,704,1306,1220,,,,,,,,,
Quarterly Results,OPM %,26%,17%,24%,23%,24%,20%,24%,30%,26%,27%,27%,32%,29%,,,,,,,,,
Quarterly Results,Other Income,37,0,-1182,129,16,54,6,-77,65,72,59,64,196,,,,,,,,,
Quarterly Results,Interest,122,119,125,118,117,124,123,117,116,117,136,144,152,,,,,,,,,
Quarterly Results,Depreciation,19,20,22,22,30,24,29,33,117,60,66,67,78,,,,,,,,,
Quarterly Results,Profit before tax,802,327,-906,393,638,235,265,649,878,651,560,1158,1186,,,,,,,,,
Quarterly Results,Tax %,33%,17%,3%,-3%,-17%,24%,24%,22%,24%,27%,24%,18%,22%,,,,,,,,,
Quarterly Results,Net Profit,538,271,-933,405,746,179,203,505,667,476,423,945,923,,,,,,,,,
Quarterly Results,EPS in Rs,5.56,2.81,-9.69,4.20,7.73,1.85,2.09,5.22,6.69,4.78,4.25,9.47,9.24,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,9233,,,,9470,,,,10316,,,,13780,4711,6236,8249,7926,9677,11907,12443,5449,
Profit & Loss,Expenses,7047,,,,7406,,,,7651,,,,9793,3797,4769,6123,6313,7995,8728,10526,4066,
Profit & Loss,Operating Profit,2186,,,,2064,,,,2665,,,,3987,913,1467,2126,1614,1682,3179,1917,1383,
Profit & Loss,OPM %,24%,,,,22%,,,,26%,,,,29%,19%,24%,26%,20%,17%,27%,15%,25%,
Profit & Loss,Other Income,293,,,,-1037,,,,48,,,,390,14,423,510,584,285,72,119,-140,
Profit & Loss,Interest,688,,,,482,,,,482,,,,550,154,492,988,736,390,568,740,1136,
Profit & Loss,Depreciation,75,,,,93,,,,204,,,,272,47,128,450,460,395,194,292,73,
Profit & Loss,Profit before tax,1716,,,,452,,,,2028,,,,3556,725,1269,1198,1001,1182,2489,1003,33,
Profit & Loss,Tax %,30%,,,,-8%,,,,23%,,,,22%,40%,37%,41%,42%,33%,34%,26%,-44%,
Profit & Loss,Net Profit,1208,,,,490,,,,1554,,,,2767,432,798,703,584,794,1644,742,48,
