Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,May 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,82,53,62,89,124,112,139,147,161,175,223,256,270,,,,,,
Quarterly Results,Expenses,72,45,57,72,103,90,109,114,127,132,158,188,195,,,,,,
Quarterly Results,Operating Profit,10,8,5,18,21,22,30,33,34,43,65,68,75,,,,,,
Quarterly Results,OPM %,12%,15%,8%,20%,17%,19%,22%,22%,21%,25%,29%,26%,28%,,,,,,
Quarterly Results,Other Income,5,3,5,3,1,0,4,2,4,1,2,10,4,,,,,,
Quarterly Results,Interest,2,2,3,3,4,2,4,4,4,2,3,2,4,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,
Quarterly Results,Profit before tax,13,9,7,17,17,19,30,30,35,42,64,74,74,,,,,,
Quarterly Results,Tax %,20%,17%,34%,33%,12%,13%,22%,16%,18%,18%,25%,20%,15%,,,,,,
Quarterly Results,Net Profit,11,7,5,11,15,17,23,25,28,34,48,59,63,,,,,,
Quarterly Results,EPS in Rs,1.29,0.89,0.58,1.37,1.83,2.00,2.32,2.46,2.76,3.33,4.39,5.39,5.73,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,286,,,,327,,,,560,,,,924,142,,,,,
Profit & Loss,Expenses,249,,,,277,,,,441,,,,673,130,,,,,
Profit & Loss,Operating Profit,37,,,,50,,,,119,,,,251,12,,,,,
Profit & Loss,OPM %,13%,,,,15%,,,,21%,,,,27%,9%,,,,,
Profit & Loss,Other Income,8,,,,13,,,,10,,,,17,5,,,,,
Profit & Loss,Interest,5,,,,11,,,,14,,,,11,7,,,,,
Profit & Loss,Depreciation,1,,,,1,,,,2,,,,3,1,,,,,
Profit & Loss,Profit before tax,39,,,,51,,,,114,,,,254,10,,,,,
Profit & Loss,Tax %,24%,,,,23%,,,,18%,,,,20%,22%,,,,,
Profit & Loss,Net Profit,30,,,,39,,,,94,,,,204,8,,,,,
Profit & Loss,EPS in Rs,3.63,,,,4.67,,,,9.13,,,,18.63,1.11,,,,,
Profit & Loss,Dividend Payout %,3%,,,,0%,,,,2%,,,,1%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,82,,,,83,,,,103,,,,111,69,,,,,
Balance Sheet,Reserves,76,,,,114,,,,450,,,,942,9,,,,,
Balance Sheet,Borrowings,47,,,,52,,,,49,,,,40,26,,,,,
Balance Sheet,Other Liabilities,78,,,,121,,,,111,,,,159,68,,,,,
Balance Sheet,Total Liabilities,284,,,,371,,,,712,,,,1252,171,,,,,
Balance Sheet,Fixed Assets,42,,,,48,,,,57,,,,183,42,,,,,
Balance Sheet,CWIP,7,,,,7,,,,130,,,,417,0,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,,,,,
Balance Sheet,Other Assets,235,,,,316,,,,525,,,,652,129,,,,,
Balance Sheet,Total Assets,284,,,,371,,,,712,,,,1252,171,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-58,,,,26,,,,-18,,,,148,17,,,,,
Cash Flows,Cash from Investing Activity,-8,,,,-21,,,,-148,,,,-417,-3,,,,,
