Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,249,204,215,214,298,197,224,239,307,227,236,231,334,,,,,
Quarterly Results,Expenses,211,176,179,188,254,174,198,215,270,205,202,205,282,,,,,
Quarterly Results,Operating Profit,38,28,35,26,44,23,26,25,36,22,34,26,52,,,,,
Quarterly Results,OPM %,15%,14%,16%,12%,15%,12%,12%,10%,12%,10%,14%,11%,16%,,,,,
Quarterly Results,Other Income,1,4,3,2,3,1,2,1,2,2,1,2,2,,,,,
Quarterly Results,Interest,5,4,5,5,9,5,6,10,10,9,9,9,9,,,,,
Quarterly Results,Depreciation,4,6,5,6,6,6,6,7,7,7,7,7,8,,,,,
Quarterly Results,Profit before tax,30,22,28,17,33,13,16,8,21,7,20,11,37,,,,,
Quarterly Results,Tax %,22%,30%,30%,29%,30%,29%,33%,27%,30%,22%,26%,10%,15%,,,,,
Quarterly Results,Net Profit,23,15,19,12,23,9,11,6,15,5,14,10,32,,,,,
Quarterly Results,EPS in Rs,3.41,2.25,2.84,1.80,3.34,1.36,1.47,0.44,1.45,0.50,1.86,1.24,2.98,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,652,,,,932,,,,968,,,,1028,359,426,484,,
Profit & Loss,Expenses,541,,,,793,,,,854,,,,894,313,354,392,,
Profit & Loss,Operating Profit,111,,,,139,,,,114,,,,134,47,73,93,,
Profit & Loss,OPM %,17%,,,,15%,,,,12%,,,,13%,13%,17%,19%,,
Profit & Loss,Other Income,-1,,,,8,,,,4,,,,7,2,5,4,,
Profit & Loss,Interest,14,,,,25,,,,33,,,,36,15,13,11,,
Profit & Loss,Depreciation,11,,,,23,,,,26,,,,30,7,7,9,,
Profit & Loss,Profit before tax,84,,,,99,,,,59,,,,75,28,57,77,,
Profit & Loss,Tax %,31%,,,,30%,,,,30%,,,,18%,33%,31%,31%,,
Profit & Loss,Net Profit,58,,,,70,,,,41,,,,62,19,39,53,,
Profit & Loss,EPS in Rs,8.52,,,,10.23,,,,4.35,,,,6.84,5.50,5.91,8.00,,
Profit & Loss,Dividend Payout %,12%,,,,11%,,,,25%,,,,16%,0%,15%,10%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,6,13,13,,
Balance Sheet,Reserves,239,,,,312,,,,403,,,,446,35,63,120,,
Balance Sheet,Borrowings,218,,,,258,,,,390,,,,381,115,100,96,,
Balance Sheet,Other Liabilities,289,,,,311,,,,395,,,,453,138,159,148,,
Balance Sheet,Total Liabilities,759,,,,894,,,,1202,,,,1293,294,335,377,,
Balance Sheet,Fixed Assets,245,,,,318,,,,541,,,,593,85,94,120,,
Balance Sheet,CWIP,31,,,,3,,,,19,,,,5,4,10,3,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,,
Balance Sheet,Other Assets,483,,,,573,,,,641,,,,695,205,231,254,,
Balance Sheet,Total Assets,759,,,,894,,,,1202,,,,1293,294,335,377,,
