Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1807,1411,1194,1189,1147,996,988,888,1051,1145,993,1058,1151,,,
Quarterly Results,Expenses,1460,1217,1096,1110,1049,1031,942,895,1030,1021,967,1026,1114,,,
Quarterly Results,Operating Profit,346,194,98,78,97,-35,46,-7,21,124,26,32,37,,,
Quarterly Results,OPM %,19%,14%,8%,7%,8%,-3%,5%,-1%,2%,11%,3%,3%,3%,,,
Quarterly Results,Other Income,9,-65,17,17,31,18,37,13,13,12,11,11,14,,,
Quarterly Results,Interest,35,36,40,39,38,44,39,47,51,59,57,59,62,,,
Quarterly Results,Depreciation,40,41,33,35,33,32,35,38,46,45,45,47,62,,,
Quarterly Results,Profit before tax,280,53,42,21,56,-93,9,-78,-63,32,-65,-63,-73,,,
Quarterly Results,Tax %,17%,23%,8%,-32%,18%,-31%,-182%,14%,-51%,26%,-52%,-22%,-26%,,,
Quarterly Results,Net Profit,232,41,39,27,46,-64,26,-89,-31,24,-31,-49,-54,,,
Quarterly Results,EPS in Rs,14.65,2.57,2.44,1.72,2.91,-4.05,1.65,-5.65,-1.97,1.51,-1.98,-3.09,-3.43,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5892,,,,4941,,,,3923,,,,4346,1254,1258,3799
Profit & Loss,Expenses,4695,,,,4473,,,,3897,,,,4127,969,1011,3171
Profit & Loss,Operating Profit,1197,,,,468,,,,26,,,,219,286,247,628
Profit & Loss,OPM %,20%,,,,9%,,,,1%,,,,5%,23%,20%,17%
Profit & Loss,Other Income,57,,,,-1,,,,80,,,,47,12,8,484
Profit & Loss,Interest,322,,,,154,,,,181,,,,236,48,95,433
Profit & Loss,Depreciation,137,,,,142,,,,151,,,,199,56,87,131
Profit & Loss,Profit before tax,796,,,,172,,,,-226,,,,-169,193,72,547
Profit & Loss,Tax %,18%,,,,11%,,,,-30%,,,,-35%,39%,36%,25%
Profit & Loss,Net Profit,649,,,,152,,,,-158,,,,-110,118,46,410
Profit & Loss,EPS in Rs,41.03,,,,9.64,,,,-10.02,,,,-6.98,14.81,6.88,30.59
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,79,,,,79,,,,79,,,,79,67,67,67
Balance Sheet,Reserves,1626,,,,1779,,,,1622,,,,1989,2433,1845,-417
Balance Sheet,Borrowings,882,,,,1019,,,,1548,,,,1842,253,1289,2127
Balance Sheet,Other Liabilities,3015,,,,2959,,,,2782,,,,2593,1049,906,2709
Balance Sheet,Total Liabilities,5602,,,,5837,,,,6030,,,,6503,3802,4108,4487
Balance Sheet,Fixed Assets,3259,,,,3186,,,,3907,,,,4499,2108,2174,3148
Balance Sheet,CWIP,34,,,,402,,,,190,,,,137,117,8,25
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,1159,1458,0
Balance Sheet,Other Assets,2309,,,,2249,,,,1934,,,,1866,418,467,1313
Balance Sheet,Total Assets,5602,,,,5837,,,,6030,,,,6503,3802,4108,4487
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,901,,,,355,,,,-245,,,,172,,166,1076
Cash Flows,Cash from Investing Activity,108,,,,-217,,,,-524,,,,-407,,-438,2152
Cash Flows,Cash from Financing Activity,-313,,,,-27,,,,382,,,,66,,298,-3017
Cash Flows,Net Cash Flow,696,,,,111,,,,-387,,,,-170,,26,211
