Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,362.25,354.32,337.37,273.30,523.42,323.70,285.84,431.85,491.04,394.65,375.90,494.68,458.82,,,
Quarterly Results,Expenses,359.88,349.13,325.06,265.16,511.25,322.57,283.29,428.63,480.33,386.12,375.13,490.02,468.50,,,
Quarterly Results,Operating Profit,2.37,5.19,12.31,8.14,12.17,1.13,2.55,3.22,10.71,8.53,0.77,4.66,-9.68,,,
Quarterly Results,OPM %,0.65%,1.46%,3.65%,2.98%,2.33%,0.35%,0.89%,0.75%,2.18%,2.16%,0.20%,0.94%,-2.11%,,,
Quarterly Results,Other Income,4.93,0.85,0.00,2.72,1.20,0.81,0.43,0.98,1.74,1.81,2.76,0.93,6.59,,,
Quarterly Results,Interest,1.27,0.78,1.53,0.40,2.37,1.07,2.56,2.43,2.29,2.22,3.16,2.76,3.81,,,
Quarterly Results,Depreciation,0.06,0.04,0.04,0.04,0.21,0.09,0.09,0.09,0.34,0.15,0.18,0.16,0.19,,,
Quarterly Results,Profit before tax,5.97,5.22,10.74,10.42,10.79,0.78,0.33,1.68,9.82,7.97,0.19,2.67,-7.09,,,
Quarterly Results,Tax %,25.46%,24.33%,25.42%,21.11%,27.15%,28.21%,3.03%,18.45%,19.55%,18.82%,0.00%,18.73%,-24.82%,,,
Quarterly Results,Net Profit,4.45,3.95,8.00,8.21,7.86,0.57,0.33,1.37,7.90,6.48,0.19,2.17,-5.34,,,
Quarterly Results,EPS in Rs,1.78,1.17,2.37,2.43,2.32,0.17,0.10,0.41,2.34,1.92,0.06,0.64,-1.58,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1273,,,,1488,,,,1532,,,,1724,329,809,742
Profit & Loss,Expenses,1238,,,,1450,,,,1513,,,,1720,320,791,730
Profit & Loss,Operating Profit,35,,,,39,,,,19,,,,4,9,19,11
Profit & Loss,OPM %,3%,,,,3%,,,,1%,,,,0%,3%,2%,2%
Profit & Loss,Other Income,10,,,,5,,,,4,,,,12,0,1,10
Profit & Loss,Interest,12,,,,6,,,,10,,,,12,5,9,5
Profit & Loss,Depreciation,0,,,,0,,,,1,,,,1,0,0,0
Profit & Loss,Profit before tax,33,,,,37,,,,13,,,,4,4,11,16
Profit & Loss,Tax %,26%,,,,25%,,,,19%,,,,6%,24%,24%,23%
Profit & Loss,Net Profit,24,,,,28,,,,10,,,,4,3,8,13
Profit & Loss,EPS in Rs,9.67,,,,8.29,,,,3.02,,,,1.04,1.16,3.33,5.01
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,34,,,,34,,,,34,25,25,25
Balance Sheet,Reserves,69,,,,146,,,,156,,,,160,24,33,44
Balance Sheet,Borrowings,33,,,,109,,,,122,,,,212,41,18,42
Balance Sheet,Other Liabilities,130,,,,40,,,,56,,,,54,15,143,83
Balance Sheet,Total Liabilities,257,,,,328,,,,368,,,,460,104,219,194
Balance Sheet,Fixed Assets,6,,,,9,,,,9,,,,25,2,2,2
Balance Sheet,CWIP,0,,,,0,,,,2,,,,4,0,0,0
Balance Sheet,Investments,3,,,,4,,,,2,,,,1,6,7,3
Balance Sheet,Other Assets,248,,,,315,,,,354,,,,430,95,210,189
Balance Sheet,Total Assets,257,,,,328,,,,368,,,,460,104,219,194
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,33,,,,-112,,,,-17,,,,-38,9,2,-18
Cash Flows,Cash from Investing Activity,-2,,,,-2,,,,2,,,,-10,2,2,3
Cash Flows,Cash from Financing Activity,-21,,,,127,,,,5,,,,78,-4,-6,19
Cash Flows,Net Cash Flow,10,,,,13,,,,-10,,,,30,6,-2,5
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,18,,,,31,,,,28,,,,19,15,6,15
Ratios,Inventory Days,35,,,,20,,,,31,,,,38,55,13,40
Ratios,Days Payable,27,,,,5,,,,8,,,,2,14,38,26
Ratios,Cash Conversion Cycle,27,,,,45,,,,50,,,,55,57,-19,28
Ratios,Working Capital Days,22,,,,50,,,,54,,,,61,73,24,42
Ratios,ROCE %,37%,,,,21%,,,,8%,,,,4%,,24%,22%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.54%,72.54%,72.54%,72.54%,72.54%,72.54%,72.54%,72.52%,72.52%,72.52%,72.52%,72.52%,,,
Shareholding Pattern (Quarterly),FIIs,,0.02%,0.28%,0.02%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.03%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,,,
Shareholding Pattern (Quarterly),Public,,27.44%,27.18%,27.44%,27.46%,27.45%,27.45%,27.44%,27.48%,27.48%,27.46%,27.49%,27.12%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,42939,39676,38309,39665,40998,39746,38270,27871,24146,24141,23099,22937,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,72.54%,,,,72.52%,,,,72.52%,,,
Shareholding Pattern (Yearly),FIIs,,,,,0.00%,,,,0.01%,,,,0.00%,,,
Shareholding Pattern (Yearly),DIIs,,,,,0.00%,,,,0.00%,,,,0.37%,,,
