Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,1043,554,1088,1008,1080,660,1121,1137,1289,942,1242,1167,389,,,,,,,,,,,,,,,
Quarterly Results,Expenses,1016,548,1065,990,1050,647,1096,1111,1256,917,1209,1137,525,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,27,7,23,18,30,13,25,27,33,25,33,30,-137,,,,,,,,,,,,,,,
Quarterly Results,OPM %,3%,1%,2%,2%,3%,2%,2%,2%,3%,3%,3%,3%,-35%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,5,7,3,5,3,4,5,4,3,1,2,1,3,,,,,,,,,,,,,,,
Quarterly Results,Interest,18,12,15,14,21,15,20,19,20,17,22,18,15,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,13,0,9,8,11,1,10,11,15,8,12,12,-150,,,,,,,,,,,,,,,
Quarterly Results,Tax %,21%,26%,24%,24%,29%,21%,21%,29%,30%,27%,27%,27%,-8%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,10,0,7,6,8,1,8,8,10,6,8,8,-137,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.22,0.02,0.79,0.71,0.88,0.12,0.88,0.90,1.22,0.72,0.98,0.99,-16.02,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4233,,,,3730,,,,4208,,,,3739,1953,2349,2379,3107,3551,4074,4515,25,,,,,,,
Profit & Loss,Expenses,4144,,,,3653,,,,4109,,,,3853,1920,2308,2334,3056,3494,4005,4438,78,,,,,,,
Profit & Loss,Operating Profit,88,,,,77,,,,98,,,,-113,33,40,45,51,57,70,77,-53,,,,,,,
Profit & Loss,OPM %,2%,,,,2%,,,,2%,,,,-3%,2%,2%,2%,2%,2%,2%,2%,-212%,,,,,,,
Profit & Loss,Other Income,17,,,,17,,,,16,,,,6,8,13,10,10,19,15,17,-269,,,,,,,
Profit & Loss,Interest,61,,,,63,,,,74,,,,91,27,33,33,34,45,50,54,49,,,,,,,
Profit & Loss,Depreciation,4,,,,4,,,,3,,,,3,3,3,5,4,4,3,4,3,,,,,,,
Profit & Loss,Profit before tax,40,,,,28,,,,37,,,,-201,12,18,18,22,28,32,35,-373,,,,,,,
Profit & Loss,Tax %,24%,,,,26%,,,,27%,,,,-1%,33%,34%,32%,33%,37%,36%,35%,0%,,,,,,,
Profit & Loss,Net Profit,31,,,,21,,,,27,,,,-200,8,12,12,15,17,20,23,-375,,,,,,,
Profit & Loss,EPS in Rs,3.56,,,,2.41,,,,3.12,,,,-23.30,1.16,1.66,1.72,1.92,2.25,2.62,2.64,-43.70,,,,,,,
Profit & Loss,Dividend Payout %,4%,,,,6%,,,,5%,,,,0%,8%,8%,11%,16%,13%,12%,11%,0%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,13,,,,17,7,7,7,12,12,12,13,17,,,,,,,
