Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,414,324,286,238,334,301,270,205,256,240,230,196,230,,,,,,
Quarterly Results,Expenses,311,274,268,234,327,294,255,200,239,220,226,183,209,,,,,,
Quarterly Results,Operating Profit,103,51,18,4,6,8,15,5,17,21,4,13,21,,,,,,
Quarterly Results,OPM %,25%,16%,6%,2%,2%,3%,5%,3%,7%,9%,2%,6%,9%,,,,,,
Quarterly Results,Other Income,4,6,6,6,5,7,9,8,1,6,6,4,5,,,,,,
Quarterly Results,Interest,4,2,2,3,2,2,2,2,3,3,2,3,3,,,,,,
Quarterly Results,Depreciation,5,5,6,6,7,6,6,6,7,7,7,7,7,,,,,,
Quarterly Results,Profit before tax,98,49,17,2,2,6,15,5,8,18,1,8,16,,,,,,
Quarterly Results,Tax %,25%,26%,30%,-89%,119%,30%,27%,35%,84%,27%,64%,31%,32%,,,,,,
Quarterly Results,Net Profit,74,36,12,3,-0,4,11,3,1,13,0,5,11,,,,,,
Quarterly Results,EPS in Rs,4.30,2.11,0.68,0.18,-0.03,0.24,0.63,0.17,0.08,0.76,0.01,0.31,0.63,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1672,,,,1177,,,,1032,,,,897,579,626,748,810,803,1024
Profit & Loss,Expenses,1143,,,,1103,,,,985,,,,839,511,574,651,710,733,723
Profit & Loss,Operating Profit,529,,,,74,,,,47,,,,58,68,52,97,100,70,302
Profit & Loss,OPM %,32%,,,,6%,,,,5%,,,,6%,12%,8%,13%,12%,9%,29%
Profit & Loss,Other Income,11,,,,28,,,,21,,,,21,9,18,3,27,5,-8
Profit & Loss,Interest,9,,,,9,,,,10,,,,10,3,2,3,2,6,5
Profit & Loss,Depreciation,20,,,,23,,,,25,,,,27,6,8,9,11,14,21
Profit & Loss,Profit before tax,511,,,,70,,,,33,,,,42,69,60,88,113,54,268
Profit & Loss,Tax %,25%,,,,28%,,,,42%,,,,30%,31%,37%,34%,33%,14%,25%
Profit & Loss,Net Profit,381,,,,51,,,,19,,,,29,48,38,58,77,47,201
Profit & Loss,EPS in Rs,22.16,,,,2.95,,,,1.12,,,,1.70,2.79,2.20,3.37,4.45,2.71,11.70
Profit & Loss,Dividend Payout %,11%,,,,25%,,,,67%,,,,29%,18%,23%,15%,17%,28%,13%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,86,,,,86,,,,86,,,,86,86,86,86,86,86,86
Balance Sheet,Reserves,944,,,,958,,,,976,,,,1008,196,225,306,369,395,594
Balance Sheet,Borrowings,19,,,,7,,,,22,,,,129,2,26,23,34,26,14
Balance Sheet,Other Liabilities,241,,,,223,,,,224,,,,179,215,195,141,165,153,198
Balance Sheet,Total Liabilities,1290,,,,1274,,,,1308,,,,1403,499,532,556,654,660,892
Balance Sheet,Fixed Assets,343,,,,552,,,,559,,,,596,105,206,273,283,302,292
Balance Sheet,CWIP,14,,,,23,,,,17,,,,61,16,28,12,6,26,28
Balance Sheet,Investments,0,,,,0,,,,29,,,,15,69,16,57,0,41,0
Balance Sheet,Other Assets,933,,,,700,,,,704,,,,731,310,282,214,364,291,572
Balance Sheet,Total Assets,1290,,,,1274,,,,1308,,,,1403,499,532,556,654,660,892
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,373,,,,92,,,,63,,,,-19,-6,87,58,13,87,219
Cash Flows,Cash from Investing Activity,-16,,,,-262,,,,-70,,,,-155,-7,-133,-8,-20,-18,-4
Cash Flows,Cash from Financing Activity,-26,,,,-64,,,,-7,,,,-0,-11,6,-17,-2,-29,-28
Cash Flows,Net Cash Flow,331,,,,-234,,,,-14,,,,-174,-24,-39,33,-9,41,186
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,35,,,,49,,,,43,,,,48,57,48,49,51,49,61
Ratios,Inventory Days,35,,,,47,,,,55,,,,123,96,101,53,81,58,47
Ratios,Days Payable,38,,,,27,,,,31,,,,62,124,109,47,64,36,54
Ratios,Cash Conversion Cycle,32,,,,70,,,,67,,,,108,29,39,55,68,71,54
Ratios,Working Capital Days,27,,,,46,,,,40,,,,75,44,31,32,65,50,38
Ratios,ROCE %,60%,,,,8%,,,,5%,,,,5%,,20%,24%,22%,14%,49%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,44.86%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.05%,2.24%,1.95%,2.17%,1.96%,0.81%,0.86%,0.79%,1.32%,1.10%,1.06%,0.66%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.05%,0.03%,0.03%,0.03%,0.03%,0.07%,0.02%,0.02%,0.07%,0.01%,0.01%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,,52.03%,52.86%,53.16%,52.92%,53.15%,54.24%,54.26%,54.33%,53.74%,54.02%,54.07%,54.47%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,185665,198207,200631,200760,198977,196673,191875,188540,171175,162753,162534,159881,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,44.86%,,,,44.87%,,,,44.87%,,,,44.87%,,44.82%,44.82%,44.82%,44.86%,44.86%
Shareholding Pattern (Yearly),FIIs,2.90%,,,,2.17%,,,,0.79%,,,,0.66%,,1.21%,1.45%,1.66%,0.00%,0.91%
Shareholding Pattern (Yearly),DIIs,0.05%,,,,0.03%,,,,0.02%,,,,0.01%,,0.35%,0.32%,0.37%,0.30%,0.03%
Shareholding Pattern (Yearly),Public,52.18%,,,,52.92%,,,,54.33%,,,,54.47%,,53.63%,53.41%,53.16%,54.83%,54.20%
Shareholding Pattern (Yearly),No. of Shareholders,169543,,,,200760,,,,188540,,,,159881,,130568,110990,106821,103072,110020
,,,,,,,,,,,,,,,,,,,,
