Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,35,24,52,39,43,45,21,33,24,34,33,30,31,,,,,,,,,
Quarterly Results,Expenses,73,48,53,36,109,61,42,56,43,60,71,67,38,,,,,,,,,
Quarterly Results,Operating Profit,-38,-24,-1,3,-66,-16,-21,-24,-19,-26,-38,-37,-7,,,,,,,,,
Quarterly Results,OPM %,-107%,-97%,-2%,8%,-152%,-36%,-99%,-72%,-80%,-77%,-115%,-121%,-23%,,,,,,,,,
Quarterly Results,Other Income,20,34,9,21,77,35,31,36,29,272,82,33,11,,,,,,,,,
Quarterly Results,Interest,9,9,8,8,8,8,7,6,7,7,6,11,38,,,,,,,,,
Quarterly Results,Depreciation,20,19,15,18,20,19,15,15,14,16,14,16,14,,,,,,,,,
Quarterly Results,Profit before tax,-47,-17,-16,-2,-17,-8,-11,-9,-11,224,24,-31,-48,,,,,,,,,
Quarterly Results,Tax %,-71%,-0%,14%,517%,-70%,0%,-0%,0%,-1%,0%,-0%,-0%,-1%,,,,,,,,,
Quarterly Results,Net Profit,-14,-17,-18,-11,-5,-8,-11,-9,-11,224,24,-31,-47,,,,,,,,,
Quarterly Results,EPS in Rs,-1.30,-1.61,-1.68,-1.05,-0.48,-0.73,-1.06,-0.89,-1.08,20.39,1.99,-2.56,-3.87,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,164,,,,159,,,,122,,,,128,1766,1962,2343,2281,511,154,213,203,
Profit & Loss,Expenses,133,,,,102,,,,70,,,,237,1574,1718,2079,2259,454,224,267,99,
Profit & Loss,Operating Profit,32,,,,58,,,,53,,,,-108,192,243,263,22,57,-70,-54,104,
Profit & Loss,OPM %,19%,,,,36%,,,,43%,,,,-85%,11%,12%,11%,1%,11%,-46%,-25%,51%,
Profit & Loss,Other Income,96,,,,142,,,,131,,,,398,4,3,19,38,230,-197,387,129,
Profit & Loss,Interest,116,,,,178,,,,160,,,,61,80,107,138,159,252,19,67,162,
Profit & Loss,Depreciation,67,,,,72,,,,63,,,,61,14,20,33,27,23,20,55,96,
Profit & Loss,Profit before tax,-55,,,,-51,,,,-39,,,,169,103,119,112,-126,12,-306,212,-25,
Profit & Loss,Tax %,-100%,,,,-0%,,,,-0%,,,,-0%,25%,31%,22%,-49%,-58%,-14%,-25%,-357%,
Profit & Loss,Net Profit,0,,,,-51,,,,-39,,,,169,77,82,87,-64,19,-264,265,63,
Profit & Loss,EPS in Rs,0.01,,,,-4.82,,,,-3.75,,,,13.83,22.00,19.66,20.95,-15.48,5.47,-25.19,25.32,6.05,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,7%,8%,7%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,105,,,,105,,,,105,,,,123,18,21,41,41,41,105,105,105,
Balance Sheet,Reserves,732,,,,681,,,,642,,,,826,451,636,700,633,654,387,652,715,
Balance Sheet,Borrowings,1204,,,,1139,,,,1088,,,,955,828,1104,1433,1934,1379,1437,1253,1248,
Balance Sheet,Other Liabilities,975,,,,1031,,,,1055,,,,1096,381,458,460,299,770,1035,993,955,
Balance Sheet,Total Liabilities,3016,,,,2956,,,,2890,,,,3000,1677,2219,2635,2907,2844,2963,3003,3023,
Balance Sheet,Fixed Assets,770,,,,698,,,,683,,,,633,214,217,247,224,180,964,910,837,
Balance Sheet,CWIP,34,,,,47,,,,0,,,,0,376,541,761,860,725,0,14,17,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,20,24,24,0,0,0,0,0,
Balance Sheet,Other Assets,2212,,,,2211,,,,2207,,,,2367,1068,1437,1603,1823,1939,1999,2079,2169,
Balance Sheet,Total Assets,3016,,,,2956,,,,2890,,,,3000,1677,2219,2635,2907,2844,2963,3003,3023,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-16,,,,77,,,,50,,,,46,122,-63,102,-322,83,277,-6,34,
Cash Flows,Cash from Investing Activity,-16,,,,-11,,,,1,,,,-8,-206,-193,-337,-78,-60,-78,-13,-26,
Cash Flows,Cash from Financing Activity,52,,,,-74,,,,-57,,,,-44,78,265,164,392,-22,-203,27,3,
Cash Flows,Net Cash Flow,20,,,,-8,,,,-6,,,,-6,-6,9,-71,-8,0,-3,8,11,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,124,,,,287,,,,344,,,,321,66,74,102,39,74,227,127,91,
Ratios,Inventory Days,,,,,,,,,,,,,,148,195,152,5,62,51,94,38,
Ratios,Days Payable,,,,,,,,,,,,,,48,55,63,22,444,551,915,519,
