Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,146,346,265,190,264,301,252,153,197,266,,
Quarterly Results,Expenses,130,315,247,167,233,261,227,168,228,282,,
Quarterly Results,Operating Profit,16,31,18,23,31,40,25,-15,-31,-16,,
Quarterly Results,OPM %,11%,9%,7%,12%,12%,13%,10%,-10%,-16%,-6%,,
Quarterly Results,Other Income,0,8,4,8,2,5,7,14,6,3,,
Quarterly Results,Interest,5,8,5,5,6,4,3,9,16,15,,
Quarterly Results,Depreciation,4,5,4,4,5,5,5,7,11,33,,
Quarterly Results,Profit before tax,7,26,13,23,22,35,24,-16,-52,-61,,
Quarterly Results,Tax %,8%,-5%,28%,21%,59%,22%,24%,9%,-6%,1%,,
Quarterly Results,Net Profit,6,28,10,18,9,27,18,-17,-49,-62,,
Quarterly Results,EPS in Rs,8.95,38.19,13.33,1.93,0.97,2.27,1.51,-1.41,-4.05,-5.15,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,708,,,,1020,,,,868,513,843
Profit & Loss,Expenses,,655,,,,907,,,,905,483,775
Profit & Loss,Operating Profit,,53,,,,113,,,,-37,30,67
Profit & Loss,OPM %,,8%,,,,11%,,,,-4%,6%,8%
Profit & Loss,Other Income,,-10,,,,18,,,,31,2,-19
Profit & Loss,Interest,,19,,,,19,,,,43,14,19
Profit & Loss,Depreciation,,16,,,,19,,,,56,14,15
Profit & Loss,Profit before tax,,8,,,,93,,,,-105,4,15
Profit & Loss,Tax %,,-5%,,,,31%,,,,5%,4%,65%
Profit & Loss,Net Profit,,8,,,,64,,,,-110,3,5
Profit & Loss,EPS in Rs,,11.08,,,,5.29,,,,-9.11,4.77,7.11
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,7,,,,121,,,,121,7,7
Balance Sheet,Reserves,,225,,,,601,,,,493,206,214
Balance Sheet,Borrowings,,133,,,,46,,,,707,122,128
Balance Sheet,Other Liabilities,,340,,,,245,,,,347,343,254
Balance Sheet,Total Liabilities,,705,,,,1013,,,,1668,678,603
Balance Sheet,Fixed Assets,,79,,,,92,,,,587,93,101
Balance Sheet,CWIP,,5,,,,22,,,,78,19,18
Balance Sheet,Investments,,1,,,,1,,,,1,1,1
Balance Sheet,Other Assets,,620,,,,898,,,,1002,565,484
Balance Sheet,Total Assets,,705,,,,1013,,,,1668,678,603
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,3,,,,28,,,,-169,-13,56
Cash Flows,Cash from Investing Activity,,8,,,,-286,,,,-489,-20,-10
Cash Flows,Cash from Financing Activity,,-16,,,,317,,,,614,46,-17
Cash Flows,Net Cash Flow,,-5,,,,60,,,,-44,13,29
,,,,,,,,,,,,,
Ratios,Debtor Days,,162,,,,79,,,,140,234,73
Ratios,Inventory Days,,90,,,,98,,,,177,110,76
Ratios,Days Payable,,199,,,,101,,,,133,275,93
Ratios,Cash Conversion Cycle,,54,,,,76,,,,184,68,57
Ratios,Working Capital Days,,99,,,,97,,,,182,113,58
Ratios,ROCE %,,15%,,,,20%,,,,-6%,,17%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,69.57%,69.57%,69.57%,69.57%,69.57%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.53%,1.00%,0.95%,0.74%,0.60%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,10.19%,8.49%,6.48%,5.66%,3.79%,,
Shareholding Pattern (Quarterly),Public,,,,,,18.71%,20.93%,22.99%,24.04%,26.03%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,76287,91525,136641,156446,158231,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,69.57%,,,,69.57%,,
Shareholding Pattern (Yearly),FIIs,,,,,,1.53%,,,,0.60%,,
Shareholding Pattern (Yearly),DIIs,,,,,,10.19%,,,,3.79%,,
Shareholding Pattern (Yearly),Public,,,,,,18.71%,,,,26.03%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,76287,,,,158231,,
,,,,,,,,,,,,,
