Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,181,159,241,273,195,262,241,319,216,310,244,430,,,
Quarterly Results,Expenses,116,121,131,146,123,147,135,187,135,176,146,241,,,
Quarterly Results,Operating Profit,65,37,110,127,72,116,106,132,81,134,98,189,,,
Quarterly Results,OPM %,36%,24%,46%,47%,37%,44%,44%,41%,38%,43%,40%,44%,,,
Quarterly Results,Other Income,14,6,9,12,13,8,11,11,12,10,17,9,,,
Quarterly Results,Interest,1,1,1,1,1,1,0,0,0,0,0,0,,,
Quarterly Results,Depreciation,14,13,14,14,13,13,14,14,13,13,13,15,,,
Quarterly Results,Profit before tax,64,30,105,124,71,110,103,129,80,130,101,184,,,
Quarterly Results,Tax %,23%,26%,26%,26%,23%,26%,25%,26%,25%,27%,25%,24%,,,
Quarterly Results,Net Profit,49,22,77,91,54,81,78,95,60,96,76,140,,,
Quarterly Results,EPS in Rs,51.79,2.10,7.40,8.75,5.21,7.74,7.41,9.08,5.70,9.15,7.26,13.42,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,853,,,,1017,,,,1200,512,616,713
Profit & Loss,Expenses,,,,509,,,,585,,,,695,308,289,443
Profit & Loss,Operating Profit,,,,344,,,,432,,,,505,205,327,270
Profit & Loss,OPM %,,,,40%,,,,42%,,,,42%,40%,53%,38%
Profit & Loss,Other Income,,,,37,,,,37,,,,44,32,14,23
Profit & Loss,Interest,,,,5,,,,3,,,,1,1,1,6
Profit & Loss,Depreciation,,,,54,,,,54,,,,54,21,28,50
Profit & Loss,Profit before tax,,,,322,,,,413,,,,495,214,313,238
Profit & Loss,Tax %,,,,25%,,,,25%,,,,25%,21%,25%,26%
Profit & Loss,Net Profit,,,,240,,,,308,,,,372,169,235,175
Profit & Loss,EPS in Rs,,,,22.95,,,,29.45,,,,35.52,177.81,247.44,183.93
Profit & Loss,Dividend Payout %,,,,30%,,,,30%,,,,30%,22%,0%,3%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10,,,,10,,,,10,10,10,10
Balance Sheet,Reserves,,,,1280,,,,1516,,,,1802,761,990,1094
Balance Sheet,Borrowings,,,,32,,,,10,,,,3,52,86,62
Balance Sheet,Other Liabilities,,,,192,,,,164,,,,219,118,97,147
Balance Sheet,Total Liabilities,,,,1514,,,,1701,,,,2034,941,1183,1313
Balance Sheet,Fixed Assets,,,,593,,,,575,,,,796,240,546,573
Balance Sheet,CWIP,,,,173,,,,211,,,,50,141,18,74
Balance Sheet,Investments,,,,137,,,,246,,,,335,199,141,74
Balance Sheet,Other Assets,,,,611,,,,668,,,,854,361,477,592
Balance Sheet,Total Assets,,,,1514,,,,1701,,,,2034,941,1183,1313
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,246,,,,265,,,,245,155,,207
Cash Flows,Cash from Investing Activity,,,,-158,,,,-155,,,,-160,-114,,-112
Cash Flows,Cash from Financing Activity,,,,-85,,,,-99,,,,-99,-43,,-100
Cash Flows,Net Cash Flow,,,,3,,,,12,,,,-14,-1,,-4
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,117,,,,125,,,,159,131,105,119
Ratios,Inventory Days,,,,430,,,,331,,,,286,312,503,434
Ratios,Days Payable,,,,190,,,,150,,,,135,201,152,185
Ratios,Cash Conversion Cycle,,,,357,,,,306,,,,310,242,456,368
Ratios,Working Capital Days,,,,163,,,,169,,,,290,160,180,177
Ratios,ROCE %,,,,26%,,,,28%,,,,30%,,32%,21%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,44.08%,44.08%,44.08%,44.08%,44.08%,44.08%,44.08%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,7.30%,7.00%,6.49%,7.11%,8.10%,8.33%,9.35%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.12%,8.40%,8.41%,10.35%,9.82%,9.65%,9.16%,,,
Shareholding Pattern (Quarterly),Public,,,,,,40.50%,40.52%,41.03%,38.46%,38.02%,37.93%,37.41%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,100927,87486,83296,80737,84298,82004,81219,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,44.08%,,,,44.08%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,6.49%,,,,9.35%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,8.41%,,,,9.16%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,41.03%,,,,37.41%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,83296,,,,81219,,,
,,,,,,,,,,,,,,,,
