Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2013,Mar 2015
Quarterly Results,Sales,178,131,165,160,210,183,199,221,217,244,223,217,237,,,,,,,,,,
Quarterly Results,Expenses,152,119,147,146,170,161,175,185,188,212,192,191,209,,,,,,,,,,
Quarterly Results,Operating Profit,26,12,18,14,40,22,23,35,29,32,30,26,28,,,,,,,,,,
Quarterly Results,OPM %,14%,10%,11%,9%,19%,12%,12%,16%,13%,13%,14%,12%,12%,,,,,,,,,,
Quarterly Results,Other Income,-0,3,6,9,34,2,8,8,13,8,8,8,4,,,,,,,,,,
Quarterly Results,Interest,4,8,9,8,7,6,4,4,3,4,3,4,4,,,,,,,,,,
Quarterly Results,Depreciation,27,22,18,8,7,8,8,9,8,8,9,9,9,,,,,,,,,,
Quarterly Results,Profit before tax,-5,-14,-3,7,59,11,20,30,30,28,26,22,19,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-10%,-1%,0%,0%,-0%,,,,,,,,,,
Quarterly Results,Net Profit,-7,-15,-5,8,59,9,20,29,33,29,27,21,22,,,,,,,,,,
Quarterly Results,EPS in Rs,-1.61,-3.68,-1.32,1.86,14.49,1.85,3.90,5.80,6.50,5.79,5.37,4.10,4.39,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,560,,,,666,,,,819,,,,922,1948,1747,873,797,683,600,484,450,,
Profit & Loss,Expenses,505,,,,581,,,,708,,,,805,1837,1429,703,794,659,612,515,421,,
Profit & Loss,Operating Profit,55,,,,84,,,,111,,,,117,110,317,171,3,24,-12,-31,29,,
Profit & Loss,OPM %,10%,,,,13%,,,,14%,,,,13%,6%,18%,20%,0%,4%,-2%,-6%,7%,,
Profit & Loss,Other Income,67,,,,52,,,,31,,,,27,92,156,-28,-59,20,218,24,15,,
Profit & Loss,Interest,33,,,,33,,,,17,,,,15,523,537,294,347,310,7,6,52,,
Profit & Loss,Depreciation,87,,,,55,,,,33,,,,35,252,325,145,141,133,130,118,109,,
Profit & Loss,Profit before tax,2,,,,48,,,,92,,,,96,-573,-389,-296,-544,-399,69,-131,-117,,
Profit & Loss,Tax %,0%,,,,0%,,,,-3%,,,,-0%,-2%,-49%,-6%,-9%,-12%,0%,0%,0%,,
