Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,499,533,556,538,562,455,478,472,525,651,626,645,628,
Quarterly Results,Expenses,324,345,375,371,408,360,370,349,369,475,448,463,454,
Quarterly Results,Operating Profit,175,187,180,167,155,95,108,123,155,176,178,183,173,
Quarterly Results,OPM %,35%,35%,32%,31%,28%,21%,23%,26%,30%,27%,28%,28%,28%,
Quarterly Results,Other Income,2,2,2,-0,5,2,1,2,2,2,6,4,4,
Quarterly Results,Interest,12,11,14,21,19,18,21,20,14,14,27,-0,12,
Quarterly Results,Depreciation,21,22,26,31,30,31,32,31,30,33,32,33,34,
Quarterly Results,Profit before tax,144,156,142,114,110,47,56,74,113,131,125,154,131,
Quarterly Results,Tax %,31%,31%,35%,33%,30%,34%,32%,34%,32%,34%,35%,33%,34%,
Quarterly Results,Net Profit,99,108,92,77,77,32,38,49,77,86,81,104,87,
Quarterly Results,EPS in Rs,23.85,25.94,22.04,18.58,18.47,7.58,9.14,11.81,18.60,20.67,19.57,24.02,20.14,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,1551,,,,2188,,,,1929,,,,2550,829
Profit & Loss,Expenses,1041,,,,1499,,,,1448,,,,1839,567
Profit & Loss,Operating Profit,509,,,,689,,,,481,,,,711,261
Profit & Loss,OPM %,33%,,,,31%,,,,25%,,,,28%,32%
Profit & Loss,Other Income,4,,,,8,,,,7,,,,16,2
Profit & Loss,Interest,44,,,,66,,,,73,,,,53,29
Profit & Loss,Depreciation,86,,,,109,,,,124,,,,133,74
Profit & Loss,Profit before tax,383,,,,522,,,,291,,,,541,161
Profit & Loss,Tax %,34%,,,,32%,,,,33%,,,,34%,37%
Profit & Loss,Net Profit,253,,,,353,,,,196,,,,358,101
Profit & Loss,EPS in Rs,60.84,,,,85.03,,,,47.14,,,,82.91,24.48
Profit & Loss,Dividend Payout %,0%,,,,6%,,,,11%,,,,7%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,42,,,,42,,,,42,,,,43,42
Balance Sheet,Reserves,684,,,,1028,,,,1213,,,,1861,432
Balance Sheet,Borrowings,993,,,,879,,,,964,,,,593,753
Balance Sheet,Other Liabilities,405,,,,484,,,,576,,,,655,222
Balance Sheet,Total Liabilities,2124,,,,2432,,,,2794,,,,3152,1449
Balance Sheet,Fixed Assets,1068,,,,1804,,,,1767,,,,2238,1102
Balance Sheet,CWIP,589,,,,158,,,,483,,,,64,126
Balance Sheet,Investments,0,,,,21,,,,21,,,,98,0
Balance Sheet,Other Assets,467,,,,450,,,,524,,,,752,221
Balance Sheet,Total Assets,2124,,,,2432,,,,2794,,,,3152,1449
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,284,,,,626,,,,398,,,,441,229
Cash Flows,Cash from Investing Activity,-455,,,,-437,,,,-401,,,,-262,-197
Cash Flows,Cash from Financing Activity,195,,,,-200,,,,-8,,,,-164,-32
Cash Flows,Net Cash Flow,24,,,,-11,,,,-11,,,,15,1
,,,,,,,,,,,,,,,
Ratios,Debtor Days,60,,,,28,,,,34,,,,33,52
Ratios,Inventory Days,74,,,,69,,,,90,,,,105,51
Ratios,Days Payable,42,,,,36,,,,63,,,,50,69
Ratios,Cash Conversion Cycle,92,,,,61,,,,61,,,,88,34
Ratios,Working Capital Days,26,,,,15,,,,25,,,,46,-4
Ratios,ROCE %,29%,,,,32%,,,,17%,,,,25%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.11%,71.12%,71.21%,71.34%,71.37%,71.38%,71.38%,71.49%,71.58%,71.58%,68.94%,68.95%,
Shareholding Pattern (Quarterly),FIIs,,1.38%,1.40%,1.15%,1.20%,1.16%,1.14%,1.17%,1.36%,1.46%,2.10%,3.01%,3.01%,
Shareholding Pattern (Quarterly),DIIs,,0.22%,0.19%,0.17%,0.03%,0.04%,0.04%,0.05%,0.02%,0.18%,1.17%,4.31%,4.66%,
Shareholding Pattern (Quarterly),Government,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,
Shareholding Pattern (Quarterly),Public,,27.27%,27.26%,27.44%,27.39%,27.39%,27.40%,27.37%,27.10%,26.75%,25.12%,23.71%,23.34%,
Shareholding Pattern (Quarterly),No. of Shareholders,,93147,97396,97016,94778,95833,95742,92959,88870,85761,83176,81697,80878,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.18%,,,,71.34%,,,,71.49%,,,,68.95%,
Shareholding Pattern (Yearly),FIIs,1.02%,,,,1.20%,,,,1.36%,,,,3.01%,
Shareholding Pattern (Yearly),DIIs,0.47%,,,,0.03%,,,,0.02%,,,,4.66%,
Shareholding Pattern (Yearly),Government,0.02%,,,,0.02%,,,,0.02%,,,,0.02%,
Shareholding Pattern (Yearly),Public,27.31%,,,,27.39%,,,,27.10%,,,,23.34%,
Shareholding Pattern (Yearly),No. of Shareholders,92185,,,,94778,,,,88870,,,,80878,
,,,,,,,,,,,,,,,
