Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,61.73%,61.73%,61.73%,61.73%,61.74%,61.75%,61.73%,61.73%,61.73%,61.73%,61.73%,61.72%,
Shareholding Pattern (Quarterly),FIIs,8.60%,10.47%,11.03%,9.92%,10.93%,11.08%,11.01%,10.96%,10.78%,10.52%,9.86%,10.16%,
Shareholding Pattern (Quarterly),DIIs,20.81%,19.13%,18.26%,18.94%,17.77%,17.56%,17.12%,16.22%,16.23%,16.34%,16.74%,16.21%,
Shareholding Pattern (Quarterly),Government,0.00%,0.09%,0.09%,0.09%,0.21%,0.21%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,8.86%,8.57%,8.89%,9.32%,9.33%,9.41%,9.93%,11.11%,11.26%,11.41%,11.67%,11.92%,
Shareholding Pattern (Quarterly),No. of Shareholders,643861,648348,678282,685401,694219,721760,775566,888941,889943,920343,939882,954433,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,61.73%,,,,61.73%,,,,61.72%,61.73%
Shareholding Pattern (Yearly),FIIs,,,,9.92%,,,,10.96%,,,,10.16%,14.89%
Shareholding Pattern (Yearly),DIIs,,,,18.94%,,,,16.22%,,,,16.21%,13.42%
Shareholding Pattern (Yearly),Government,,,,0.09%,,,,0.00%,,,,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,9.32%,,,,11.11%,,,,11.92%,9.96%
Shareholding Pattern (Yearly),No. of Shareholders,,,,685401,,,,888941,,,,954433,678238
,,,,,,,,,,,,,,
