Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2021
Quarterly Results,Sales,343,375,398,400,404,407,457,416,417,432,444,449,442,,,,,,,,,,,,,,
Quarterly Results,Expenses,302,329,344,342,350,354,375,354,363,370,376,378,372,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,42,46,54,57,54,53,82,63,54,62,68,71,71,,,,,,,,,,,,,,
Quarterly Results,OPM %,12%,12%,14%,14%,13%,13%,18%,15%,13%,14%,15%,16%,16%,,,,,,,,,,,,,,
Quarterly Results,Other Income,5,3,1,2,5,4,0,2,2,3,2,4,2,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,2,2,2,3,3,3,2,2,2,1,,,,,,,,,,,,,,
Quarterly Results,Depreciation,8,8,9,10,10,10,17,17,17,17,17,16,15,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,37,39,45,48,48,46,62,44,36,47,52,57,57,,,,,,,,,,,,,,
Quarterly Results,Tax %,21%,19%,19%,14%,25%,68%,29%,-3%,24%,47%,23%,31%,32%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,30,32,37,41,36,14,44,46,27,25,40,39,39,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.51,2.69,3.11,3.50,3.03,1.22,3.72,3.88,2.32,2.10,3.37,3.30,3.26,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1516,,,,1685,,,,1742,,648,605,588,593,700,809,809,881,1156,1768,,,,
Profit & Loss,Expenses,,,,1316,,,,1432,,,,1485,,558,533,518,560,643,736,736,764,995,1496,,,,
Profit & Loss,Operating Profit,,,,200,,,,252,,,,257,,91,73,71,33,57,73,73,116,161,272,,,,
Profit & Loss,OPM %,,,,13%,,,,15%,,,,15%,,14%,12%,12%,6%,8%,9%,9%,13%,14%,15%,,,,
Profit & Loss,Other Income,,,,10,,,,11,,,,8,,34,70,17,16,19,15,15,11,42,10,,,,
Profit & Loss,Interest,,,,5,,,,9,,,,8,,1,1,1,0,0,2,2,6,5,7,,,,
Profit & Loss,Depreciation,,,,35,,,,54,,,,65,,11,14,12,13,14,15,15,26,28,63,,,,
Profit & Loss,Profit before tax,,,,170,,,,200,,,,192,,112,128,76,35,63,72,72,96,170,212,,,,
Profit & Loss,Tax %,,,,18%,,,,30%,,,,32%,,30%,23%,29%,36%,19%,19%,19%,15%,17%,,,,,
Profit & Loss,Net Profit,,,,140,,,,140,,,,131,,78,98,54,23,51,58,58,82,141,142,,,,
Profit & Loss,EPS in Rs,,,,11.81,,,,11.84,,,,11.09,,6.13,7.71,4.33,1.82,4.12,4.83,4.86,6.84,11.96,12.03,,,,
Profit & Loss,Dividend Payout %,,,,55%,,,,57%,,,,113%,,95%,51%,0%,0%,14%,31%,0%,0%,48%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,12,,,,12,,,,12,,13,13,12,12,12,12,12,12,12,,,,,
Balance Sheet,Reserves,,,,534,,,,600,,,,612,,200,230,266,259,311,326,326,415,448,,,,,
Balance Sheet,Borrowings,,,,77,,,,131,,,,73,,1,1,2,2,2,6,5,23,58,,,,,
Balance Sheet,Other Liabilities,,,,210,,,,572,,,,519,,159,111,103,119,119,148,149,200,174,,,,,
Balance Sheet,Total Liabilities,,,,833,,,,1315,,,,1216,,373,356,383,392,443,493,493,650,692,,,,,
Balance Sheet,Fixed Assets,,,,156,,,,627,,,,571,,70,80,80,46,45,72,72,111,127,,,,,
Balance Sheet,CWIP,,,,3,,,,0,,,,4,,0,0,3,0,2,2,2,0,0,,,,,
Balance Sheet,Investments,,,,14,,,,0,,,,0,,2,41,26,22,20,34,34,13,13,,,,,
Balance Sheet,Other Assets,,,,661,,,,688,,,,641,,302,235,274,323,377,384,385,526,552,,,,,
Balance Sheet,Total Assets,,,,833,,,,1315,,,,1216,,373,356,383,392,443,493,493,650,692,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,96,,,,211,,,,235,,72,45,44,37,31,64,,125,87,,,,,
Cash Flows,Cash from Investing Activity,,,,-8,,,,-219,,,,14,,7,41,11,-58,-31,8,,-32,19,,,,,
Cash Flows,Cash from Financing Activity,,,,-86,,,,-41,,,,-216,,-53,-113,-19,-1,-9,-46,,10,-116,,,,,
Cash Flows,Net Cash Flow,,,,2,,,,-49,,,,33,,26,-27,35,-22,-9,26,,103,-9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,62,,,,54,,,,54,,70,63,67,74,71,60,60,54,56,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,62,,,,54,,,,54,,70,63,67,74,71,60,60,54,56,,,,,
Ratios,Working Capital Days,,,,47,,,,16,,,,30,,-0,22,32,26,55,38,54,40,44,,,,,
Ratios,ROCE %,,,,31%,,,,26%,,,,21%,,40%,30%,27%,13%,21%,22%,22%,26%,36%,,,,,
