Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,124,-81,195,2152,691,1339,1417,1093,617,1452,,,,,,,,
Quarterly Results,Expenses,141,-53,44,36,25,54,162,141,-7,188,,,,,,,,
Quarterly Results,Operating Profit,-17,-28,150,2116,666,1285,1255,952,624,1264,,,,,,,,
Quarterly Results,OPM %,-14%,,77%,98%,96%,96%,89%,87%,101%,87%,,,,,,,,
Quarterly Results,Other Income,2139,1898,61,1,2,18,2,24,3,5,,,,,,,,
Quarterly Results,Interest,33,-49,21,70,11,-37,10,15,10,18,,,,,,,,
Quarterly Results,Depreciation,2,2,2,2,2,2,1,2,3,3,,,,,,,,
Quarterly Results,Profit before tax,2087,1918,188,2045,655,1338,1246,960,614,1248,,,,,,,,
Quarterly Results,Tax %,1%,-1%,-10%,5%,8%,-15%,12%,12%,12%,-41%,,,,,,,,
Quarterly Results,Net Profit,2074,1938,195,1940,601,1537,1097,843,539,1763,,,,,,,,
Quarterly Results,EPS in Rs,122.08,114.09,11.46,114.21,35.41,90.50,64.57,49.62,31.76,103.78,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,539,,,,2587,,,,4578,,,,,,,,
Profit & Loss,Expenses,,186,,,,-1630,,,,484,,,,,,,,
Profit & Loss,Operating Profit,,352,,,,4218,,,,4095,,,,,,,,
Profit & Loss,OPM %,,65%,,,,163%,,,,89%,,,,,,,,
Profit & Loss,Other Income,,4289,,,,81,,,,34,,,,,,,,
Profit & Loss,Interest,,281,,,,65,,,,52,,,,,,,,
Profit & Loss,Depreciation,,9,,,,8,,,,9,,,,,,,,
Profit & Loss,Profit before tax,,4351,,,,4226,,,,4067,,,,,,,,
Profit & Loss,Tax %,,1%,,,,-1%,,,,-4%,,,,,,,,
Profit & Loss,Net Profit,,4304,,,,4285,,,,4241,,,,,,,,
Profit & Loss,EPS in Rs,,253.41,,,,252.28,,,,249.72,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,17,,,,17,,,,17,,,,,,,,
Balance Sheet,Reserves,,3399,,,,10328,,,,14672,,,,,,,,
Balance Sheet,Borrowings,,1704,,,,1128,,,,694,,,,,,,,
Balance Sheet,Other Liabilities,,1779,,,,148,,,,704,,,,,,,,
Balance Sheet,Total Liabilities,,6900,,,,11621,,,,16087,,,,,,,,
Balance Sheet,Fixed Assets,,317,,,,355,,,,421,,,,,,,,
Balance Sheet,CWIP,,0,,,,2,,,,0,,,,,,,,
Balance Sheet,Investments,,3543,,,,8940,,,,12739,,,,,,,,
Balance Sheet,Other Assets,,3039,,,,2324,,,,2928,,,,,,,,
Balance Sheet,Total Assets,,6900,,,,11621,,,,16087,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,245,,,,3279,,,,-186,,,,,,,,
Cash Flows,Cash from Investing Activity,,48,,,,-2266,,,,222,,,,,,,,
Cash Flows,Cash from Financing Activity,,-627,,,,-1164,,,,-127,,,,,,,,
Cash Flows,Net Cash Flow,,-334,,,,-150,,,,-91,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,0,,,,8,,,,2,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,0,,,,8,,,,2,,,,,,,,
Ratios,Working Capital Days,,-956,,,,29,,,,-25,,,,,,,,
Ratios,ROCE %,,,,,,51%,,,,31%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.47%,71.47%,71.47%,74.53%,74.53%,74.72%,74.95%,74.95%,74.95%,74.95%,70.28%,71.47%,,,,,,
Shareholding Pattern (Quarterly),FIIs,7.01%,7.01%,7.14%,7.14%,7.19%,7.19%,7.23%,7.29%,7.31%,7.41%,6.74%,6.74%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.09%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,21.51%,21.52%,21.39%,18.33%,18.28%,18.09%,17.82%,17.76%,17.71%,17.54%,22.99%,21.79%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,6592,6792,6137,6238,8147,8562,10385,23591,24205,29636,6527,6287,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,71.47%,,,,74.72%,,,,74.95%,,,0.00%,0.00%,0.00%,74.74%,68.72%,70.28%
Shareholding Pattern (Yearly),FIIs,,7.01%,,,,7.19%,,,,7.41%,,,0.00%,0.00%,0.00%,0.00%,6.03%,6.74%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.09%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,21.52%,,,,18.09%,,,,17.54%,,,100.00%,100.00%,100.00%,25.26%,25.25%,22.99%
Shareholding Pattern (Yearly),No. of Shareholders,,6792,,,,8562,,,,29636,,,659,758,798,646,641,6810
,,,,,,,,,,,,,,,,,,,
