Section,,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Sep 2024,Dec 2024,Mar 2025,Mar 2017
Quarterly Results,Sales,744,840,826,926,944,977,993,1046,1050,1040,1006,1095,1047,,,,,,,,,
Quarterly Results,Expenses,696,748,731,768,827,854,822,852,877,847,827,880,841,,,,,,,,,
Quarterly Results,Operating Profit,48,92,95,158,116,123,171,194,173,192,179,214,205,,,,,,,,,
Quarterly Results,OPM %,6%,11%,12%,17%,12%,13%,17%,19%,16%,18%,18%,20%,20%,,,,,,,,,
Quarterly Results,Other Income,8,8,8,9,11,35,12,10,15,17,17,30,22,,,,,,,,,
Quarterly Results,Interest,1,1,0,2,1,0,1,6,1,1,1,1,3,,,,,,,,,
Quarterly Results,Depreciation,15,13,14,13,14,15,15,14,14,13,13,13,14,,,,,,,,,
Quarterly Results,Profit before tax,41,87,89,151,113,143,167,184,173,196,181,231,211,,,,,,,,,
Quarterly Results,Tax %,26%,26%,25%,27%,26%,26%,25%,26%,25%,25%,25%,25%,26%,,,,,,,,,
Quarterly Results,Net Profit,30,64,67,111,84,106,125,136,129,146,135,173,157,,,,,,,,,
Quarterly Results,EPS in Rs,26.72,57.01,59.24,98.46,74.80,94.30,110.79,120.48,114.70,129.70,120.05,153.44,139.50,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,3336,,,,3959,,,,4189,,2710,3017,2987,2605,4186,,,,
Profit & Loss,Expenses,,,,2947,,,,3355,,,,3430,,2211,2481,2537,2345,3396,,,,
Profit & Loss,Operating Profit,,,,389,,,,604,,,,759,,499,536,450,259,791,,,,
Profit & Loss,OPM %,,,,12%,,,,15%,,,,18%,,18%,18%,15%,10%,19%,,,,
Profit & Loss,Other Income,,,,37,,,,68,,,,78,,55,60,46,25,86,,,,
Profit & Loss,Interest,,,,4,,,,7,,,,3,,2,1,4,2,5,,,,
Profit & Loss,Depreciation,,,,55,,,,58,,,,53,,44,44,59,62,53,,,,
Profit & Loss,Profit before tax,,,,368,,,,607,,,,781,,508,551,433,220,819,,,,
Profit & Loss,Tax %,,,,26%,,,,26%,,,,25%,,34%,33%,26%,26%,,,,,
Profit & Loss,Net Profit,,,,272,,,,451,,,,583,,333,366,322,162,611,,,,
Profit & Loss,EPS in Rs,,,,241.43,,,,400.37,,,,517.90,,295.91,325.06,285.99,144.14,542.69,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,237%,,,,132%,,0%,0%,0%,0%,,,,,
