Section,,Mar 2015,Dec 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,28.30,48.39,41.63,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,28.91,52.58,45.97,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-0.61,-4.19,-4.34,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-2.16%,-8.66%,-10.43%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.10,43.71,0.28,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.82,1.86,0.94,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.09,1.92,0.92,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-2.42,35.74,-5.92,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,11.57%,27.00%,-35.47%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-2.69,26.09,-3.82,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.84,8.10,-1.19,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,28,,198,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,29,,202,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-1,,-3,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-2%,,-2%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0,,44,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,,6,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,1,,7,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-2,,28,,,,,,,,,,,,,,,,,,
