Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,214.66,256.21,266.07,243.15,230.04,220.12,226.11,214.25,225.35,231.52,250.75,267.86,,,,
Quarterly Results,Expenses,182.57,227.50,229.24,228.55,187.97,178.16,183.87,191.64,195.04,205.03,228.56,250.52,,,,
Quarterly Results,Operating Profit,32.09,28.71,36.83,14.60,42.07,41.96,42.24,22.61,30.31,26.49,22.19,17.34,,,,
Quarterly Results,OPM %,14.95%,11.21%,13.84%,6.00%,18.29%,19.06%,18.68%,10.55%,13.45%,11.44%,8.85%,6.47%,,,,
Quarterly Results,Other Income,1.82,0.94,1.72,1.49,3.38,3.51,7.13,9.79,9.43,9.12,6.90,8.95,,,,
Quarterly Results,Interest,5.85,5.54,6.17,5.34,6.04,5.18,6.97,8.51,5.10,6.11,5.04,5.84,,,,
Quarterly Results,Depreciation,4.80,5.02,5.44,5.64,5.77,6.05,7.26,7.40,8.18,8.63,8.12,9.90,,,,
Quarterly Results,Profit before tax,23.26,19.09,26.94,5.11,33.64,34.24,35.14,16.49,26.46,20.87,15.93,10.55,,,,
Quarterly Results,Tax %,22.87%,20.48%,26.06%,33.46%,17.24%,17.99%,30.73%,31.90%,29.10%,37.95%,32.33%,56.87%,,,,
Quarterly Results,Net Profit,20.55,18.70,19.85,4.04,26.91,26.02,23.78,8.98,18.70,12.01,10.10,4.39,,,,
Quarterly Results,EPS in Rs,7.00,6.24,6.56,1.34,8.89,8.60,5.79,2.19,4.55,2.93,2.46,1.07,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,980,,,,891,,,,975,84,166,190,507
Profit & Loss,Expenses,,,,868,,,,742,,,,879,62,116,116,321
Profit & Loss,Operating Profit,,,,112,,,,149,,,,96,21,50,73,186
Profit & Loss,OPM %,,,,11%,,,,17%,,,,10%,26%,30%,39%,37%
Profit & Loss,Other Income,,,,6,,,,24,,,,34,0,0,1,3
Profit & Loss,Interest,,,,23,,,,27,,,,22,6,10,16,22
Profit & Loss,Depreciation,,,,21,,,,26,,,,35,4,9,12,15
Profit & Loss,Profit before tax,,,,74,,,,120,,,,74,13,31,46,152
Profit & Loss,Tax %,,,,24%,,,,23%,,,,36%,10%,33%,24%,25%
Profit & Loss,Net Profit,,,,63,,,,86,,,,45,11,21,35,128
Profit & Loss,EPS in Rs,,,,20.87,,,,20.86,,,,11.01,5.27,7.77,12.03,43.59
Profit & Loss,Dividend Payout %,,,,2%,,,,7%,,,,14%,2%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,30,,,,41,,,,41,22,27,29,29
Balance Sheet,Reserves,,,,295,,,,870,,,,910,12,48,68,193
Balance Sheet,Borrowings,,,,341,,,,251,,,,142,119,145,190,230
Balance Sheet,Other Liabilities,,,,127,,,,135,,,,177,29,50,52,102
Balance Sheet,Total Liabilities,,,,793,,,,1297,,,,1270,181,269,338,555
Balance Sheet,Fixed Assets,,,,381,,,,557,,,,649,136,198,241,300
Balance Sheet,CWIP,,,,91,,,,87,,,,88,16,29,20,52
Balance Sheet,Investments,,,,87,,,,42,,,,63,0,0,8,36
Balance Sheet,Other Assets,,,,234,,,,611,,,,469,28,42,70,166
Balance Sheet,Total Assets,,,,793,,,,1297,,,,1270,181,269,338,555
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,47,,,,120,,,,94,31,44,45,129
Cash Flows,Cash from Investing Activity,,,,-175,,,,-291,,,,-199,-86,-76,-42,-110
Cash Flows,Cash from Financing Activity,,,,118,,,,380,,,,-116,64,35,10,15
Cash Flows,Net Cash Flow,,,,-10,,,,209,,,,-221,9,4,14,33
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,14,,,,15,,,,16,13,9,22,16
Ratios,Inventory Days,,,,1,,,,2,,,,2,2,2,4,3
Ratios,Days Payable,,,,15,,,,17,,,,13,31,25,48,37
Ratios,Cash Conversion Cycle,,,,1,,,,1,,,,6,-17,-14,-22,-18
Ratios,Working Capital Days,,,,1,,,,1,,,,1,-76,-47,-24,-22
Ratios,ROCE %,,,,17%,,,,15%,,,,9%,,22%,24%,47%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,50.07%,50.07%,50.07%,50.07%,50.07%,50.07%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,0.50%,1.08%,0.48%,1.90%,1.65%,1.69%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,12.58%,12.86%,11.17%,6.75%,6.96%,6.62%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,36.84%,35.99%,38.29%,41.28%,41.31%,41.63%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,77357,60026,60410,63722,64351,63983,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,50.07%,,,,50.07%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,1.08%,,,,1.69%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,12.86%,,,,6.62%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,35.99%,,,,41.63%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,60026,,,,63983,,,,
,,,,,,,,,,,,,,,,,
