Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,333,349,417,431,460,,,,
Quarterly Results,Expenses,244,241,310,316,329,,,,
Quarterly Results,Operating Profit,89,108,107,115,131,,,,
Quarterly Results,OPM %,27%,31%,26%,27%,28%,,,,
Quarterly Results,Other Income,12,20,12,13,13,,,,
Quarterly Results,Interest,22,27,28,28,25,,,,
Quarterly Results,Depreciation,43,47,57,58,60,,,,
Quarterly Results,Profit before tax,36,54,33,41,59,,,,
Quarterly Results,Tax %,37%,24%,36%,31%,27%,,,,
Quarterly Results,Net Profit,23,41,21,28,43,,,,
Quarterly Results,EPS in Rs,,,,0.72,1.03,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,1332,,,1711,531,471,696,1018
Profit & Loss,Expenses,,965,,,1255,407,387,510,743
Profit & Loss,Operating Profit,,367,,,456,124,85,186,275
Profit & Loss,OPM %,,28%,,,27%,23%,18%,27%,27%
Profit & Loss,Other Income,,44,,,43,13,6,17,14
Profit & Loss,Interest,,101,,,109,54,44,49,76
Profit & Loss,Depreciation,,170,,,231,93,95,98,128
Profit & Loss,Profit before tax,,141,,,160,-11,-48,57,84
Profit & Loss,Tax %,,32%,,,31%,82%,21%,24%,-24%
Profit & Loss,Net Profit,,95,,,110,-21,-59,43,103
Profit & Loss,EPS in Rs,,,,,2.64,,,,
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%,0%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,9,,,32,7,7,7,8
Balance Sheet,Reserves,,1330,,,1835,242,177,206,622
Balance Sheet,Borrowings,,966,,,961,162,185,633,857
Balance Sheet,Other Liabilities,,445,,,844,339,417,179,336
Balance Sheet,Total Liabilities,,2751,,,3672,751,787,1025,1823
Balance Sheet,Fixed Assets,,1746,,,2533,551,575,701,1293
Balance Sheet,CWIP,,118,,,144,8,11,28,99
Balance Sheet,Investments,,471,,,264,1,0,0,34
Balance Sheet,Other Assets,,416,,,731,192,201,295,397
Balance Sheet,Total Assets,,2751,,,3672,751,787,1025,1823
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,346,,,360,103,99,164,233
Cash Flows,Cash from Investing Activity,,-914,,,-750,-85,-46,-155,-509
Cash Flows,Cash from Financing Activity,,553,,,382,-73,-37,35,303
Cash Flows,Net Cash Flow,,-15,,,-8,-56,17,44,27
,,,,,,,,,,
Ratios,Debtor Days,,27,,,26,36,36,30,27
Ratios,Inventory Days,,138,,,181,178,169,144,116
Ratios,Days Payable,,355,,,345,340,452,389,326
Ratios,Cash Conversion Cycle,,-190,,,-138,-126,-247,-215,-183
Ratios,Working Capital Days,,-29,,,45,-23,-36,-17,-28
Ratios,ROCE %,,11%,,,10%,,-1%,17%,13%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,32.45%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,60.62%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,5.21%,,,,
Shareholding Pattern (Quarterly),Public,,,,,1.74%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,68696,,,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,32.45%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,60.62%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,5.21%,,,,
Shareholding Pattern (Yearly),Public,,,,,1.74%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,68696,,,,
,,,,,,,,,,
