Section,,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,667,813,1206,1429,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,317,334,492,531,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,201,227,339,422,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,148,252,375,476,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,22%,31%,31%,33%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,4,-4,8,612,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,4,8,10,6,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,149,241,373,1082,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,32%,33%,34%,30%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,101,163,247,762,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,11.65,18.49,27.95,13.40,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,43,44,44,284,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,606,794,1022,1703,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,2478,3588,6232,7071,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,249,397,634,753,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,3377,4823,7933,9812,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,23,24,30,36,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,0,240,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,65,65,89,2150,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,3289,4733,7813,7386,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,3377,4823,7933,9812,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-665,-1125,-1719,884,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,593,3,39,-1800,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-148,1153,1958,1022,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-220,31,278,106,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,,22%,26%,22%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,28.21%,25.59%,25.55%,25.54%,25.53%,25.48%,25.47%,25.45%,22.92%,22.91%,22.89%,22.87%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,35.07%,38.55%,39.61%,39.74%,41.61%,41.64%,41.13%,39.37%,39.58%,40.71%,39.34%,35.58%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,18.41%,21.28%,20.64%,20.62%,19.25%,19.56%,20.81%,22.77%,18.44%,20.13%,21.78%,27.16%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,18.31%,14.58%,14.21%,14.09%,13.63%,13.31%,12.63%,12.40%,19.06%,16.23%,15.99%,14.39%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,177400,188507,179082,170109,163552,159037,155660,230172,195762,174101,189495,192987,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,25.54%,,,,25.45%,,,,22.87%,32.70%,32.19%,30.95%,28.47%,28.23%
Shareholding Pattern (Yearly),FIIs,,,,,,,,39.74%,,,,39.37%,,,,35.58%,7.40%,23.76%,28.69%,32.05%,34.31%
Shareholding Pattern (Yearly),DIIs,,,,,,,,20.62%,,,,22.77%,,,,27.16%,11.78%,14.41%,15.42%,20.54%,18.79%
Shareholding Pattern (Yearly),Public,,,,,,,,14.09%,,,,12.40%,,,,14.39%,48.11%,29.63%,24.94%,18.94%,18.67%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,170109,,,,230172,,,,192987,95291,85989,98113,114569,149884
,,,,,,,,,,,,,,,,,,,,,,
