Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,106,137,160,188,91,251,169,114,123,170,170,166,153,,,,,,,,
Quarterly Results,Expenses,95,126,153,161,86,225,154,105,103,150,156,141,130,,,,,,,,
Quarterly Results,Operating Profit,10,11,7,27,5,27,15,9,20,19,15,24,24,,,,,,,,
Quarterly Results,OPM %,10%,8%,4%,14%,5%,11%,9%,8%,16%,11%,9%,15%,15%,,,,,,,,
Quarterly Results,Other Income,5,2,3,2,4,1,2,3,3,2,2,1,2,,,,,,,,
Quarterly Results,Interest,3,4,4,2,4,5,4,2,5,6,5,3,5,,,,,,,,
Quarterly Results,Depreciation,4,4,3,4,5,6,5,6,6,5,5,5,6,,,,,,,,
Quarterly Results,Profit before tax,9,5,2,24,1,17,7,3,12,10,6,18,15,,,,,,,,
Quarterly Results,Tax %,23%,28%,33%,26%,-25%,27%,23%,19%,35%,29%,22%,29%,27%,,,,,,,,
Quarterly Results,Net Profit,7,3,2,18,1,12,6,3,8,7,5,13,11,,,,,,,,
Quarterly Results,EPS in Rs,0.74,0.37,0.17,1.92,0.07,1.32,0.60,0.29,0.83,0.76,0.53,1.37,1.20,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,548,,,,576,,,,657,,,,659,550,346,340,463,390,531,503,
Profit & Loss,Expenses,475,,,,526,,,,586,,,,577,520,316,290,446,352,482,447,
Profit & Loss,Operating Profit,73,,,,50,,,,71,,,,82,30,30,50,17,38,50,56,
Profit & Loss,OPM %,13%,,,,9%,,,,11%,,,,12%,6%,9%,15%,4%,10%,9%,11%,
Profit & Loss,Other Income,10,,,,11,,,,7,,,,7,7,6,9,37,14,11,4,
Profit & Loss,Interest,12,,,,14,,,,17,,,,18,14,17,8,11,8,18,11,
Profit & Loss,Depreciation,15,,,,16,,,,23,,,,22,14,9,12,13,12,15,15,
Profit & Loss,Profit before tax,56,,,,31,,,,39,,,,49,9,10,38,29,32,28,34,
Profit & Loss,Tax %,26%,,,,26%,,,,28%,,,,27%,17%,-17%,26%,35%,24%,34%,23%,
Profit & Loss,Net Profit,41,,,,23,,,,28,,,,36,7,12,28,19,24,19,26,
Profit & Loss,EPS in Rs,4.51,,,,2.52,,,,3.05,,,,3.86,0.81,1.27,3.07,2.05,2.63,2.01,2.85,
Profit & Loss,Dividend Payout %,4%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,,,,18,,,,18,,,,18,,18,18,18,18,18,18,18
Balance Sheet,Reserves,234,,,,257,,,,285,,,,320,,10,39,66,150,169,195,-1
Balance Sheet,Borrowings,224,,,,268,,,,291,,,,282,,95,166,99,109,174,201,146
Balance Sheet,Other Liabilities,166,,,,160,,,,185,,,,109,,154,179,130,216,166,210,164
Balance Sheet,Total Liabilities,643,,,,703,,,,779,,,,730,,277,402,313,493,527,625,327
Balance Sheet,Fixed Assets,159,,,,214,,,,209,,,,205,,63,125,94,158,160,158,65
Balance Sheet,CWIP,0,,,,5,,,,12,,,,7,,0,0,0,7,0,8,0
Balance Sheet,Investments,30,,,,63,,,,76,,,,74,,0,4,7,7,27,24,0
Balance Sheet,Other Assets,454,,,,421,,,,482,,,,444,,214,273,212,321,339,434,262
Balance Sheet,Total Assets,643,,,,703,,,,779,,,,730,,277,402,313,493,527,625,327
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,5,,,,73,,,,29,,,,31,,70,15,72,6,-3,7,11
Cash Flows,Cash from Investing Activity,-12,,,,-105,,,,-34,,,,-7,,-12,-73,-11,-22,-28,-21,-23
Cash Flows,Cash from Financing Activity,9,,,,30,,,,7,,,,-28,,-53,60,-58,10,30,16,17
Cash Flows,Net Cash Flow,3,,,,-3,,,,1,,,,-3,,4,2,2,-5,-1,2,5
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,10,,,,4,,,,16,,,,5,,28,19,18,26,14,14,21
Ratios,Inventory Days,350,,,,298,,,,289,,,,300,,217,345,151,338,248,362,160
Ratios,Days Payable,123,,,,110,,,,116,,,,67,,133,141,102,235,111,177,104
Ratios,Cash Conversion Cycle,238,,,,192,,,,189,,,,238,,112,223,67,128,152,200,77
Ratios,Working Capital Days,169,,,,144,,,,145,,,,164,,43,91,44,88,104,164,57
Ratios,ROCE %,15%,,,,9%,,,,10%,,,,11%,,18%,26%,20%,17%,14%,12%,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,64.56%,56.52%,56.52%,56.52%,56.52%,56.51%,56.51%,56.51%,56.51%,56.51%,56.51%,56.51%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.03%,0.07%,0.00%,0.00%,0.00%,0.85%,0.00%,0.25%,0.19%,0.21%,0.15%,0.13%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,35.41%,43.41%,43.48%,43.48%,43.48%,42.64%,43.49%,43.23%,43.29%,43.27%,43.34%,43.37%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,47820,47128,46045,45761,44477,45880,46453,54814,62270,58943,58416,58384,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.56%,,,,56.52%,,,,56.51%,,,,56.51%,,66.57%,64.94%,64.14%,63.18%,64.69%,64.80%,
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.25%,,,,0.13%,,0.00%,0.81%,0.01%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.00%,0.08%,0.02%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,35.44%,,,,43.48%,,,,43.23%,,,,43.37%,,33.43%,34.25%,35.77%,36.81%,35.30%,35.20%,
Shareholding Pattern (Yearly),No. of Shareholders,45173,,,,45761,,,,54814,,,,58384,,9746,14157,16600,16813,15769,17915,
,,,,,,,,,,,,,,,,,,,,,,
