Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,234,169,46,127,344,272,618,521,812,422,533,464,585,,
Quarterly Results,Expenses,181,164,54,119,247,209,632,512,762,381,455,427,537,,
Quarterly Results,Operating Profit,53,4,-8,7,97,63,-14,9,50,41,78,38,48,,
Quarterly Results,OPM %,23%,2%,-18%,6%,28%,23%,-2%,2%,6%,10%,15%,8%,8%,,
Quarterly Results,Other Income,14,7,10,9,22,11,25,34,15,15,23,22,57,,
Quarterly Results,Interest,6,3,5,6,22,7,7,7,20,17,10,12,13,,
Quarterly Results,Depreciation,1,1,1,1,2,1,2,2,3,2,3,3,6,,
Quarterly Results,Profit before tax,60,7,-4,9,95,67,2,34,42,37,88,45,87,,
Quarterly Results,Tax %,33%,43%,6%,39%,22%,30%,-108%,11%,28%,31%,26%,33%,23%,,
Quarterly Results,Net Profit,40,4,-5,6,74,47,4,30,30,26,66,30,67,,
Quarterly Results,EPS in Rs,4.20,0.48,-0.48,0.47,6.73,4.12,0.38,2.65,2.69,2.05,5.26,1.20,5.14,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1269,,,,686,,,,2222,,,,2004,1211,849
Profit & Loss,Expenses,1092,,,,582,,,,2113,,,,1800,1075,746
Profit & Loss,Operating Profit,178,,,,104,,,,110,,,,204,136,102
Profit & Loss,OPM %,14%,,,,15%,,,,5%,,,,10%,11%,12%
Profit & Loss,Other Income,34,,,,44,,,,82,,,,117,57,329
Profit & Loss,Interest,23,,,,36,,,,40,,,,51,128,140
Profit & Loss,Depreciation,3,,,,5,,,,7,,,,13,2,2
Profit & Loss,Profit before tax,184,,,,108,,,,144,,,,257,63,290
Profit & Loss,Tax %,26%,,,,26%,,,,23%,,,,27%,77%,20%
Profit & Loss,Net Profit,136,,,,80,,,,111,,,,188,14,232
Profit & Loss,EPS in Rs,13.96,,,,7.20,,,,9.85,,,,13.64,2.20,31.04
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,11%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,100,,,,114,,,,114,,,,126,100,100
Balance Sheet,Reserves,833,,,,1556,,,,1684,,,,2646,327,701
Balance Sheet,Borrowings,1563,,,,1030,,,,1101,,,,930,2514,1220
Balance Sheet,Other Liabilities,1382,,,,1816,,,,3033,,,,2947,1474,1633
Balance Sheet,Total Liabilities,3877,,,,4515,,,,5932,,,,6649,4415,3654
Balance Sheet,Fixed Assets,33,,,,39,,,,355,,,,375,195,29
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0
Balance Sheet,Investments,575,,,,642,,,,456,,,,484,5,595
Balance Sheet,Other Assets,3268,,,,3834,,,,5121,,,,5790,4215,3029
Balance Sheet,Total Assets,3877,,,,4515,,,,5932,,,,6649,4415,3654
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-110,,,,306,,,,183,,,,-11,351,642
Cash Flows,Cash from Investing Activity,-138,,,,27,,,,-278,,,,-65,-200,-235
Cash Flows,Cash from Financing Activity,154,,,,-30,,,,-38,,,,484,171,-609
Cash Flows,Net Cash Flow,-93,,,,303,,,,-132,,,,408,323,-202
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,33,,,,33,,,,17,,,,15,19,16
Ratios,Inventory Days,,,,,,,,,1482,,,,974,3791,5193
Ratios,Days Payable,,,,,,,,,256,,,,200,380,555
Ratios,Cash Conversion Cycle,33,,,,33,,,,1242,,,,790,3431,4653
Ratios,Working Capital Days,501,,,,890,,,,291,,,,384,612,532
Ratios,ROCE %,9%,,,,5%,,,,7%,,,,9%,,18%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,86.71%,86.71%,86.71%,86.71%,86.70%,86.70%,78.35%,78.35%,78.35%,78.34%,,
Shareholding Pattern (Quarterly),FIIs,,,,2.45%,1.66%,1.49%,1.53%,2.44%,2.33%,3.24%,3.40%,3.28%,3.10%,,
Shareholding Pattern (Quarterly),DIIs,,,,5.91%,6.64%,7.86%,7.97%,8.19%,8.72%,16.39%,16.12%,16.15%,16.19%,,
Shareholding Pattern (Quarterly),Public,,,,4.94%,5.00%,3.95%,3.80%,2.68%,2.26%,2.02%,2.11%,2.22%,2.37%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,29320,26017,21215,18560,16739,15800,15792,18357,18943,19144,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,86.71%,,,,86.70%,,,,78.34%,,
Shareholding Pattern (Yearly),FIIs,,,,,1.66%,,,,2.33%,,,,3.10%,,
Shareholding Pattern (Yearly),DIIs,,,,,6.64%,,,,8.72%,,,,16.19%,,
Shareholding Pattern (Yearly),Public,,,,,5.00%,,,,2.26%,,,,2.37%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,26017,,,,15800,,,,19144,,
,,,,,,,,,,,,,,,,
