Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,1255,1273,1078,1130,1428,1163,1116,1302,1346,1090,1125,1131,1267,,,,,,,,,,,
Quarterly Results,Expenses,1041,1106,984,1022,1322,1061,1012,1176,1235,985,1015,1008,1204,,,,,,,,,,,
Quarterly Results,Operating Profit,214,167,94,108,107,102,103,126,111,106,110,123,62,,,,,,,,,,,
Quarterly Results,OPM %,17%,13%,9%,10%,7%,9%,9%,10%,8%,10%,10%,11%,5%,,,,,,,,,,,
Quarterly Results,Other Income,20,16,16,28,14,27,42,39,37,29,20,9,25,,,,,,,,,,,
Quarterly Results,Interest,2,4,3,2,4,6,6,3,3,3,4,3,6,,,,,,,,,,,
Quarterly Results,Depreciation,23,24,24,24,23,30,30,30,30,31,31,32,32,,,,,,,,,,,
Quarterly Results,Profit before tax,209,155,84,109,93,92,109,131,115,100,94,97,49,,,,,,,,,,,
Quarterly Results,Tax %,27%,26%,23%,25%,25%,23%,24%,23%,21%,24%,26%,27%,35%,,,,,,,,,,,
Quarterly Results,Net Profit,153,115,64,82,69,71,83,101,91,77,69,71,32,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.34,2.50,1.40,1.79,1.51,1.55,1.80,2.20,1.99,1.67,1.51,1.56,0.70,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4670,,,,4909,,,,4927,,,,4613,1953,2122,3016,3092,2531,2736,3817,4705,,,
Profit & Loss,Expenses,3983,,,,4433,,,,4484,,,,4212,1814,2016,2821,2897,2367,2549,3527,4171,,,
Profit & Loss,Operating Profit,687,,,,476,,,,443,,,,401,140,106,194,195,165,188,289,535,,,
Profit & Loss,OPM %,15%,,,,10%,,,,9%,,,,9%,7%,5%,6%,6%,6%,7%,8%,11%,,,
Profit & Loss,Other Income,54,,,,73,,,,144,,,,82,16,5,9,10,9,10,2,27,,,
Profit & Loss,Interest,6,,,,13,,,,18,,,,17,13,21,22,21,15,10,9,6,,,
Profit & Loss,Depreciation,97,,,,95,,,,121,,,,126,25,30,37,47,61,65,101,103,,,
Profit & Loss,Profit before tax,638,,,,441,,,,448,,,,341,118,61,145,137,98,123,181,452,,,
Profit & Loss,Tax %,26%,,,,25%,,,,23%,,,,27%,21%,18%,22%,19%,14%,16%,20%,25%,,,
Profit & Loss,Net Profit,475,,,,330,,,,346,,,,249,93,50,113,111,84,104,146,338,,,
Profit & Loss,EPS in Rs,10.36,,,,7.20,,,,7.54,,,,5.44,1.68,0.90,2.04,2.01,1.52,1.87,3.18,7.37,,,
Profit & Loss,Dividend Payout %,3%,,,,5%,,,,0%,,,,5%,9%,17%,10%,9%,14%,11%,8%,4%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,23,,,,23,,,,46,,,,46,28,28,28,28,28,28,23,23,,,
Balance Sheet,Reserves,2095,,,,2411,,,,2723,,,,2956,480,528,628,729,800,889,1304,1634,,,
Balance Sheet,Borrowings,281,,,,229,,,,199,,,,229,232,361,183,401,309,329,160,165,,,
Balance Sheet,Other Liabilities,354,,,,289,,,,342,,,,356,255,223,364,154,148,176,250,341,,,
Balance Sheet,Total Liabilities,2753,,,,2952,,,,3310,,,,3587,995,1140,1203,1312,1284,1421,1736,2163,,,
Balance Sheet,Fixed Assets,771,,,,1042,,,,1037,,,,1179,299,289,458,479,543,562,787,731,,,
