Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,306,306,478,379,395,325,618,507,442,416,661,505,
Quarterly Results,Expenses,252,262,391,319,313,267,513,432,373,352,536,424,
Quarterly Results,Operating Profit,53,45,87,60,82,58,105,75,69,64,125,81,
Quarterly Results,OPM %,17%,15%,18%,16%,21%,18%,17%,15%,16%,15%,19%,16%,
Quarterly Results,Other Income,2,3,1,1,1,2,4,5,2,3,9,14,
Quarterly Results,Interest,4,4,5,5,6,9,10,10,10,12,13,16,
Quarterly Results,Depreciation,11,10,10,13,12,15,16,15,19,21,22,21,
Quarterly Results,Profit before tax,41,33,73,42,64,36,82,54,42,35,99,58,
Quarterly Results,Tax %,31%,22%,27%,17%,27%,23%,26%,25%,26%,28%,26%,28%,
Quarterly Results,Net Profit,28,26,53,35,47,28,61,41,31,25,73,41,
Quarterly Results,EPS in Rs,,,,0.62,0.85,0.50,1.10,0.74,0.55,0.45,1.32,0.75,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1468,,,,1843,,,,2020,303
Profit & Loss,Expenses,,,,1224,,,,1524,,,,1685,256
Profit & Loss,Operating Profit,,,,244,,,,319,,,,335,47
Profit & Loss,OPM %,,,,17%,,,,17%,,,,17%,16%
Profit & Loss,Other Income,,,,7,,,,13,,,,32,-0
Profit & Loss,Interest,,,,17,,,,37,,,,51,4
Profit & Loss,Depreciation,,,,44,,,,59,,,,83,2
Profit & Loss,Profit before tax,,,,189,,,,236,,,,233,41
Profit & Loss,Tax %,,,,25%,,,,25%,,,,27%,29%
Profit & Loss,Net Profit,,,,142,,,,176,,,,170,29
Profit & Loss,EPS in Rs,,,,2.57,,,,3.19,,,,3.08,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,73%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,28,,,,28,,,,111,0.01
Balance Sheet,Reserves,,,,449,,,,621,,,,678,336
Balance Sheet,Borrowings,,,,260,,,,480,,,,724,28
Balance Sheet,Other Liabilities,,,,502,,,,460,,,,712,461
Balance Sheet,Total Liabilities,,,,1239,,,,1588,,,,2224,826
Balance Sheet,Fixed Assets,,,,368,,,,646,,,,717,304
Balance Sheet,CWIP,,,,71,,,,17,,,,46,17
Balance Sheet,Investments,,,,1,,,,0,,,,0,1
Balance Sheet,Other Assets,,,,799,,,,925,,,,1461,504
Balance Sheet,Total Assets,,,,1239,,,,1588,,,,2224,826
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,127,,,,84,,,,14,44
Cash Flows,Cash from Investing Activity,,,,-127,,,,-116,,,,-107,-49
Cash Flows,Cash from Financing Activity,,,,12,,,,26,,,,99,-17
Cash Flows,Net Cash Flow,,,,12,,,,-5,,,,5,-22
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,21,,,,18,,,,20,68
Ratios,Inventory Days,,,,308,,,,298,,,,413,963
Ratios,Days Payable,,,,164,,,,108,,,,170,407
Ratios,Cash Conversion Cycle,,,,164,,,,208,,,,262,623
Ratios,Working Capital Days,,,,65,,,,87,,,,131,299
Ratios,ROCE %,,,,37%,,,,29%,,,,22%,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,71.77%,71.77%,71.77%,71.79%,71.80%,71.80%,71.80%,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.22%,2.74%,3.10%,3.17%,3.30%,3.48%,3.53%,
Shareholding Pattern (Quarterly),DIIs,,,,,,6.44%,7.30%,7.86%,8.89%,10.20%,10.23%,10.25%,
Shareholding Pattern (Quarterly),Public,,,,,,19.58%,18.20%,17.28%,16.16%,14.72%,14.50%,14.44%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,59220,63147,57880,55671,55824,65354,74364,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,71.77%,,,,71.80%,
Shareholding Pattern (Yearly),FIIs,,,,,,,,3.10%,,,,3.53%,
Shareholding Pattern (Yearly),DIIs,,,,,,,,7.86%,,,,10.25%,
Shareholding Pattern (Yearly),Public,,,,,,,,17.28%,,,,14.44%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,57880,,,,74364,
,,,,,,,,,,,,,,
