Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2021,Oct 2021
Quarterly Results,Sales,111,119,122,122,135,134,150,141,131,133,136,153,,,,,,,,,,,
Quarterly Results,Expenses,92,104,107,112,112,111,121,115,112,117,111,125,,,,,,,,,,,
Quarterly Results,Operating Profit,19,15,15,10,23,23,29,26,18,17,24,28,,,,,,,,,,,
Quarterly Results,OPM %,17%,13%,12%,8%,17%,17%,19%,18%,14%,13%,18%,18%,,,,,,,,,,,
Quarterly Results,Other Income,0,1,1,1,1,0,2,-0,1,4,-0,0,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,2,2,2,1,1,1,1,1,,,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,5,5,5,6,4,5,5,5,,,,,,,,,,,
Quarterly Results,Profit before tax,16,12,12,6,17,17,24,18,13,15,18,22,,,,,,,,,,,
Quarterly Results,Tax %,25%,23%,23%,24%,23%,20%,22%,25%,27%,16%,24%,25%,,,,,,,,,,,
Quarterly Results,Net Profit,12,9,9,5,14,14,19,13,10,12,14,17,,,,,,,,,,,
Quarterly Results,EPS in Rs,9.82,7.75,8.38,4.39,11.84,12.25,16.15,11.59,8.85,10.98,12.13,14.03,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,474,,,,559,,,,553,147,186,175,178,220,229,303,327,424,,
Profit & Loss,Expenses,,,,414,,,,458,,,,465,133,175,162,158,192,197,254,276,355,,
Profit & Loss,Operating Profit,,,,60,,,,100,,,,88,14,11,13,20,27,31,49,50,69,,
Profit & Loss,OPM %,,,,13%,,,,18%,,,,16%,9%,6%,7%,11%,12%,14%,16%,15%,16%,,
Profit & Loss,Other Income,,,,3,,,,3,,,,5,1,1,0,0,1,1,0,3,1,,
Profit & Loss,Interest,,,,5,,,,6,,,,5,5,6,6,6,6,5,5,4,3,,
Profit & Loss,Depreciation,,,,12,,,,20,,,,19,4,6,6,5,5,6,6,9,11,,
Profit & Loss,Profit before tax,,,,46,,,,77,,,,68,6,0,1,9,17,22,38,41,56,,
Profit & Loss,Tax %,,,,24%,,,,23%,,,,23%,79%,1240%,149%,34%,23%,31%,21%,27%,24%,,
Profit & Loss,Net Profit,,,,35,,,,59,,,,52,1,-2,-1,6,13,15,30,29,43,,
Profit & Loss,EPS in Rs,,,,30.30,,,,51.69,,,,46.00,3.04,-0.22,0.20,5.59,10.73,12.97,24.17,25.19,35.31,,
Profit & Loss,Dividend Payout %,,,,7%,,,,6%,,,,0%,38%,-522%,572%,21%,12%,13%,7%,8%,6%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,11,,,,11,,,,11,3,3,3,3,3,3,3,4,11,,
Balance Sheet,Reserves,,,,186,,,,240,,,,287,50,48,46,52,62,74,98,125,154,,
Balance Sheet,Borrowings,,,,45,,,,43,,,,30,31,37,39,41,34,31,36,18,38,,
Balance Sheet,Other Liabilities,,,,121,,,,119,,,,119,50,60,54,41,54,60,79,94,98,,
Balance Sheet,Total Liabilities,,,,362,,,,412,,,,446,135,148,143,138,153,169,216,240,301,,
Balance Sheet,Fixed Assets,,,,112,,,,108,,,,103,33,31,30,29,32,34,32,46,66,,
Balance Sheet,CWIP,,,,2,,,,2,,,,16,1,0,0,1,1,0,0,1,1,,
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,,
Balance Sheet,Other Assets,,,,249,,,,301,,,,328,101,116,112,108,119,135,184,193,234,,
