Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Apr 2025
Quarterly Results,Sales,169.30,177.55,175.12,183.74,180.69,185.38,185.15,181.76,189.64,194.90,187.34,185.93,,
Quarterly Results,Expenses,127.58,137.97,139.38,157.35,151.70,153.01,155.85,155.09,159.62,162.46,154.86,152.40,,
Quarterly Results,Operating Profit,41.72,39.58,35.74,26.39,28.99,32.37,29.30,26.67,30.02,32.44,32.48,33.53,,
Quarterly Results,OPM %,24.64%,22.29%,20.41%,14.36%,16.04%,17.46%,15.83%,14.67%,15.83%,16.64%,17.34%,18.03%,,
Quarterly Results,Other Income,2.18,2.82,1.96,8.12,2.01,2.41,6.82,5.45,2.46,1.88,1.42,2.46,,
Quarterly Results,Interest,8.43,8.33,8.39,6.75,7.07,6.97,6.95,7.22,7.20,7.08,8.51,10.80,,
Quarterly Results,Depreciation,12.79,12.90,12.89,12.41,13.35,13.29,13.66,13.92,13.80,13.40,12.80,15.72,,
Quarterly Results,Profit before tax,22.68,21.17,16.42,15.35,10.58,14.52,15.51,10.98,11.48,13.84,12.59,9.47,,
Quarterly Results,Tax %,17.28%,32.64%,19.73%,17.92%,14.93%,17.91%,6.06%,16.03%,16.90%,18.14%,6.51%,125.45%,,
Quarterly Results,Net Profit,18.77,14.26,13.17,12.60,9.00,11.91,14.57,9.22,9.55,11.33,11.77,-2.41,,
Quarterly Results,EPS in Rs,,,,,0.37,0.48,0.60,0.36,0.38,0.46,0.48,-0.07,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,706,,,,733,,,,758,128,
Profit & Loss,Expenses,,,,562,,,,615,,,,629,115,
Profit & Loss,Operating Profit,,,,144,,,,118,,,,128,14,
Profit & Loss,OPM %,,,,20%,,,,16%,,,,17%,11%,
Profit & Loss,Other Income,,,,15,,,,16,,,,8,1,
Profit & Loss,Interest,,,,32,,,,28,,,,34,2,
Profit & Loss,Depreciation,,,,51,,,,54,,,,56,6,
Profit & Loss,Profit before tax,,,,76,,,,52,,,,47,6,
Profit & Loss,Tax %,,,,22%,,,,13%,,,,36%,36%,
Profit & Loss,Net Profit,,,,59,,,,45,,,,30,4,
Profit & Loss,EPS in Rs,,,,,,,,1.81,,,,1.24,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,0.00,,,,49,,,,49,0.00,
Balance Sheet,Reserves,,,,206,,,,189,,,,219,3,
Balance Sheet,Borrowings,,,,414,,,,419,,,,548,113,
Balance Sheet,Other Liabilities,,,,154,,,,125,,,,143,72,
Balance Sheet,Total Liabilities,,,,774,,,,782,,,,959,188,
Balance Sheet,Fixed Assets,,,,508,,,,498,,,,522,97,
Balance Sheet,CWIP,,,,1,,,,0,,,,0,0,
Balance Sheet,Investments,,,,36,,,,72,,,,214,0,
Balance Sheet,Other Assets,,,,230,,,,211,,,,223,91,
Balance Sheet,Total Assets,,,,774,,,,782,,,,959,188,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,125,,,,99,,,,108,1,
Cash Flows,Cash from Investing Activity,,,,-13,,,,-39,,,,-130,-90,
Cash Flows,Cash from Financing Activity,,,,-108,,,,-53,,,,18,98,
Cash Flows,Net Cash Flow,,,,4,,,,8,,,,-4,9,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,28,,,,22,,,,23,58,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,28,,,,22,,,,23,58,
Ratios,Working Capital Days,,,,-13,,,,-14,,,,21,-40,
Ratios,ROCE %,,,,28%,,,,12%,,,,12%,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,69.91%,69.91%,69.91%,68.13%,67.52%,67.52%,67.52%,,65.82%
Shareholding Pattern (Quarterly),FIIs,,,,,,8.21%,7.61%,7.05%,7.00%,6.84%,6.82%,6.23%,,6.07%
Shareholding Pattern (Quarterly),DIIs,,,,,,1.93%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,19.93%,21.71%,23.02%,24.87%,25.63%,25.65%,26.24%,,28.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,67547,76044,80289,82572,84621,82509,80755,,80756
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,69.91%,,,,67.52%,,65.82%
Shareholding Pattern (Yearly),FIIs,,,,,,,,7.05%,,,,6.23%,,6.07%
Shareholding Pattern (Yearly),Public,,,,,,,,23.02%,,,,26.24%,,28.11%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,80289,,,,80755,,80756
,,,,,,,,,,,,,,,
