Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2020,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Revenue,60,66,66,62,61,63,58,51,,,,,,,,,,,,,,
Quarterly Results,Interest,32,32,32,29,27,26,22,21,,,,,,,,,,,,,,
Quarterly Results,Expenses,5,7,6,7,5,5,13,5,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,22,27,28,26,29,32,22,25,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,38%,41%,42%,42%,48%,51%,38%,49%,,,,,,,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,22,26,27,26,29,31,22,24,,,,,,,,,,,,,,
Quarterly Results,Tax %,18%,20%,21%,22%,21%,21%,9%,25%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,18,21,22,20,22,25,20,18,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.25,2.63,2.68,2.22,2.48,2.76,2.18,2.03,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,258,,,,254,,,,266,232,,,,,,,,,,,,
Profit & Loss,Interest,130,,,,120,,,,121,97,,,,,,,,,,,,
Profit & Loss,Expenses,27,,,,25,,,,47,28,,,,,,,,,,,,
Profit & Loss,Financing Profit,101,,,,109,,,,98,108,,,,,,,,,,,,
Profit & Loss,Financing Margin %,39%,,,,43%,,,,37%,46%,,,,,,,,,,,,
Profit & Loss,Other Income,0,,,,0,,,,0,0,,,,,,,,,,,,
Profit & Loss,Depreciation,1,,,,1,,,,1,2,,,,,,,,,,,,
Profit & Loss,Profit before tax,100,,,,108,,,,97,106,,,,,,,,,,,,
Profit & Loss,Tax %,19%,,,,21%,,,,17%,,,,,,,,,,,,,
Profit & Loss,Net Profit,81,,,,85,,,,81,85,,,,,,,,,,,,
Profit & Loss,EPS in Rs,10.00,,,,9.44,,,,10.04,9.45,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,8%,,,,13%,,,,0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,81,,,,90,,90,,81,,,,,,,,,,,,,
Balance Sheet,Reserves,711,,,,847,,883,,673,,,,,,,,,,,,,
Balance Sheet,Borrowing,1360,,,,1272,,920,,1447,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,34,,,,35,,55,,43,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,2185,,,,2245,,1949,,2244,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,16,,,,17,,16,,18,,,,,,,,,,,,,
Balance Sheet,CWIP,0,,,,0,,0,,0,,,,,,,,,,,,,
Balance Sheet,Investments,159,,,,165,,361,,218,,,,,,,,,,,,,
Balance Sheet,Other Assets,2010,,,,2062,,1572,,2008,,,,,,,,,,,,,
Balance Sheet,Total Assets,2185,,,,2245,,1949,,2244,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-171,,,,139,,,,161,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-0,,,,-2,,,,-1,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-1,,,,57,,,,-22,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-172,,,,193,,,,139,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
