Section,,Mar 2021,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2022,Sep 2021
Quarterly Results,Sales,151.38,84.57,104.20,89.34,84.12,79.41,76.16,79.86,81.45,78.84,83.73,79.44,66.23,,,
Quarterly Results,Expenses,137.45,79.73,97.11,81.49,71.04,71.07,67.48,71.94,71.92,70.47,73.16,72.83,58.71,,,
Quarterly Results,Operating Profit,13.93,4.84,7.09,7.85,13.08,8.34,8.68,7.92,9.53,8.37,10.57,6.61,7.52,,,
Quarterly Results,OPM %,9.20%,5.72%,6.80%,8.79%,15.55%,10.50%,11.40%,9.92%,11.70%,10.62%,12.62%,8.32%,11.35%,,,
Quarterly Results,Other Income,0.08,0.55,0.32,0.12,0.95,2.45,0.23,0.11,0.21,0.17,0.14,0.72,0.75,,,
Quarterly Results,Interest,2.87,2.30,2.61,2.77,3.19,2.71,2.73,2.72,2.91,2.66,2.72,2.94,2.33,,,
Quarterly Results,Depreciation,2.34,2.81,2.89,2.76,3.36,2.86,2.35,2.60,2.89,2.94,3.32,3.44,3.35,,,
Quarterly Results,Profit before tax,8.80,0.28,1.91,2.44,7.48,5.22,3.83,2.71,3.94,2.94,4.67,0.95,2.59,,,
Quarterly Results,Tax %,27.50%,242.86%,24.08%,36.89%,19.25%,21.46%,27.94%,18.82%,25.63%,27.55%,28.69%,21.05%,29.73%,,,
Quarterly Results,Net Profit,6.38,-0.40,1.45,1.54,6.05,4.10,2.75,2.20,2.93,2.13,3.34,0.76,1.82,,,
Quarterly Results,EPS in Rs,5.23,0.06,0.80,2.07,3.93,2.87,2.15,1.43,2.20,1.83,2.25,0.57,1.22,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,218,,,,359,,,,314,,,,308,180,334,
Profit & Loss,Expenses,199,,,,326,,,,280,,,,275,161,302,
Profit & Loss,Operating Profit,20,,,,33,,,,35,,,,33,19,31,
Profit & Loss,OPM %,9%,,,,9%,,,,11%,,,,11%,10%,9%,
Profit & Loss,Other Income,0,,,,2,,,,3,,,,2,-1,1,
Profit & Loss,Interest,5,,,,11,,,,11,,,,11,4,9,
Profit & Loss,Depreciation,4,,,,12,,,,11,,,,13,4,9,
Profit & Loss,Profit before tax,11,,,,12,,,,16,,,,11,9,14,
Profit & Loss,Tax %,32%,,,,29%,,,,24%,,,,28%,31%,31%,
Profit & Loss,Net Profit,7,,,,9,,,,12,,,,8,4,10,
Profit & Loss,EPS in Rs,5.11,,,,7.09,,,,9.85,,,,5.28,8.25,6.66,
Profit & Loss,Dividend Payout %,0%,,,,14%,,,,0%,,,,0%,0%,0%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,12,,,,12,,,,14,3,6,
Balance Sheet,Reserves,42,,,,49,,,,61,,,,186,24,49,
Balance Sheet,Borrowings,59,,,,137,,,,121,,,,29,49,123,
Balance Sheet,Other Liabilities,56,,,,80,,,,64,,,,50,44,65,
Balance Sheet,Total Liabilities,162,,,,279,,,,258,,,,279,120,243,
Balance Sheet,Fixed Assets,53,,,,88,,,,75,,,,91,45,77,
Balance Sheet,CWIP,0,,,,1,,,,0,,,,0,0,0,
Balance Sheet,Investments,0,,,,0,,,,0,,,,13,0,0,
Balance Sheet,Other Assets,110,,,,190,,,,182,,,,174,75,166,
Balance Sheet,Total Assets,162,,,,279,,,,258,,,,279,120,243,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-8,,,,18,,,,6,,,,6,-5,-20,
Cash Flows,Cash from Investing Activity,-11,,,,-23,,,,-18,,,,-28,-23,-32,
Cash Flows,Cash from Financing Activity,18,,,,5,,,,12,,,,22,28,52,
Cash Flows,Net Cash Flow,-1,,,,-0,,,,-0,,,,1,-1,0,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,64,,,,54,,,,65,,,,51,60,55,
Ratios,Inventory Days,122,,,,167,,,,176,,,,208,96,155,
Ratios,Days Payable,102,,,,85,,,,70,,,,38,80,71,
Ratios,Cash Conversion Cycle,84,,,,137,,,,171,,,,221,76,139,
Ratios,Working Capital Days,90,,,,117,,,,143,,,,171,60,112,
Ratios,ROCE %,16%,,,,12%,,,,13%,,,,10%,,15%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,70.44%,,70.44%,70.45%,70.45%,70.45%,70.45%,70.45%,70.45%,70.45%,61.50%,,70.45%,70.45%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.13%,6.18%,,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,29.56%,,29.56%,29.56%,29.55%,29.55%,29.55%,29.56%,29.52%,29.43%,32.32%,,29.56%,29.56%
Shareholding Pattern (Quarterly),No. of Shareholders,,,230,,217,358,1225,2082,3079,4210,4802,5357,5407,,257,296
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.45%,,,,70.44%,,,,70.45%,,,,61.50%,,70.45%,
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,6.18%,,0.00%,
Shareholding Pattern (Yearly),Public,29.56%,,,,29.56%,,,,29.55%,,,,32.32%,,29.56%,
Shareholding Pattern (Yearly),No. of Shareholders,523,,,,217,,,,3079,,,,5407,,257,
,,,,,,,,,,,,,,,,,
