Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,72.73%,68.26%,68.26%,68.26%,68.26%,68.26%,68.26%,70.79%,61.22%,52.29%,52.29%,52.29%,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.68%,0.60%,0.57%,0.01%,0.00%,0.00%,0.00%,0.06%,0.26%,0.17%,0.36%,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Quarterly),Public,27.27%,31.05%,31.15%,31.18%,31.72%,31.75%,31.74%,29.21%,38.36%,47.44%,47.53%,47.35%,,
Shareholding Pattern (Quarterly),No. of Shareholders,177,198,221,228,3975,6437,9200,10632,11121,13030,13553,13389,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,68.26%,,,,70.79%,,,,52.29%,72.73%,72.73%
Shareholding Pattern (Yearly),FIIs,,,,0.57%,,,,0.00%,,,,0.36%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,31.18%,,,,29.21%,,,,47.35%,27.27%,27.27%
Shareholding Pattern (Yearly),No. of Shareholders,,,,228,,,,10632,,,,13389,129,157
,,,,,,,,,,,,,,,
