Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,1141.50,166.28,197.55,256.35,775.26,157.04,246.47,258.84,601.28,519.98,1016.20,1034.54,1045.70,,,,,,
Quarterly Results,Expenses,944.22,230.40,246.55,291.23,781.48,206.19,299.47,302.33,775.09,532.83,1025.00,1045.05,1073.88,,,,,,
Quarterly Results,Operating Profit,197.28,-64.12,-49.00,-34.88,-6.22,-49.15,-53.00,-43.49,-173.81,-12.85,-8.80,-10.51,-28.18,,,,,,
Quarterly Results,OPM %,17.28%,-38.56%,-24.80%,-13.61%,-0.80%,-31.30%,-21.50%,-16.80%,-28.91%,-2.47%,-0.87%,-1.02%,-2.69%,,,,,,
Quarterly Results,Other Income,225.54,21.98,10.46,10.19,10.80,12.99,9.61,13.08,9.39,-11.43,13.76,38.40,98.21,,,,,,
Quarterly Results,Interest,52.39,45.60,50.13,50.68,63.17,54.62,69.30,57.25,60.22,53.15,61.56,64.10,45.49,,,,,,
Quarterly Results,Depreciation,13.05,11.96,11.87,12.24,13.42,12.03,13.32,13.59,14.18,13.88,13.73,12.67,28.92,,,,,,
Quarterly Results,Profit before tax,357.38,-99.70,-100.54,-87.61,-72.01,-102.81,-126.01,-101.25,-238.82,-91.31,-70.33,-48.88,-4.38,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Quarterly Results,Net Profit,356.06,-99.70,-100.54,-87.61,-72.01,-102.81,-126.01,-101.25,-238.82,-91.31,-70.33,-48.88,-4.38,,,,,,
Quarterly Results,EPS in Rs,3.81,-1.06,-1.06,-0.92,-0.76,-1.07,-1.31,-1.05,-2.49,-0.95,-0.73,-0.51,-0.05,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1861,,,,1395,,,,1264,,,,3616,1528,1475,1668,2059,2362,
Profit & Loss,Expenses,1753,,,,1549,,,,1582,,,,3676,1633,1394,1769,1914,2313,
Profit & Loss,Operating Profit,107,,,,-154,,,,-318,,,,-60,-105,81,-100,144,50,
Profit & Loss,OPM %,6%,,,,-11%,,,,-25%,,,,-2%,-7%,6%,-6%,7%,2%,
Profit & Loss,Other Income,255,,,,53,,,,43,,,,138,541,327,336,184,161,
Profit & Loss,Interest,192,,,,210,,,,241,,,,224,153,153,106,141,160,
Profit & Loss,Depreciation,51,,,,50,,,,53,,,,69,17,25,37,42,42,
Profit & Loss,Profit before tax,119,,,,-360,,,,-569,,,,-215,266,231,93,146,9,
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,
Profit & Loss,Net Profit,119,,,,-360,,,,-569,,,,-215,266,231,93,146,9,
Profit & Loss,EPS in Rs,1.27,,,,-3.79,,,,-5.92,,,,-2.24,4.76,3.03,1.03,1.58,0.10,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,934,,,,950,,,,961,,,,961,560,760,897,925,934,
Balance Sheet,Reserves,1674,,,,1425,,,,823,,,,664,540,905,936,1395,1511,
Balance Sheet,Borrowings,1613,,,,1877,,,,1796,,,,1481,1524,1226,1259,1216,1465,
Balance Sheet,Other Liabilities,5394,,,,5280,,,,6060,,,,7297,2965,4189,3943,4225,5043,
Balance Sheet,Total Liabilities,9615,,,,9531,,,,9640,,,,10402,5588,7081,7034,7761,8953,
Balance Sheet,Fixed Assets,2729,,,,2752,,,,2732,,,,2710,2506,2620,2695,2693,2702,
Balance Sheet,CWIP,150,,,,139,,,,142,,,,19,102,149,165,189,169,
Balance Sheet,Investments,35,,,,35,,,,35,,,,54,41,38,40,38,36,
Balance Sheet,Other Assets,6701,,,,6605,,,,6731,,,,7620,2939,4274,4135,4841,6046,
Balance Sheet,Total Assets,9615,,,,9531,,,,9640,,,,10402,5588,7081,7034,7761,8953,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-437,,,,-294,,,,974,,,,-135,-347,-113,24,-199,94,
Cash Flows,Cash from Investing Activity,178,,,,46,,,,-556,,,,651,-75,-93,-126,-73,-304,
Cash Flows,Cash from Financing Activity,247,,,,241,,,,-322,,,,-485,468,364,-19,285,198,
Cash Flows,Net Cash Flow,-12,,,,-6,,,,96,,,,30,45,158,-121,13,-12,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,536,,,,635,,,,705,,,,403,525,762,581,490,394,
Ratios,Inventory Days,118,,,,261,,,,207,,,,25,110,126,114,167,196,
Ratios,Days Payable,855,,,,1242,,,,1222,,,,352,1228,1482,1109,1705,1578,
Ratios,Cash Conversion Cycle,-202,,,,-345,,,,-309,,,,76,-594,-594,-414,-1049,-988,
Ratios,Working Capital Days,234,,,,340,,,,15,,,,-6,-73,-1,64,66,49,
Ratios,ROCE %,8%,,,,-4%,,,,-8%,,,,-1%,,14%,7%,9%,5%,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,90.09%,90.17%,90.17%,90.28%,90.28%,90.28%,90.00%,90.00%,90.00%,90.00%,90.00%,,,,,,90.02%
Shareholding Pattern (Quarterly),FIIs,,,0.07%,0.07%,0.08%,0.08%,0.09%,0.10%,0.11%,0.06%,0.04%,0.06%,0.00%,,,,,,0.00%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.03%,0.03%,0.04%,0.04%,,,,,,0.04%
Shareholding Pattern (Quarterly),Government,,,7.76%,7.70%,7.70%,7.61%,7.61%,7.61%,7.90%,7.90%,7.90%,7.90%,7.90%,,,,,,7.88%
Shareholding Pattern (Quarterly),Public,,,2.06%,2.03%,2.03%,2.01%,1.99%,1.99%,1.97%,2.01%,2.02%,1.99%,2.04%,,,,,,2.03%
Shareholding Pattern (Quarterly),No. of Shareholders,,,77024,75489,75886,74754,80144,97979,100321,107468,105144,160154,205507,,,,,,196411
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,90.00%,,,,90.17%,,,,90.00%,,,,90.00%,94.86%,92.63%,90.00%,90.30%,90.09%,90.02%
Shareholding Pattern (Yearly),FIIs,0.04%,,,,0.08%,,,,0.11%,,,,0.00%,0.05%,0.04%,0.00%,0.02%,0.02%,0.00%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.01%,,,,0.02%,,,,0.04%,0.22%,0.02%,0.04%,0.01%,0.00%,0.04%
Shareholding Pattern (Yearly),Government,7.83%,,,,7.70%,,,,7.90%,,,,7.90%,1.53%,4.71%,7.75%,7.51%,7.74%,7.88%
Shareholding Pattern (Yearly),Public,2.12%,,,,2.03%,,,,1.97%,,,,2.04%,3.34%,2.60%,2.22%,2.15%,2.14%,2.03%
Shareholding Pattern (Yearly),No. of Shareholders,77915,,,,75886,,,,100321,,,,205507,34165,49115,53043,60665,75986,196411
,,,,,,,,,,,,,,,,,,,,
