Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,194,172,153,161,181,203,212,209,224,,,
Quarterly Results,Expenses,179,167,145,147,164,180,191,186,205,,,
Quarterly Results,Operating Profit,16,5,8,15,17,22,21,23,19,,,
Quarterly Results,OPM %,8%,3%,5%,9%,9%,11%,10%,11%,9%,,,
Quarterly Results,Other Income,3,2,-1,2,3,0,3,3,4,,,
Quarterly Results,Interest,2,2,1,1,1,0,0,0,0,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,,,
Quarterly Results,Profit before tax,16,5,5,15,18,21,23,24,22,,,
Quarterly Results,Tax %,27%,25%,22%,28%,25%,25%,26%,26%,26%,,,
Quarterly Results,Net Profit,12,4,4,11,14,16,17,18,16,,,
Quarterly Results,EPS in Rs,3.57,1.20,1.18,3.22,3.34,3.88,4.21,4.33,3.92,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,782,,,,666,,,,848,398,434,611
Profit & Loss,Expenses,706,,,,620,,,,762,379,390,554
Profit & Loss,Operating Profit,76,,,,46,,,,86,20,44,57
Profit & Loss,OPM %,10%,,,,7%,,,,10%,5%,10%,9%
Profit & Loss,Other Income,10,,,,6,,,,10,8,5,10
Profit & Loss,Interest,5,,,,4,,,,1,6,5,7
Profit & Loss,Depreciation,3,,,,5,,,,5,2,2,3
Profit & Loss,Profit before tax,77,,,,43,,,,90,19,41,57
Profit & Loss,Tax %,26%,,,,26%,,,,26%,27%,30%,25%
Profit & Loss,Net Profit,57,,,,32,,,,67,14,29,43
Profit & Loss,EPS in Rs,17.32,,,,7.88,,,,16.34,106.23,192.13,327.95
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32,,,,39,,,,39,1,1,1
Balance Sheet,Reserves,176,,,,359,,,,426,84,107,151
Balance Sheet,Borrowings,70,,,,14,,,,0,52,74,94
Balance Sheet,Other Liabilities,20,,,,37,,,,33,12,27,18
Balance Sheet,Total Liabilities,298,,,,449,,,,498,149,210,264
Balance Sheet,Fixed Assets,35,,,,42,,,,39,21,23,22
Balance Sheet,CWIP,1,,,,0,,,,1,0,0,7
Balance Sheet,Investments,3,,,,43,,,,51,6,9,8
Balance Sheet,Other Assets,259,,,,364,,,,407,123,178,226
Balance Sheet,Total Assets,298,,,,449,,,,498,149,210,264
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,31,,,,76,,,,-11,41,-7,7
Cash Flows,Cash from Investing Activity,-5,,,,-140,,,,25,-11,-6,-5
Cash Flows,Cash from Financing Activity,-29,,,,107,,,,-29,-30,17,-0
Cash Flows,Net Cash Flow,-2,,,,43,,,,-15,-0,4,1
,,,,,,,,,,,,,
Ratios,Debtor Days,54,,,,64,,,,61,46,76,57
Ratios,Inventory Days,60,,,,37,,,,60,49,51,65
Ratios,Days Payable,5,,,,5,,,,9,3,8,4
Ratios,Cash Conversion Cycle,109,,,,96,,,,112,91,119,118
Ratios,Working Capital Days,111,,,,102,,,,136,102,130,121
Ratios,ROCE %,30%,,,,14%,,,,20%,,27%,28%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,70.99%,70.99%,70.99%,70.99%,70.99%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,6.22%,6.33%,6.61%,6.04%,6.09%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,3.17%,3.64%,3.77%,3.94%,3.70%,,,
Shareholding Pattern (Quarterly),Public,,,,,19.61%,19.04%,18.62%,19.02%,19.22%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,72624,48774,47383,47526,47402,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,70.99%,,,,70.99%,,,
Shareholding Pattern (Yearly),FIIs,,,,,6.22%,,,,6.09%,,,
Shareholding Pattern (Yearly),DIIs,,,,,3.17%,,,,3.70%,,,
Shareholding Pattern (Yearly),Public,,,,,19.61%,,,,19.22%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,72624,,,,47402,,,
,,,,,,,,,,,,,
