Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2013,Mar 2015
Quarterly Results,Sales,2011,1972,1699,1718,1570,1415,1372,1253,1469,1006,886,864,953,,,,,,,,,,
Quarterly Results,Expenses,1857,1925,1710,1760,1640,1403,1336,1259,1464,986,931,906,976,,,,,,,,,,
Quarterly Results,Operating Profit,154,47,-11,-43,-70,12,36,-6,5,20,-46,-42,-23,,,,,,,,,,
Quarterly Results,OPM %,8%,2%,-1%,-2%,-4%,1%,3%,-0%,0%,2%,-5%,-5%,-2%,,,,,,,,,,
Quarterly Results,Other Income,21,20,30,4,8,5,10,0,8,6,13,7,179,,,,,,,,,,
Quarterly Results,Interest,115,117,120,121,143,154,142,144,156,156,158,158,156,,,,,,,,,,
Quarterly Results,Depreciation,86,91,91,91,92,90,79,79,77,77,72,75,75,,,,,,,,,,
Quarterly Results,Profit before tax,-28,-142,-192,-250,-297,-226,-175,-229,-220,-207,-262,-268,-74,,,,,,,,,,
Quarterly Results,Tax %,-3%,0%,0%,0%,0%,0%,0%,1%,-2%,0%,0%,2%,0%,,,,,,,,,,
Quarterly Results,Net Profit,-27,-142,-192,-250,-298,-226,-175,-230,-216,-207,-262,-273,-74,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.05,-0.29,-0.39,-0.50,-0.60,-0.46,-0.35,-0.46,-0.43,-0.42,-0.53,-0.55,-0.15,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7310,,,,6989,,,,5510,,,,3709,21388,24153,12924,8723,5514,3352,3298,3848,,
Profit & Loss,Expenses,6745,,,,7068,,,,5458,,,,3799,16462,19111,15620,10048,19038,3482,3436,3652,,
Profit & Loss,Operating Profit,564,,,,-79,,,,52,,,,-90,4926,5042,-2696,-1325,-13524,-130,-138,196,,
Profit & Loss,OPM %,8%,,,,-1%,,,,1%,,,,-2%,23%,21%,-21%,-15%,-245%,-4%,-4%,5%,,
Profit & Loss,Other Income,45,,,,65,,,,19,,,,205,84,463,77,-65,211,7063,2082,-3865,,
Profit & Loss,Interest,476,,,,501,,,,596,,,,628,2814,3513,2874,3442,4711,4309,94,489,,
Profit & Loss,Depreciation,342,,,,365,,,,325,,,,298,1418,1522,1063,561,545,550,542,295,,
Profit & Loss,Profit before tax,-209,,,,-880,,,,-850,,,,-811,779,471,-6555,-5393,-18569,2075,1308,-4454,,
