Section,,Mar 2020,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,38.97,,,,,,,,,,,,,,
Profit & Loss,Expenses,37.18,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,1.79,,,,,,,,,,,,,,
Profit & Loss,OPM %,4.59%,,,,,,,,,,,,,,
Profit & Loss,Other Income,1.60,,,,,,,,,,,,,,
Profit & Loss,Interest,2.99,,,,,,,,,,,,,,
Profit & Loss,Depreciation,1.44,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-1.04,,,,,,,,,,,,,,
Profit & Loss,Tax %,3.85%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-1.08,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-1.94,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5.57,,,,,,,,,,,,,,
Balance Sheet,Reserves,44.61,,,,,,,,,,,,,,
Balance Sheet,Borrowings,21.51,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,12.10,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,83.79,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,17.09,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,,,,,,,,,,,,,,
Balance Sheet,Investments,0.00,,,,,,,,,,,,,,
Balance Sheet,Other Assets,66.70,,,,,,,,,,,,,,
Balance Sheet,Total Assets,83.79,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,5.31,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-1.15,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-4.01,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,148.73,,,,,,,,,,,,,,
Ratios,Inventory Days,455.97,,,,,,,,,,,,,,
Ratios,Days Payable,122.14,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,482.57,,,,,,,,,,,,,,
Ratios,Working Capital Days,346.36,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.96%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,,
Shareholding Pattern (Quarterly),Public,,27.04%,27.04%,27.03%,27.03%,27.04%,27.03%,27.04%,27.04%,27.04%,27.04%,27.03%,27.03%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,7524,7322,7190,7080,6855,6649,6473,6338,6436,7038,6842,6722,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,72.97%,,,,72.97%,,,,72.97%,72.96%,72.96%
Shareholding Pattern (Yearly),DIIs,,,,,0.00%,,,,0.00%,,,,0.00%,0.03%,0.00%
Shareholding Pattern (Yearly),Public,,,,,27.03%,,,,27.04%,,,,27.03%,27.01%,27.04%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,7080,,,,6338,,,,6722,9157,7769
,,,,,,,,,,,,,,,,
