Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,225,230,212,231,,,,,,,,,,,,,,
Quarterly Results,Expenses,199,201,184,208,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,26,30,27,23,,,,,,,,,,,,,,
Quarterly Results,OPM %,11%,13%,13%,10%,,,,,,,,,,,,,,
Quarterly Results,Other Income,3,1,3,7,,,,,,,,,,,,,,
Quarterly Results,Interest,5,8,8,7,,,,,,,,,,,,,,
Quarterly Results,Depreciation,7,8,8,8,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,17,15,15,15,,,,,,,,,,,,,,
Quarterly Results,Tax %,25%,26%,26%,16%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,12,11,11,13,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.46,0.42,0.42,0.44,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,898,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,792,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,106,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,12%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,14,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,28,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,30,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,63,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,23%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,48,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,1.68,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,6%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,29,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,604,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,272,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,335,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,1239,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,709,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,7,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,0,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,522,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,1239,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,108,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-97,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-11,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,76,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,183,,,,,,,,,,,,,,
Ratios,Days Payable,,,,167,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,92,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,98,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,55.34%,54.81%,54.63%,56.37%,55.03%,55.03%,55.03%,56.39%,56.39%,56.39%,56.39%,55.10%,,,,,,
Shareholding Pattern (Quarterly),FIIs,2.15%,1.95%,1.96%,1.35%,1.55%,1.22%,1.45%,0.92%,0.95%,1.17%,1.17%,1.18%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.07%,0.06%,0.28%,0.28%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,42.51%,43.24%,43.35%,42.21%,43.13%,43.48%,43.51%,42.69%,42.65%,42.41%,42.43%,43.71%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,26427,45708,54363,55320,14895,17723,15550,17293,18565,22257,24293,56341,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,56.37%,,,55.03%,,,,56.39%,55.10%,54.80%,53.62%,52.85%,53.24%,58.54%,55.02%
Shareholding Pattern (Yearly),FIIs,,,,1.35%,,,1.45%,,,,1.17%,1.18%,3.30%,14.22%,11.96%,11.45%,7.13%,2.77%
Shareholding Pattern (Yearly),DIIs,,,,0.06%,,,0.00%,,,,0.00%,0.00%,1.20%,1.18%,0.84%,0.80%,0.00%,0.21%
Shareholding Pattern (Yearly),Public,,,,42.21%,,,43.51%,,,,42.43%,43.71%,40.70%,30.98%,34.35%,34.50%,34.33%,41.99%
Shareholding Pattern (Yearly),No. of Shareholders,,,,55320,,,15550,,,,24293,56341,2942,2891,2920,3677,5207,8978
,,,,,,,,,,,,,,,,,,,
