Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,574,498,481,421,473,399,312,316,361,296,268,230,282,,,,,,,,,
Quarterly Results,Expenses,591,508,478,417,460,388,307,308,360,295,265,226,267,,,,,,,,,
Quarterly Results,Operating Profit,-17,-9,3,4,14,11,6,9,1,1,3,4,15,,,,,,,,,
Quarterly Results,OPM %,-3%,-2%,1%,1%,3%,3%,2%,3%,0%,0%,1%,2%,5%,,,,,,,,,
Quarterly Results,Other Income,10,62,15,6,5,1,6,4,10,10,4,3,52,,,,,,,,,
Quarterly Results,Interest,194,202,204,199,234,222,5,115,-263,6,5,2,2,,,,,,,,,
Quarterly Results,Depreciation,24,23,22,21,20,19,17,17,16,16,16,16,8,,,,,,,,,
Quarterly Results,Profit before tax,-225,-172,-207,-211,-235,-229,-11,-120,257,-10,-14,-11,58,,,,,,,,,
Quarterly Results,Tax %,-34%,-41%,-34%,-35%,-59%,-35%,-33%,-35%,36%,-8%,-25%,-2%,25%,,,,,,,,,
Quarterly Results,Net Profit,-148,-101,-136,-137,-97,-150,-7,-79,164,-10,-11,-11,43,,,,,,,,,
Quarterly Results,EPS in Rs,-26.00,-17.63,-23.80,-24.02,-16.95,-26.30,-1.27,-13.80,28.72,-1.73,-1.89,-1.96,6.46,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2047,,,,1874,,,,1388,,,,1076,5615,6202,5894,5612,5767,6117,4026,2200,
Profit & Loss,Expenses,2033,,,,1862,,,,1359,,,,1053,5095,5600,5184,4972,5119,5408,3921,2193,
Profit & Loss,Operating Profit,14,,,,12,,,,30,,,,23,520,603,710,640,648,709,105,7,
Profit & Loss,OPM %,1%,,,,1%,,,,2%,,,,2%,9%,10%,12%,11%,11%,12%,3%,0%,
